x1,x2,x3,x4
0.0,0.0,1.544e-5,0.0
0.0,0.0,0.00060791,0.0
0.0,0.0,0.01206692,0.0
0.0,0.0,0.0556959,0.0
0.0,3.97e-6,0.10700034,0.0005795
5.8e-7,0.00706786,0.19116058,0.03462859
0.0020055,0.08017023,0.3035205,0.13574272
0.02699051,0.18131147,0.39559774,0.18994162
0.06343977,0.29471448,0.49896368,0.25514159
0.1130501,0.37199814,0.56299221,0.30110916
0.15483692,0.42916091,0.59641789,0.31159966
0.16385133,0.45499254,0.6001446,0.3037448
0.1397005,0.42607973,0.57695705,0.28462517
0.09333292,0.3655813,0.52782145,0.26088982
0.04410042,0.26364609,0.45089747,0.23004928
0.00551206,0.16686777,0.35407602,0.1516236
7.63e-6,0.06815543,0.25035869,0.08066615
0.0,0.00528351,0.15630799,0.0090352
0.0,1.0e-8,0.08965665,4.35e-6
0.0,0.0,0.04388696,0.0
0.0,0.0,0.00586036,0.0
0.0,0.0,0.0001687,0.0
0.0,0.0,2.37e-6,0.0
0.0,0.0,1.5e-7,0.0
0.0,0.0,1.57e-5,0.0
0.0,0.0,0.00061682,0.0
0.0,0.0,0.01205731,0.0
0.0,0.0,0.05718568,0.0
0.0,8.35e-6,0.10408776,0.00028166
2.3e-7,0.00924082,0.18684731,0.02386872
0.00105941,0.06911509,0.29088599,0.13656888
0.01112572,0.1804073,0.3884849,0.21792279
0.03330848,0.28035962,0.47438768,0.26826685
0.06992083,0.36737789,0.54016904,0.31122764
0.09651372,0.4368128,0.57932646,0.32242103
0.10921718,0.4769252,0.58858583,0.30072168
0.09891385,0.46268224,0.55958358,0.27578428
0.0559433,0.40748943,0.50686912,0.21824741
0.02289779,0.3165034,0.42968442,0.1522131
0.00281942,0.19487428,0.34777907,0.09701428
4.21e-6,0.07073715,0.24834266,0.03677474
0.0,0.00491586,0.15722895,0.0018153
0.0,6.0e-8,0.08922572,5.4e-7
0.0,0.0,0.04316319,0.0
0.0,0.0,0.00559326,0.0
0.0,0.0,0.00014848,0.0
0.0,0.0,1.92e-6,0.0
0.0,0.0,1.2e-7,0.0
0.0,0.0,1.279e-5,0.0
0.0,0.0,0.00058502,0.0
0.0,0.0,0.01311566,0.0
0.0,0.0,0.06036447,0.0
0.0,1.367e-5,0.11558492,8.316e-5
4.0e-8,0.00839035,0.21463164,0.01224494
0.00027616,0.06157478,0.34184646,0.06802931
0.0043208,0.19414427,0.4452843,0.13297986
0.01874778,0.30259576,0.54670877,0.19633318
0.05508206,0.40242164,0.61354331,0.25548706
0.0919975,0.4782527,0.63839206,0.27111957
0.10004677,0.50736965,0.63742575,0.28867626
0.08758794,0.4911006,0.60698264,0.2973497
0.05468367,0.42675629,0.54091563,0.26488836
0.02348086,0.32982354,0.46134664,0.2197685
0.00317997,0.22771804,0.366427,0.14350733
2.77e-6,0.08605715,0.26475945,0.05968853
0.0,0.00791539,0.16519238,0.00506104
0.0,5.0e-7,0.09656575,8.0e-8
0.0,0.0,0.04843622,0.0
0.0,0.0,0.00665598,0.0
0.0,0.0,0.0001798,0.0
0.0,0.0,2.36e-6,0.0
0.0,0.0,1.5e-7,0.0
0.0,0.0,1.614e-5,0.0
0.0,0.0,0.00067558,0.0
0.0,0.0,0.01320761,0.0
0.0,0.0,0.06092987,0.0
0.0,2.666e-5,0.11139988,0.00012622
0.0,0.00918418,0.1996627,0.02129422
0.00021438,0.08098165,0.31861674,0.11140816
0.0064275,0.20462727,0.40202498,0.18529811
0.02616408,0.32699331,0.4973403,0.26579929
0.06071998,0.4294274,0.56295526,0.3182629
0.08623716,0.5270743,0.59026106,0.34207233
0.10177902,0.55334186,0.5891163,0.34881372
0.08973426,0.54632653,0.5536915,0.33880955
