x1,x2,x3,x4
-0.0,0.0,0.00043426,-0.0
-0.0,0.0,0.00104624,-0.0
-0.0,0.0,0.00367342,-0.0
-0.0,0.0,0.01310996,-0.0
-0.0,4.0e-7,0.04459044,5.614e-5
-0.0,0.00013349,0.08793811,0.00352871
1.3e-7,0.01004104,0.15996298,0.03029489
0.0005267,0.05121488,0.24001513,0.10872655
0.0142197,0.14399562,0.33227862,0.18780308
0.05039121,0.26181627,0.41249588,0.25811974
0.10273844,0.3673042,0.47813448,0.32580372
0.1386387,0.43351275,0.50374428,0.3767531
0.15013394,0.47823969,0.51423714,0.37696496
0.13399527,0.47836075,0.48907645,0.37249095
0.08463475,0.42053836,0.44538031,0.3101479
0.0318664,0.33388387,0.38626586,0.2423132
0.00245909,0.20908708,0.31249506,0.15665001
1.273e-5,0.07381143,0.22669466,0.07143549
-0.0,0.0034055,0.14324303,0.00644017
-0.0,2.0e-8,0.08537294,3.0e-6
-0.0,0.0,0.04159829,-0.0
-0.0,0.0,0.00579909,-0.0
-0.0,0.0,0.00073846,-0.0
-0.0,0.0,0.00029196,-0.0
-0.0,0.0,0.00042753,-0.0
-0.0,0.0,0.0013353,-0.0
-0.0,0.0,0.00422026,-0.0
-0.0,0.0,0.0147775,-0.0
-0.0,5.6e-7,0.05540794,2.086e-5
-0.0,0.00011574,0.10773799,0.00167909
6.1e-7,0.01185166,0.19006039,0.02216041
0.00070246,0.07966126,0.29063519,0.06790939
0.01631119,0.2101415,0.38891171,0.12080787
0.06090839,0.35277743,0.47348853,0.16232047
0.12958403,0.46398757,0.52774762,0.19301382
0.17988037,0.54426349,0.55199496,0.21917686
0.19017345,0.5712057,0.55408646,0.20901364
0.16917408,0.54814018,0.52685639,0.20016072
0.10530286,0.48568239,0.47302144,0.17730846
0.04348579,0.37710553,0.40486909,0.14380159
0.00422033,0.22771827,0.32521505,0.09484345
8.77e-6,0.0852262,0.24146966,0.04562724
-0.0,0.00702993,0.15698117,0.00310739
-0.0,2.7e-7,0.09193721,6.9e-7
-0.0,0.0,0.04528127,-0.0
-0.0,0.0,0.0069101,-0.0
-0.0,0.0,0.00092807,-0.0
-0.0,0.0,0.0003337,-0.0
-0.0,0.0,0.00045361,-0.0
-0.0,0.0,0.00123869,-0.0
-0.0,0.0,0.00451471,-0.0
-0.0,0.0,0.01731543,-0.0
-0.0,1.32e-6,0.05906827,8.69e-6
-0.0,0.00022958,0.10405175,0.00152752
3.4e-7,0.01272022,0.17994715,0.02922172
0.00028782,0.07802289,0.27576706,0.07894157
0.00918258,0.19549527,0.37852406,0.14127653
0.03573601,0.31643827,0.46235248,0.20848004
0.07936625,0.42362753,0.51756224,0.25437757
0.12084614,0.49331422,0.54302243,0.32033252
0.12691043,0.51568254,0.53386774,0.33558894
0.1076181,0.50240297,0.5011652,0.32206848
0.06860339,0.44093958,0.44787556,0.28188771
0.03170154,0.34287948,0.38297182,0.20245467
0.00448723,0.21541518,0.3106065,0.13418793
1.225e-5,0.07024228,0.2263077,0.04147539
-0.0,0.00809466,0.14565396,0.00241285
-0.0,9.8e-7,0.08310564,1.4e-7
-0.0,0.0,0.04199901,-0.0
-0.0,0.0,0.00634838,-0.0
-0.0,0.0,0.00080114,-0.0
