x1,x2,x3,x4
0.0,0.0,0.00022623,-0.0
0.0,0.0,0.00119659,-0.0
0.0,0.0,0.00869075,-0.0
0.0,0.0,0.02808816,-0.0
0.0,0.0,0.06223621,4.25e-6
0.0,0.00029148,0.11717637,0.00274835
2.812e-5,0.02342336,0.20859756,0.04046347
0.005814,0.07568834,0.30228878,0.10841874
0.02836164,0.18726386,0.39342903,0.17793412
0.06972647,0.30114967,0.46741811,0.22943495
0.11204386,0.3909433,0.51738119,0.25452014
0.13818561,0.44883269,0.54267362,0.27492198
0.13495313,0.45982176,0.54390451,0.29248881
0.10377044,0.41902212,0.50763316,0.28372512
0.05695896,0.33272809,0.45632296,0.27016983
0.01982906,0.23324517,0.38138407,0.22527013
0.00133083,0.12082708,0.29504327,0.13037833
3.0e-8,0.03689233,0.20865157,0.0399218
0.0,0.00049212,0.1228894,0.00104673
0.0,0.0,0.07373085,-0.0
0.0,0.0,0.03313466,-0.0
0.0,0.0,0.00661794,-0.0
0.0,0.0,0.00075293,-0.0
0.0,0.0,0.00020024,-0.0
0.0,0.0,0.0003112,-0.0
0.0,0.0,0.00178537,-0.0
0.0,0.0,0.01112454,-0.0
0.0,0.0,0.03223593,-0.0
0.0,0.0,0.07396112,1.25e-6
0.0,0.00032384,0.12909578,0.00207295
1.634e-5,0.02638434,0.22303988,0.04843439
0.00386695,0.09504625,0.32928218,0.11782975
0.02352547,0.19463011,0.42698996,0.21561816
0.05895066,0.2928276,0.51329359,0.28053422
0.09839616,0.37336699,0.56321268,0.2992952
0.12523209,0.41496222,0.57351024,0.29788379
0.12556816,0.40517158,0.56005328,0.308733
0.10347853,0.37297954,0.52684929,0.27962638
0.0608188,0.30902607,0.46799995,0.24073027
0.02417154,0.22914393,0.38573847,0.19601475
0.00127887,0.1261434,0.30186836,0.10210298
1.0e-8,0.03755972,0.21404888,0.03257544
0.0,0.00065141,0.12908592,0.00060625
0.0,0.0,0.07657397,-0.0
0.0,0.0,0.03468222,-0.0
0.0,0.0,0.00714743,-0.0
0.0,0.0,0.00081922,-0.0
0.0,0.0,0.0001856,-0.0
0.0,0.0,0.00026439,-0.0
0.0,0.0,0.00154916,-0.0
0.0,0.0,0.01022504,-0.0
0.0,0.0,0.03469659,-0.0
0.0,0.0,0.08051594,1.17e-6
0.0,0.00058778,0.13809944,0.00148096
1.154e-5,0.02926881,0.23034094,0.0284098
0.00259482,0.10074284,0.32921818,0.09218897
0.01816843,0.21853933,0.4241288,0.16541662
0.05475861,0.34024765,0.50519681,0.24180162
0.101315,0.44606701,0.5413638,0.29475422
0.13101275,0.49188916,0.55890455,0.3435793
0.12819138,0.5018039,0.53546473,0.35799117
0.09775492,0.46635719,0.4969031,0.32349785
0.05392197,0.38967428,0.43660558,0.26135501
0.0191643,0.27115154,0.36383226,0.18145013
0.00140817,0.14639903,0.28391284,0.10431083
1.0e-7,0.04275407,0.20047472,0.03431101
0.0,0.00092112,0.12027563,0.00065661
0.0,0.0,0.06854773,-0.0
0.0,0.0,0.03001857,-0.0
0.0,0.0,0.00576317,-0.0
0.0,0.0,0.00063349,-0.0
0.0,0.0,0.00016046,-0.0
0.0,0.0,0.0002463,-0.0
0.0,0.0,0.00137249,-0.0
0.0,0.0,0.00796852,-0.0
0.0,0.0,0.02967989,-0.0
0.0,0.0,0.06733138,7.9e-7
0.0,0.00065064,0.11799645,0.00197984
6.32e-6,0.03406539,0.20509731,0.05265914
0.00287912,0.10684924,0.29595208,0.1552279
0.02523349,0.23432338,0.38478092,0.25137932
0.06525909,0.35323219,0.4607452,0.31157233
0.10759903,0.44862672,0.51196981,0.36848862
0.12728089,0.50539511,0.52717472,0.38592882
0.12630799,0.5030729,0.51579824,0.36612031
0.1003396,0.47128307,0.48411761,0.33584166
0.06029786,0.40795672,0.42765599,0.30303027
0.0220883,0.30011145,0.35397144,0.2170455
0.00098989,0.17365111,0.27738916,0.10272863
1.4e-7,0.04823638,0.19528514,0.02834733
0.0,0.00113333,0.11740018,0.00049389
0.0,0.0,0.06718376,-0.0
0.0,0.0,0.0288257,-0.0
0.0,0.0,0.00590765,-0.0
0.0,0.0,0.00065219,-0.0
0.0,0.0,0.00015464,-0.0
0.0,0.0,0.00021806,-0.0
0.0,0.0,0.00117569,-0.0
0.0,0.0,0.0074187,-0.0
0.0,0.0,0.02785924,-0.0
0.0,3.0e-8,0.06745791,3.8e-7
0.0,0.0010719,0.1196534,0.00195564
7.67e-6,0.03464942,0.20141966,0.0535953
0.00269802,0.12606351,0.28447098,0.14230649
0.01975723,0.24855935,0.37539044,0.2392669
0.05557695,0.3579326,0.45201759,0.33466562
0.09881364,0.44919966,0.50915124,0.38184042
0.12927067,0.48616012,0.53018667,0.41032772
0.12598168,0.48846868,0.52237218,0.3959678
0.09751375,0.44704425,0.49179959,0.36383972
0.05673993,0.36793584,0.43273991,0.29752209
0.01579743,0.26325985,0.36794488,0.23346638
0.00078599,0.14999815,0.28323405,0.12534038
4.6e-7,0.0478126,0.19280631,0.02641969
0.0,0.00149035,0.11265585,0.00036351
0.0,0.0,0.06175847,-0.0
0.0,0.0,0.02494553,-0.0
0.0,0.0,0.00412451,-0.0
0.0,0.0,0.00049421,-0.0
0.0,0.0,0.00013534,-0.0
0.0,0.0,0.00021524,-0.0
0.0,0.0,0.00127672,-0.0
0.0,0.0,0.00784328,-0.0
0.0,0.0,0.02761618,-0.0
0.0,1.9e-7,0.06661767,1.3e-7
0.0,0.00151767,0.12108804,0.00082193
3.24e-6,0.03336904,0.21208417,0.02711767
0.00129812,0.10434275,0.3112993,0.09236991
0.0162023,0.20071056,0.40927947,0.15638632
0.05081678,0.28297113,0.48505446,0.21633893
0.09154661,0.3734754,0.54373618,0.25220939
0.12217155,0.42858562,0.54598693,0.26881353
0.12598214,0.43254781,0.52995786,0.25003074
0.09852262,0.39946105,0.4863654,0.22648138
0.05739333,0.32557556,0.43250713,0.19580691
0.01977894,0.22509614,0.36077769,0.13880925
0.00118874,0.12452117,0.27499407,0.07859901
9.5e-7,0.04778389,0.19197887,0.02286302
