x1,x2,x3,x4
0.53760338,0.46017352,0.40994897,0.74991371
0.53467056,0.44774626,0.41394373,0.75408214
0.53448249,0.4307789,0.41995404,0.74999025
0.5422619,0.41198462,0.42091206,0.7223818
0.55635518,0.39802664,0.42053604,0.69744256
0.56415128,0.39323753,0.41945805,0.68938172
0.56829666,0.39175179,0.41376004,0.67614262
0.57123668,0.38310233,0.40462869,0.66163431
0.57116867,0.36927681,0.39909723,0.64962951
0.56717274,0.36306328,0.39782451,0.63810608
0.55477112,0.32800447,0.37625998,0.59410133
0.55452417,0.32416646,0.38410999,0.59048039
0.55359081,0.33028439,0.38957053,0.59808435
0.55653175,0.34056265,0.39610151,0.6058764
0.55790301,0.35617292,0.39537304,0.60852581
0.56033825,0.36702528,0.39452039,0.61323406
0.56358084,0.37358266,0.39129038,0.59619758
0.56650935,0.39000538,0.38704328,0.59587782
0.56800603,0.40655523,0.38323966,0.59564287
0.56877216,0.41603096,0.38239781,0.59652689
0.57228378,0.41411566,0.38660197,0.5918799
0.57592001,0.40212653,0.38945157,0.58358998
0.5817429,0.39295447,0.3922877,0.6135764
0.58415759,0.38942494,0.3827599,0.59301293
0.58341898,0.3874233,0.37452335,0.57439459
0.58134361,0.39046573,0.36829072,0.56013791
0.58181569,0.39559412,0.36765587,0.56115102
0.57996719,0.39742693,0.37030955,0.56781653
0.58082992,0.40698501,0.37224141,0.566388
0.58454238,0.41645055,0.36918478,0.57873878
0.58963252,0.42641149,0.36127684,0.60244795
0.59251389,0.43318009,0.34890621,0.61930818
0.5976975,0.43061396,0.34477628,0.63836407
0.59606326,0.43189569,0.34126296,0.66462063
0.59217429,0.40723515,0.31968807,0.6599897
0.58737406,0.39543592,0.32314164,0.68883689
0.58125889,0.38850475,0.32633542,0.70761931
0.57730387,0.39159633,0.32986282,0.73553201
0.57489694,0.40548648,0.33463233,0.75904122
0.57318668,0.41796739,0.3393892,0.77216442
0.57462922,0.43733199,0.34148214,0.77471698
0.57864029,0.46072352,0.34698616,0.77596866
0.58271128,0.47044039,0.35220172,0.776489
0.58543068,0.47169011,0.36150582,0.77242797
0.59097611,0.46670573,0.37284923,0.76430565
0.59620502,0.4629876,0.3790458,0.75492273
0.59709821,0.4492449,0.39618341,0.75518658
0.59831873,0.44304645,0.39247035,0.74161405
0.60209143,0.4419942,0.38321729,0.72093212
0.60520463,0.44516733,0.37538227,0.69478541
0.60474477,0.45391352,0.3671598,0.67626164
0.60257038,0.46434272,0.360493,0.66347829
0.60146982,0.47431528,0.35549421,0.65788637
0.60065943,0.48201935,0.35059562,0.654784
0.59660598,0.48621777,0.33806844,0.64793333
0.59694221,0.49086178,0.3245547,0.65335856
0.59458066,0.48570227,0.32751753,0.66827546
0.58833252,0.49061354,0.33445618,0.6658106
0.55560086,0.48100292,0.32567044,0.63876398
0.54917453,0.48036903,0.33962027,0.63479345
0.54282303,0.48207506,0.35404067,0.63020055
