x1,x2,x3,x4
0.48020988,0.35392853,0.32227721,0.36976045
0.48752938,0.35227162,0.3154331,0.37530785
0.49363641,0.35394532,0.31170198,0.38909793
0.4973786,0.36309518,0.30968415,0.40375149
0.49860881,0.37244579,0.30310914,0.43126776
0.49481589,0.37377156,0.29380285,0.45476864
0.49424529,0.36755857,0.28773963,0.46725871
0.49084298,0.35296695,0.28984305,0.47373892
0.48548537,0.34188842,0.30017609,0.48561578
0.4809118,0.33296696,0.31218017,0.4948824
0.46060826,0.30062734,0.29318596,0.47959818
0.46304396,0.30720011,0.31169208,0.50568308
0.46155503,0.32141389,0.32810956,0.53218126
0.46316179,0.33634857,0.34022031,0.55329584
0.47080321,0.35630219,0.34606276,0.56450678
0.47840169,0.38414725,0.34659833,0.56973544
0.48238377,0.42164461,0.34598478,0.5878274
0.4836365,0.45116928,0.34863866,0.60735973
0.48268249,0.45611894,0.3563067,0.62045201
0.48097717,0.44548602,0.36359353,0.62669091
0.47984898,0.42933975,0.36747988,0.63448458
0.4803736,0.41227015,0.36824086,0.63210473
0.4665431,0.40988509,0.38150432,0.63089324
0.47024045,0.3967703,0.3709027,0.61757389
0.47453328,0.38971975,0.36179734,0.60406641
0.47677303,0.38358893,0.35483018,0.58999659
0.47281796,0.37493622,0.34726705,0.58597214
0.46977287,0.37193652,0.33957509,0.5851089
0.4663181,0.37218358,0.32593103,0.57918304
0.4618727,0.36798606,0.30815214,0.57231192
0.45689456,0.35880676,0.29452703,0.57467101
0.452156,0.34161072,0.28875842,0.59045874
0.44373381,0.3174855,0.29387579,0.59893684
0.43602626,0.30163966,0.30128591,0.60888917
0.40444147,0.28937769,0.28635794,0.54792677
0.40771087,0.27903402,0.29333108,0.60364416
0.41206324,0.28444057,0.30017779,0.64839011
0.41544006,0.29605067,0.30445281,0.66356573
0.41708851,0.31138535,0.30621319,0.65151246
0.41893673,0.3400857,0.30331244,0.64074585
0.41577615,0.37209965,0.30065572,0.64333882
0.40992608,0.38695207,0.30296912,0.64543621
0.40185725,0.38784025,0.31023487,0.64496404
0.39228999,0.37885195,0.32065572,0.63545635
0.38736548,0.36513659,0.3263184,0.61633167
0.38566579,0.35035715,0.32802895,0.60041909
0.37559893,0.35516603,0.34513276,0.58427153
0.38441248,0.34996055,0.33930214,0.56766568
0.38959093,0.35212747,0.33374615,0.56034733
0.39160571,0.35925859,0.32498222,0.55463468
0.39171833,0.37279896,0.31624122,0.56098683
0.39271603,0.38633214,0.30688913,0.57833715
0.39247934,0.40102585,0.29630277,0.59645027
0.39060877,0.41238614,0.28427254,0.60971412
0.38861168,0.41354,0.273721,0.61884029
0.38814814,0.40700232,0.27114531,0.61924651
0.38856614,0.38659804,0.27806417,0.62037677
0.38655437,0.36982343,0.28942949,0.62834628
0.36990301,0.3357032,0.27831537,0.60470746
0.37368542,0.33472385,0.29258109,0.58745202
0.37790591,0.34419041,0.30468646,0.58326628
0.38517947,0.35914138,0.31430991,0.5869554
0.39045865,0.37089071,0.32145043,0.59351467
0.39694121,0.38902163,0.32186813,0.60487742
0.40116388,0.41214291,0.32329513,0.60058827
0.40327483,0.42950438,0.32745678,0.58703269
0.40624845,0.43069863,0.33354012,0.5744357
0.40754311,0.42252336,0.34076925,0.56804345
0.40945011,0.40602555,0.34684151,0.56722035
0.40924464,0.38724725,0.34785724,0.57271491
