x1,x2,x3,x4
0.574211,0.321192,0.34822779,0.72856182
0.56949322,0.3249716,0.34973323,0.73774217
0.56218497,0.3338448,0.3490947,0.74594667
0.55367195,0.33775144,0.34567318,0.74455693
0.54475331,0.34355,0.34138058,0.74348813
0.53219257,0.35658588,0.33509346,0.7418253
0.52221516,0.36259418,0.32752332,0.73188887
0.51880094,0.36621413,0.32840463,0.71541303
0.51357196,0.36543638,0.33651221,0.70588945
0.50796108,0.36120314,0.34336857,0.70766574
0.49351021,0.35055654,0.32936652,0.70553861
0.49364041,0.34620344,0.33170764,0.72030196
0.49356599,0.35168623,0.33452748,0.72871673
0.49166632,0.35918052,0.33702411,0.72171642
0.48868019,0.36402125,0.33516366,0.70919926
0.48448042,0.37048385,0.32818801,0.69931219
0.47811977,0.37953455,0.31599629,0.67470632
0.47535518,0.38675617,0.30599257,0.66343941
0.47413576,0.38715332,0.30218258,0.66127351
0.47182509,0.38392004,0.29936622,0.65791858
0.47087347,0.37769804,0.29178059,0.65719212
0.47031316,0.37264917,0.28431696,0.65001198
0.45391528,0.37599285,0.2778928,0.62701204
0.45614825,0.35667114,0.27308256,0.60875297
0.46053463,0.34558821,0.26818954,0.60145887
0.45900422,0.33881757,0.26361573,0.60386242
0.4545153,0.32785535,0.26241785,0.61555357
0.45004388,0.31654144,0.26059283,0.62070235
0.44634789,0.3007461,0.25834768,0.62396098
0.43902125,0.29101878,0.25589214,0.6307187
0.43163145,0.2875243,0.25520461,0.63502412
0.42934694,0.28563465,0.26167895,0.6343054
0.43074046,0.28000296,0.27264196,0.62209244
0.43185575,0.28695319,0.28926366,0.60734333
0.43279663,0.30958194,0.29200709,0.59943492
0.43710398,0.32838445,0.30883761,0.60537462
0.4379027,0.33903701,0.32374015,0.60576186
0.44126493,0.34477112,0.33036275,0.5957004
0.44881813,0.35074196,0.32992641,0.5785617
0.45521705,0.35225689,0.3255935,0.55425149
0.46152351,0.36044932,0.31835575,0.54460715
0.4675709,0.37214204,0.31339099,0.5489816
0.47665079,0.38241894,0.31343915,0.54829051
