x1,x2,x3,x4
0.48662675,0.39921725,0.30746401,0.52891454
0.48280792,0.39790154,0.30366676,0.54178084
0.47999373,0.40049079,0.3019927,0.55757528
0.4769514,0.40710849,0.30189377,0.57881924
0.47405844,0.41046933,0.3003672,0.59871176
0.46880539,0.41318163,0.2933429,0.61475944
0.46483352,0.4154654,0.28706824,0.63120211
0.46115922,0.41247032,0.28396356,0.6377217
0.45746868,0.39963681,0.28803175,0.6590508
0.45066983,0.38480593,0.29690439,0.6646808
0.43385815,0.36178539,0.2930106,0.65101047
0.43444894,0.35706058,0.30659302,0.65088357
0.43535308,0.35512009,0.31733701,0.64356235
0.43742712,0.35813644,0.32599681,0.63655613
0.44210119,0.36963725,0.33147472,0.62843435
0.44660054,0.38008997,0.33330965,0.6122107
0.44867764,0.39158613,0.32744212,0.60000793
0.44920676,0.40108396,0.32089428,0.59200453
0.44784226,0.40554705,0.32054862,0.58993493
0.4456599,0.40234008,0.32328535,0.58984662
0.44355918,0.3957822,0.32543866,0.58722295
0.44006599,0.38895886,0.32410757,0.57359008
0.43170177,0.39872583,0.32504412,0.58183294
0.43195748,0.39047652,0.31647369,0.55942185
0.43455923,0.38565125,0.30936618,0.54465643
0.43565948,0.3835722,0.30204992,0.53304207
0.43631129,0.38781255,0.2964913,0.52444507
0.43688389,0.39206436,0.29118615,0.5251552
0.43688677,0.39267107,0.2874071,0.52819158
0.43667496,0.39486958,0.27551909,0.53416037
0.43775044,0.39193672,0.26390606,0.53817594
0.43697211,0.38204601,0.25748332,0.53352909
0.43501834,0.35811635,0.25653263,0.53436836
0.43084017,0.3438289,0.25933406,0.55543679
0.41993397,0.32551968,0.24836994,0.53620494
0.4175563,0.31251025,0.26139425,0.58600794
0.41766304,0.30779254,0.27540295,0.62175143
0.41859019,0.30655879,0.28669539,0.62884272
0.42137039,0.31174479,0.29597289,0.63782343
0.42398784,0.31939761,0.30109976,0.64760063
0.42433447,0.34008763,0.30382185,0.64997684
0.42122984,0.36258843,0.30459918,0.64674651
0.41488854,0.37613968,0.30936218,0.64073157
0.40708263,0.37879727,0.31830022,0.63100152
0.4024567,0.37649065,0.32646124,0.6238431
0.3997558,0.37128195,0.33008288,0.61681412
0.40353274,0.36786831,0.33658803,0.62829256
0.40567236,0.35754929,0.33482082,0.62126098
0.40792063,0.3556783,0.33121922,0.61650402
0.41149115,0.35585853,0.32592447,0.61884366
0.41508882,0.36193848,0.32307263,0.6248268
0.41758814,0.3703148,0.3206642,0.63390538
0.41882611,0.37431603,0.3172451,0.63604285
0.41940117,0.37655634,0.30869513,0.63438556
0.41984434,0.3681868,0.29439626,0.62642237
0.41951851,0.35293508,0.28742025,0.60889031
0.41870048,0.33163045,0.29021034,0.59592391
0.41392607,0.31593193,0.29985489,0.57769708
0.40711919,0.29585599,0.29482683,0.54375216
0.40209184,0.28922431,0.31030364,0.54289671
0.39942746,0.28881207,0.32224794,0.53917443
0.40159101,0.29489721,0.32835287,0.53169267
0.40719574,0.30173266,0.32960192,0.53380535
0.41617001,0.31022095,0.32728578,0.54097585
0.42512038,0.32969749,0.32534711,0.54811992
0.42992869,0.35153708,0.32411957,0.5570137
0.43131156,0.36619376,0.32650102,0.56584767
0.43101461,0.37101017,0.33550005,0.57338677
0.4302994,0.36919873,0.34524961,0.58637171
0.42875568,0.36153132,0.34868884,0.60111
0.42355571,0.37009304,0.34976909,0.63738285
0.42694599,0.35822191,0.34288275,0.63762581
0.42997076,0.3511538,0.33357444,0.6388822
0.43231129,0.34418136,0.32440814,0.64681212
0.43457664,0.34540316,0.31920124,0.65378103
0.43537834,0.34865087,0.31606902,0.6543266
0.43606906,0.3547275,0.30938667,0.64606971
0.43684971,0.36219775,0.29634446,0.6344729
0.43559376,0.36296454,0.28163213,0.62316187
0.43509261,0.35494617,0.27560045,0.59816151
0.43319808,0.33690406,0.27658116,0.59607924
0.42759658,0.32760624,0.28451501,0.57321661
0.41499384,0.30291096,0.2795738,0.51220158
0.40865118,0.30238608,0.29260362,0.50169886
0.40519393,0.30680358,0.30661268,0.50223485
0.40401427,0.30988441,0.32116912,0.51340314
0.4090285,0.31327208,0.32999515,0.52836132
0.41847942,0.31295263,0.33594274,0.5406998
0.42645143,0.31769496,0.33848362,0.5432486
0.43166434,0.33121094,0.34263695,0.54426921
0.43119583,0.33497789,0.35245616,0.53616194
0.4282535,0.33220022,0.36821376,0.53049585
0.42447347,0.32207901,0.38230595,0.52613724
0.42106653,0.3093103,0.39587409,0.52450289
0.41025346,0.30646769,0.41270282,0.52664341
0.40654347,0.29450652,0.41142213,0.51688085
0.40446819,0.28952066,0.40873637,0.51619139
0.40017243,0.2862246,0.4062934,0.51690727
0.39671572,0.28394802,0.40517488,0.52172362
0.39228987,0.28370789,0.40335702,0.53152169
0.38664469,0.28613039,0.39956994,0.54314735
0.37960567,0.29043965,0.39312975,0.54691539
0.37276028,0.28974873,0.38586077,0.54370783
0.36788524,0.28270234,0.37589114,0.52813091
0.36315063,0.26874706,0.37228666,0.52593961
0.35815729,0.25895269,0.37227962,0.5150419
0.34665265,0.24034942,0.35879093,0.47328643
0.34119403,0.23987127,0.36722459,0.48905646
0.33528596,0.24223015,0.37345638,0.50678247
0.33105636,0.24986534,0.3789155,0.52244143
0.33160536,0.25923268,0.38163541,0.53405755
0.33579657,0.27106791,0.38238668,0.53763326
0.34244434,0.28930885,0.37899885,0.53772878
0.34835538,0.31185523,0.3752211,0.54412233
0.3521108,0.32444106,0.37113614,0.5447349
0.35493378,0.32543396,0.37403273,0.53832763
0.35748054,0.31965399,0.37780505,0.52856304
0.36174783,0.30997136,0.377841,0.51809379
0.36151559,0.29637668,0.37021951,0.51907378
0.36537507,0.29267284,0.36172512,0.50964152
0.36870291,0.2937799,0.35170688,0.51356176
0.37406782,0.29398404,0.34247366,0.51923125
0.37964354,0.29321645,0.33399196,0.5267847
0.38456019,0.29488716,0.3255689,0.54776179
0.38894495,0.29759079,0.31687954,0.57310247
0.39284678,0.30043698,0.30304937,0.59748359
0.39585944,0.29930439,0.29179301,0.62049575
0.39856416,0.28826395,0.28275483,0.63315969
0.39977931,0.27398685,0.28099441,0.6389997
0.3979695,0.26281649,0.28766963,0.65506041
0.39444713,0.24924386,0.27104732,0.64020592
0.38816715,0.24692792,0.2852664,0.65590526
0.38357304,0.24840331,0.30234487,0.672248
0.3831561,0.25186526,0.31359752,0.68896012
0.38688152,0.26141969,0.31734048,0.70353257
0.39496963,0.27492861,0.31402615,0.70506792
0.40354657,0.2938525,0.30882705,0.70109481
0.40955996,0.31466705,0.30231833,0.70311919
0.4140955,0.32762085,0.29961364,0.70729475
0.41426353,0.33166943,0.30111288,0.71227248
0.41471904,0.32814206,0.30354755,0.71629717
0.4138805,0.32198215,0.30447295,0.71391905
0.40989773,0.31160245,0.30764219,0.71398833
0.41430898,0.30897114,0.2987626,0.70495616
0.41997989,0.30981078,0.28979918,0.70033799
0.4238903,0.31444502,0.28175686,0.69666141
0.42614748,0.32326561,0.27545642,0.69160467
0.42810391,0.33641882,0.26998136,0.68119206
0.43177337,0.3505569,0.25998929,0.67258421
0.43450496,0.363646,0.24796236,0.6679672
0.43788501,0.37018289,0.23392912,0.65951162
0.43899139,0.36740894,0.22464881,0.64599823
0.43992915,0.35493752,0.22306042,0.65448307
0.44040017,0.34277018,0.22978004,0.65054703
0.43065716,0.33204675,0.22378301,0.60302129
0.42968117,0.33338398,0.23829278,0.59713289
0.43148114,0.34495296,0.25603144,0.59726951
0.43424481,0.35589116,0.27249016,0.60645355
0.43807625,0.36658141,0.28135949,0.610071
