x1,x2
2747.73812216,2181.65090602
2675.8696582,2129.47243219
2658.14866708,2104.85994453
2683.74565425,2114.70493959
2841.26557526,2165.89891392
3319.73233533,2484.87675397
3834.62557714,2886.55255255
4173.29340732,3259.67786545
4284.54185154,3474.29875783
4300.29384364,3539.27572525
4291.43334808,3546.16722179
4214.64238659,3510.72523956
4269.77435894,3558.96571537
4291.43334808,3533.36872821
4245.16187128,3465.43826227
4350.50331846,3385.69380226
4332.78232735,3274.44535804
4249.09986931,3199.62339556
4109.30093941,3136.61542716
3974.42450704,3099.20444592
3749.9586196,3106.09594246
3411.29078942,2930.85503034
3120.86343506,2601.04769572
2885.56805304,2374.61280926
2773.33510932,2181.65090602
2707.3736424,2119.62743712
2688.66815178,2097.96844798
2702.45114487,2108.79794255
2833.38957921,2157.03841836
3212.42188915,2370.67481124
3631.81867884,2686.69915277
3934.06002728,3042.10347455
4041.37047347,3229.15838075
4092.5644478,3314.8098378
4087.64195027,3334.49982793
4031.52547841,3279.36785558
4059.09146459,3332.53082892
4032.50997792,3291.18184965
4043.33947249,3244.91037285
4256.97586536,3200.60789507
4301.27834314,3121.84793456
4218.58038461,3077.54545678
4144.74292164,3042.10347455
4005.92849124,3047.02597208
3716.48563638,3077.54545678
3412.27528893,2853.07956934
3135.63092765,2563.63671448
2923.96353379,2346.06232358
2807.79259204,2203.30989516
2738.8776266,2150.14692182
2716.23413796,2132.4259307
2736.90862759,2143.25542527
2848.1570718,2214.13938973
3232.11187927,2500.62874607
3659.38466502,2912.14953972
3963.59501247,3314.8098378
4067.95196014,3516.6322366
4120.13043398,3574.71770747
4109.30093941,3576.68670649
4037.43247545,3551.08971932
4070.90545866,3593.42319809
4049.24646952,3564.87271241
4085.67295126,3514.66323759
4215.62688609,3443.77927313
4264.85186141,3338.43782595
4181.16940337,3271.49185952
4079.76595422,3210.45289013
3947.84302037,3206.51489211
3729.28412997,3189.7784005
3426.05828202,2991.89399973
3137.59992666,2639.44317646
2958.42101651,2427.7757826
2808.77709155,2255.488369
2737.8931271,2188.54240257
2722.14113499,2146.20892379
2758.56761673,2153.10042034
2907.22704218,2217.09288825
3369.94181016,2512.44274015
3888.77304999,2923.96353379
4251.06886832,3288.22835113
4358.37931451,3490.05074993
4330.81332833,3530.41522969
4290.44884857,3551.08971932
4250.08436881,3516.6322366
4305.21634117,3560.93471438
4283.55735203,3539.27572525
4342.62732241,3482.17475388
4419.4182839,3389.63180028
4418.4337844,3283.3058536
4326.87533031,3225.22038273
4204.79739152,3164.18141334
4053.18446755,3135.63092765
3837.57907566,3167.13491185
3511.70973907,2971.2195101
3192.73189902,2637.47417745
2948.57602145,2414.97728902
2881.63005502,2276.16285863
2817.63758711,2195.43389911
2790.07160093,2168.85241244
2820.59108563,2184.60440454
2965.31251306,2269.27136208
3464.45376276,2554.77621892
3986.23850112,2966.29701256
4321.95283278,3308.90284077
4431.23227798,3520.57023463
4421.38728291,3574.71770747
4384.96080118,3575.70220698
4301.27834314,3531.3997292
4346.56532043,3582.59370352
4328.84432932,3542.22922376
4323.92183179,3491.03524944
4407.60428983,3396.52329683
4436.15477551,3299.0578457
4331.79782784,3231.12737977
4203.81289202,3169.10391087
4064.01396212,3112.0029395
3830.68757912,3152.36741926
3533.36872821,2943.65352392
3250.81736989,2628.61368189
3039.14997603,2395.28729889
2896.39754761,2235.79837887
2827.48258217,2163.92991491
2794.99409846,2123.56543515
2801.88559501,2114.70493959
2889.50605107,2111.75144107
3132.67742913,2179.68190701
3467.40726128,2398.24079741
3743.06712306,2681.77665523
3897.63354555,2922.97903428
3970.48650902,3027.33598196
3993.12999766,3048.01047159
3967.5330105,3041.11897504
3946.85852087,3019.45998591
3932.09102827,2977.12650713
3951.7810184,2920.02553577
4074.84345669,2882.61455453
4138.8359246,2850.12607082
4056.13796607,2817.63758711
4011.83548828,2788.10260192
3895.66454654,2794.00959896
3723.37713293,2843.23457427
3469.3762603,2697.52864734
3221.2823847,2478.96975693
3014.53748837,2258.44186751
2865.87806292,2145.22442429
2790.07160093,2073.35596032
2756.59861772,2034.96047958
2762.50561475,2029.05348254
2839.29657625,2015.27048945
3049.9794706,2046.77447365
3346.31382201,2212.17039072
3603.26819316,2455.34176878
3780.4781043,2688.66815178
3880.89705394,2816.6530876
3920.27703419,2857.01756736
3903.54054259,2856.03306785
3899.60254456,2860.95556539
3888.77304999,2833.38957921
3898.61804506,2792.04059994
4043.33947249,2778.25760685
4239.25487424,2780.22660587
4187.07640041,2780.22660587
4131.94442805,2794.00959896
4012.81998779,2824.52908365
3811.9820885,2847.1725723
3522.53923364,2641.41217548
3209.46839063,2380.5198063
3037.18097702,2193.4649001
