x1,x2
3438.61274954,2689.73702829
3361.4194021,2595.50099375
3359.41438009,2569.4357076
3375.45455618,2540.36288844
3446.63283759,2592.49346073
3718.31332013,2804.02328294
4386.98816093,3411.54495239
5117.81868408,3975.9586486
5374.46150154,4164.43071767
5354.41128143,4310.7973245
5328.34599528,4383.98062791
5206.03965259,4359.92036378
5105.78855202,4283.72952734
5098.77097498,4285.73454936
5072.70568883,4217.56380097
5017.56758351,4047.13693
5264.18529092,4006.03397877
5693.26000135,4207.53869091
5435.61467289,4116.31018939
5042.63035866,3859.66737193
4701.77661672,3665.18023683
4354.90780875,3613.04966453
3980.97120362,3299.26371975
3631.09486264,2986.48028597
3417.56001842,2792.99566187
3278.21098863,2667.68178616
3208.03521823,2611.54116984
3201.01764119,2613.54619185
3200.01513019,2686.72949527
3418.56252943,2899.26182848
4021.07164385,3381.46962222
4712.80423778,3895.75776814
4911.30141691,4109.29261235
4890.24868579,4222.576356
5046.64040268,4317.81490154
4932.35414803,4308.79230249
4821.0754264,4210.54622393
4842.12815752,4232.60146605
4752.90467801,4158.41565163
4682.72890761,4011.04653379
4896.26375183,4002.02393474
5282.23048902,4197.51358085
5072.70568883,4088.23988123
4740.87454594,3865.68243797
4393.00322697,3708.28821007
4078.21477118,3653.15010476
3749.39116131,3344.37671501
3430.5926615,3010.54055011
3212.04526225,2820.06345903
3102.77156263,2708.78473739
3070.69121045,2674.6993632
3104.77658464,2685.72698426
3210.04024024,2746.88015561
3502.77345391,2959.41248882
4177.46336074,3444.62781558
4889.24617479,3971.94860457
5107.79357403,4218.56631197
5121.82872811,4248.64164215
5222.07982868,4357.91534177
5248.14511483,4362.92789679
5177.96934443,4317.81490154
5176.96683342,4370.94798484
5057.66802374,4337.86512165
4974.45961027,4246.63662013
5139.87392621,4204.53115789
5485.74022318,4382.97811691
5227.09238371,4205.5336689
4903.28132887,3937.86323038
4615.56067023,3773.45142544
4298.76719243,3709.29072108
3947.88834044,3404.52737535
3630.09235163,3074.70125447
3415.55499641,2856.15385523
3300.26623076,2749.88768863
3248.13565846,2713.79729242
3249.13816946,2733.84751254
3311.29385182,2798.0082169
3552.89900419,3006.53050609
4238.61653209,3487.73578882
4934.35917004,4016.05908882
5168.94674538,4282.72701634
5173.9593004,4376.96305087
5240.12502678,4486.2367505
5203.03211957,4492.25181653
5111.80361805,4464.18150837
5108.79608503,4495.25934955
5060.67555676,4427.08860116
4980.4746763,4227.58891103
5160.92665733,4213.55375695
5463.68498105,4364.93291881
5194.00952052,4233.60397706
4889.24617479,4054.15450704
4552.40247687,3901.77283417
4200.52111387,3645.13001672
3858.66486093,3397.50979831
3540.86887212,3092.74645258
3317.30891785,2877.20658635
3214.05028427,2768.93539774
3154.90213493,2678.70940722
3147.88455789,2675.70187421
3219.06283929,2752.89522164
3466.6830577,2980.46521994
4139.36794252,3474.70314575
4853.15577858,4033.10177592
5099.77348598,4236.61151008
5063.68308978,4277.71446131
5118.82119509,4357.91534177
5083.73330989,4255.65921918
4959.42194518,4192.50102583
4881.22608674,4215.55877896
4752.90467801,4039.11684195
4686.73895163,3774.45393645
4894.25872981,3884.73014708
5219.07229566,3981.97371463
5052.65546871,3964.93102753
4654.65859945,3615.05468654
4300.77221444,3391.49473227
4016.05908882,3337.35913797
3757.41124935,3089.73891956
3469.69059072,2868.1839873
3260.16579053,2670.68931918
3110.79165068,2551.3905095
3017.55812715,2497.25491519
2997.50790703,2460.16200798
3014.55059413,2484.22227212
3095.75398559,2544.37293246
3305.27878578,2610.53865884
3629.08984062,2864.17394328
3985.98375865,3167.934778
4222.576356,3340.36667098
4381.9756059,3439.61526055
4409.04340306,3438.61274954
4347.89023171,3368.43697914
4287.73957137,3252.14570248
4261.67428522,3264.17583455
4293.7546374,3223.07288332
4486.2367505,3308.2863188
4844.13317953,3559.91658123
4700.77410571,3556.90904821
4312.80234651,3344.37671501
4037.11181994,3233.09799337
3799.51671159,3150.89209091
3598.01199945,2937.35724669
3354.40182506,2743.87262259
3192.99755315,2545.37544347
3111.79416168,2439.10927686
3059.66358939,2382.96866054
3063.67363341,2394.99879261
3075.70376548,2374.9485725
3120.81676074,2412.04147971
3267.18336757,2422.06658976
3511.79605296,2651.64161007
3800.5192226,2936.35473569
4033.10177592,3156.90715694
4233.60397706,3260.16579053
4275.7094393,3309.28882981
4217.56380097,3316.30640685
4190.49600381,3253.14821349
4165.43322867,3223.07288332
4183.47842677,3202.0201522
4454.15639831,3299.26371975
4887.24115277,3565.93164727
4723.83185885,3574.95424632
4431.09864518,3409.53993038
4121.32274442,3337.35913797
3871.697504,3255.1532355
3599.01451045,2990.49032999
3361.4194021,2768.93539774
