x1,x2
10129.16736067,7407.49895767
9896.16478336,7290.50191885
9891.20728172,7272.65491293
9945.73979981,7346.02593727
10299.70541725,7451.12497214
11247.57973173,8045.03366919
11829.59042483,8796.59091854
12079.44850773,9107.92202184
12013.01798569,9168.4035419
11929.73195806,9243.7575669
11906.92745049,9262.59607315
11822.64992253,9298.290085
11708.6273847,9223.92756032
11651.12036562,9160.47153927
11787.94741102,9111.88802315
12050.69499819,9054.38100407
12124.06602254,9045.45750111
12109.1935176,9016.70399157
12057.6355005,9065.28750769
11869.25043799,9069.25350901
11370.52577253,8862.02994025
11337.80626167,8888.80044914
11150.4126995,8462.45530768
10551.5465008,7905.23212281
10159.90387086,7596.8755205
9962.5953054,7401.54995569
9819.81925803,7378.74544813
9884.26677941,7439.22696819
10348.28893337,7605.79902346
11184.12371068,8166.98820965
11733.41489292,8692.483384
12049.70349786,9057.35550506
11958.4854676,9139.65003236
11777.0409074,9138.65853203
11686.81437746,9130.7265294
11652.11186595,9104.94752085
11548.99583174,8996.87398499
11502.39531628,8873.9279442
11560.89383569,8903.67295407
11794.88791332,8864.01294091
11915.85095345,8929.45196262
11944.60446299,8973.0779771
11979.30697451,9029.59349585
11794.88791332,9083.13451361
11179.16620904,8817.41242545
11246.5882314,8868.97044256
11037.38166199,8444.60830176
10591.20651396,7962.73914189
10277.89241001,7616.70552708
10087.52434685,7509.62349155
9998.28931724,7510.61499188
10124.20985902,7683.13604912
10543.61449817,7810.04809123
11394.32178042,8272.08724452
11809.76041825,8897.7239521
12069.53350444,9044.46600078
11832.56492582,9161.4630396
11825.62442352,9072.22800999
11935.68096003,9058.34700539
11911.88495214,9045.45750111
11833.55642615,9114.86252414
11793.89641299,9051.40650309
11960.46846826,9081.15151295
12234.12255905,8995.88248466
12263.86756892,9104.94752085
12286.67207649,9050.41500276
12306.50208306,9155.51403763
12131.99802517,9116.8455248
11654.09486661,8919.53695933
11690.78037878,8784.69291459
11370.52577253,8424.77829518
10906.50361857,7886.39361656
10630.86652712,7597.86702083
10386.9574462,7428.32046458
10371.09344093,7452.11647247
10473.21797482,7515.57249352
10907.4951189,7683.13604912
11773.07490608,8260.18924057
12267.83357023,8878.88544585
12407.63511662,9159.48003894
12204.37754918,9281.4345794
12165.70903635,9333.98409684
12141.91302846,9424.21062677
12139.9300278,9383.55911329
12102.2530153,9360.75460572
12108.20201727,9261.60457282
12180.58154129,9184.26754717
12445.31212912,9077.18551164
12467.12513636,8987.95048203
12458.2016334,8906.64745506
12459.19313372,8981.00997973
12356.07709951,9032.56799683
11817.69242089,8846.16593499
11925.76595674,8816.42092512
11695.73788042,8494.18331821
11250.55423272,8058.9146738
10902.53761726,7720.81306162
10680.44154357,7618.68852774
10643.7560314,7640.50153497
10759.76156989,7681.15304846
11157.3532018,7882.42761524
12098.28701398,8369.25427676
12522.64915478,8879.87694617
12623.78218833,9110.89652282
12641.62919425,9316.13709092
12530.58115741,9377.61011131
12509.7596505,9340.92459914
12448.28663011,9339.93309881
12381.85610807,9329.02659519
12366.98360313,9214.01255703
12448.28663011,9182.28454651
12674.34870511,9095.03251756
12692.19571103,9041.4914998
12646.5866959,8949.2819692
12569.24967024,9086.1090146
12317.40858668,9007.78048861
11775.05790674,8862.02994025
11815.70942023,8832.28493038
11523.21682319,8440.64230045
11036.39016167,7930.01963103
10608.06201955,7593.90101951
10312.59492152,7398.57545471
10254.09640211,7333.136433
10251.12190113,7345.03443694
10382.99144488,7328.17893135
10621.94302416,7331.15343234
10715.14405508,7543.33450274
11103.81218403,7827.89509715
11049.27966594,8031.15266458
11140.49769621,8083.70218202
11212.87722022,8100.55768761
11231.71572647,8145.17520241
11271.37573963,8160.04770735
11237.66472844,8120.38769419
11450.83729917,8123.36219518
11743.32989621,8237.38473301
11935.68096003,8476.33631229
11989.2219778,8561.60534058
11877.18244062,8559.62233992
11511.31881924,8434.69329847
11004.66215114,8412.88029123
11114.71868765,8426.76129584
10940.21462976,8122.37069485
10489.08198008,7703.95755603
10095.45634948,7379.73694846
9842.6237656,7246.87590438
9705.7967202,7190.36038563
9724.63522645,7260.75690898
9787.09974717,7246.87590438
9958.62930408,7257.78240799
10017.12782349,7338.09393464
10291.77341462,7633.56103267
10377.04244291,7883.41911557
10538.65699653,8094.60868564
10662.59453765,8128.31969682
10709.19505311,8133.27719847
10718.11855607,8117.4131932
10694.32254817,8049.99117083
10837.09859554,8039.08466722
11180.15770936,8044.04216886
11270.3842393,8165.99670932
11266.41823798,8303.81525505
11254.52023404,8507.07282249
11075.05867449,8488.23431624
10531.71649422,8445.59980209
10823.21759094,8557.63933926
10748.85506627,8301.83225439
10424.6344587,7865.57210965
