x1,x2
17488.93586957,10838.73951836
17274.79365323,10547.97760994
17130.39500277,10389.82670705
17197.19165741,10389.82670705
17277.74056447,10561.72986237
18008.57455048,10890.80161682
19569.45520071,11712.00754734
20758.04273173,13027.31226141
21442.70844174,13387.8177357
21094.97291614,13420.23375927
20887.70682602,13394.69386191
20629.36094118,13169.74630439
20508.53758059,13098.03813103
20359.2274114,12975.25016295
20512.46679557,13188.41007553
20680.4407359,13156.9763557
21055.68076635,12967.39173299
21048.80464014,12811.20543759
20791.44105905,12739.49726423
20528.18365548,12662.87757215
20223.66949464,12763.0725541
19745.287571,12798.43548891
19091.07327707,12442.84153335
18208.96451439,11701.20220615
17656.9098099,11209.06803008
17339.62570038,10921.2530329
17168.70484881,10713.00463904
17245.3245409,10696.30547538
17474.2013134,10753.27909257
18154.93780843,11001.80193997
19494.80011612,12156.99114366
20947.62735444,13348.52558591
21407.34550693,13432.0214042
21290.45136132,13178.58703809
21246.24769281,13121.6134209
21108.72516856,12956.5863918
20877.88378857,12932.02879818
20838.59163879,12945.78105061
20842.52085377,12953.63948056
21136.22967341,12889.78973716
21481.01828778,12931.04649444
21403.41629196,12821.02847504
21235.44235162,12719.85118934
20976.11416304,12624.56772611
20678.47612841,12763.0725541
20421.11254732,12938.90492439
19535.07456965,12506.69127675
18878.89566823,11892.75143635
18132.34482231,11202.19190387
17836.67139517,11058.77555715
17663.78593611,11023.41262235
17669.67975858,10813.19962099
17846.49443262,10692.3762604
18300.31876264,10905.53617299
19812.08422564,11843.63624912
21337.60194106,13066.6044112
21737.39956513,13324.95029604
21655.86835433,13287.62275374
21540.93881621,13116.70190217
21192.22098686,13191.35698677
21008.53018661,13012.57770524
20870.02535862,13180.55164558
20892.61834474,13100.00273852
21107.74286482,12982.12628916
21388.68173579,13014.54231273
21317.95586617,12999.80775656
21039.96390644,13055.79907001
20815.99865266,12899.61277461
20404.41338366,12984.09089665
19919.15533381,12894.70125589
19205.02051145,12363.27493004
18392.65531463,11597.07800922
17726.65337577,10934.02298159
17235.50150345,10579.41132977
16952.59802499,10326.9592674
17056.72222192,10393.75592203
17148.07647018,10428.1365531
17596.98928148,10628.526517
18814.06362109,11587.25497177
20313.05913541,12605.90395496
20958.43269563,12920.24115325
20897.52986347,12938.90492439
20780.63571785,12957.56869554
20727.59131564,12898.63047086
20532.11287046,12817.09926006
20482.01537948,12822.01077878
20630.34324492,12973.28555546
20685.35225462,13104.91425724
20942.71583572,12845.58606865
20804.21100773,12682.52364704
20595.96261386,12861.30292857
20403.43107991,12737.53265674
20128.38603141,12797.45318517
19712.87154743,12842.63915742
18971.23222023,12368.18644876
18299.33645889,11703.16681364
17581.27242156,11369.18354046
17251.21836336,11237.55483868
17131.37730652,10770.96055998
17135.3065215,10675.67709674
17115.6604466,10663.88945181
17675.57358105,11025.37722984
19039.01117861,11800.41488436
20793.40566653,12970.33864422
21245.26538907,13619.64141943
21141.14119214,13454.61439033
21055.68076635,13267.97667885
21001.6540604,13253.24212268
20707.94524075,12938.90492439
20532.11287046,12823.97538627
20501.66145438,12820.04617129
20525.23674425,12749.32030168
20697.13989956,12567.59410892
20704.99832952,12559.73567896
20603.82104382,12468.38143071
20293.41306051,12485.08059437
19678.49091637,12371.13335999
19114.64856695,12398.63786484
18622.51439088,11887.83991763
18124.48639235,11601.0072242
17593.0600665,11058.77555715
17210.94390983,10877.0493644
16917.23509019,10653.08411062
16839.63309436,10642.27876943
16731.57968245,10650.13719938
16975.19101112,10722.82767649
17365.16559774,10833.82799963
18042.95518154,11175.66970277
18683.41722305,11758.17582334
19404.42817161,12278.796808
19870.04014657,12439.89462212
19973.18203976,12357.38110757
19936.83680121,12326.92969148
19770.82746836,12078.40684409
19641.16337407,11986.07029209
19719.74767364,11935.97280112
20114.63377899,12037.15008682
20304.2184017,12106.89365269
20188.30655984,12043.04390928
19786.54432828,12073.49532537
19221.71967511,11972.31803967
18719.7624616,12033.22087184
18293.44263643,11743.44126717
17780.68008172,11296.49306336
17308.19198055,10965.45670141
17064.58065188,10723.80998023
16900.53592653,10544.04839496
16905.44744525,10463.4994879
16872.04911793,10432.06576807
16932.9519501,10440.90650178
17135.3065215,10439.92419803
17509.5642482,10748.36757385
17985.98156435,11275.86468472
18590.09836731,11717.90136981
19071.42720218,11885.87531014
19350.40146566,11847.5654641
19396.56974166,11880.96379142
19417.19812029,11800.41488436
19601.87122429,11531.26365833
19801.27888445,11617.70638785
20058.64246554,11699.23759866
20050.78403559,11746.3881784
19888.70391772,11968.38882469
19669.65018267,12061.70768043
19551.77373331,12249.32769566
19198.14438524,12410.42550978
18719.7624616,12081.35375532
18190.30074324,11475.27234488
