x1,x2
16466.62277245,10472.72522545
16255.76253301,10383.89058754
16237.21464158,10376.08094904
16467.59897726,10164.24450479
16814.1516856,10382.91438272
17370.58842856,10984.25654705
19558.26341274,12592.06587277
21468.69623024,13917.75200776
21537.0305671,14529.83242502
21264.66942449,14609.88121962
21426.71942332,14557.16615976
21467.72002543,14437.09296786
21330.07514691,14383.40170318
21148.50105184,14288.7098364
21086.02394386,13998.77700717
21498.95857942,13833.79839391
21848.4399022,13736.17791268
21940.20315454,13691.27249132
21753.74803541,13475.53122782
21264.66942449,13199.26526597
20282.6073834,13028.42942383
19639.28841215,12637.94749894
18574.24896203,11882.36497429
17639.04475192,10936.42251125
16792.67517973,10571.32191148
16513.48060344,10494.20173132
16459.78933877,10398.53365972
16514.45680825,10265.76980526
16668.69716858,10613.29871841
17315.92095908,11143.37793144
19170.71010229,12583.28002946
20883.94954773,13804.51224954
21492.12514574,14317.01977595
21070.40466686,14499.57007584
21150.45346146,14302.37670377
21005.97514925,14406.83061868
20734.59021146,14345.32971551
20575.46882707,14318.97218558
20560.82575488,14316.04357114
20971.80798083,14147.16013863
21725.43809586,13879.68002008
21957.77484116,13916.77580294
21514.57785642,13823.06014097
21160.21550958,13569.2468898
20733.61400665,13380.83936104
20105.91431239,13268.57580763
18675.7742625,12346.06226009
17933.85860521,11545.57431407
16842.46162515,11201.95022017
16917.6293957,11146.30654588
16748.74596318,11020.3761251
16834.65198666,10930.56528238
17207.56222492,10822.20654822
17968.02577364,11032.09058285
20445.63358704,12495.42159636
22536.66429481,13791.82158698
22588.40314986,14258.44748722
22283.82724844,14625.50049661
22127.63447849,14736.78784521
21856.24954069,14796.33633875
21680.53267449,14727.02579708
21685.41369856,14696.7634479
22071.01459938,14470.28393147
22489.80646382,14379.49688393
22620.61790866,14219.39929473
22527.8784515,14569.85682232
22019.27574433,14237.94718616
21749.84321616,14079.80200658
21012.80858294,14198.89899368
19771.0760618,13659.05773252
19000.85046496,12553.99388509
18003.16914688,11914.57973309
17095.29867152,11179.49750949
16719.45981882,10824.15895785
16433.43180884,10671.87100714
16333.85891799,10631.84660984
16723.36463806,10744.11016324
17577.54384875,10958.87522193
19485.04805182,12767.78273897
21076.26189573,14375.59206469
21370.09954421,14936.90983171
20984.49864339,14924.21916915
21237.33568975,14695.78724309
21221.71641275,14943.7432654
21388.64743564,14619.64326774
21454.05315806,14391.21134168
21485.29171205,14580.59507525
21906.03598612,14755.33573664
22180.34953835,14006.58664567
22261.37453776,14017.3248986
21779.12936053,13788.89297254
21358.38508646,13865.0369479
20493.46762284,13895.29929708
19659.78871321,13475.53122782
18798.77606883,12471.99268087
17810.85679887,11713.48154177
16901.03391389,11249.78425597
16629.64897609,10948.136969
16437.33662809,10873.94540327
16488.09927832,10807.56347604
16830.74716741,11027.20955879
17801.09475075,11279.07040034
19671.50317096,12561.80352359
21866.98779363,14018.30110342
22071.01459938,14866.62308523
21850.39231182,15042.33995143
22122.75345443,15050.14958993
21980.22755185,15079.43573429
21733.24773435,14864.67067561
21634.65104832,14681.14417091
21344.71821909,14364.85381175
21222.69261757,14259.42369203
21417.93358001,14235.01857173
21569.2453259,13906.03755001
21284.19352074,13728.36827419
20376.32304537,13445.26887864
19367.90347436,13165.09809754
18759.72787635,12738.4965946
17772.7848112,11737.88666208
17345.20710345,11098.47251008
16512.50439863,10609.39389916
16244.04807527,10201.34028765
16104.45078712,10029.5282407
16101.52217268,10050.02854176
16064.42638982,9880.16890443
16292.85831588,9856.73998894
16833.67578184,10106.64842087
17748.37969089,10942.27974012
18505.91462517,11885.29358872
19100.42335581,12600.85171608
19717.38479713,12695.54358286
19887.24443445,12676.99569143
19909.69714514,12539.35081291
19787.67154361,12347.0384649
19590.47817154,12160.58334577
19780.83810992,12046.36738274
20364.60858763,12236.72732112
20449.53840629,12414.39659695
20225.01129948,12679.92430587
19542.64413574,12556.92249953
18843.6814902,12493.46918673
18209.14836226,12325.56195903
17527.75740333,11685.17160222
16913.72457645,11260.52250891
16391.45500191,10429.77221371
16217.69054534,10193.53064915
16026.35440214,10135.93456523
16071.2598235,10087.12432462
16177.66614804,10106.64842087
16229.40500308,10058.81438507
16626.72036166,10072.48125244
17132.39445438,10465.89179176
17845.0239673,11186.33094318
18561.55829947,11733.98184283
19070.16100663,12058.08184049
19459.6667267,12219.1556345
19438.19022084,12206.46497194
19317.14082412,12147.89268321
19418.66612459,12053.20081643
19791.57636286,11901.88907053
20430.01431005,12084.43937042
20683.82756122,12532.51737922
20422.20467155,12772.66376303
20015.12726486,12854.66496725
19076.0182355,12905.42761749
18369.24595146,12679.92430587
17798.16613631,11773.03003532
16995.72578067,10991.08998073
