x1,x2
0.6669269,0.28859309
0.66695792,0.29691475
0.66790389,0.31501319
0.66517572,0.32425875
0.6606958,0.32820728
0.65087533,0.32687291
0.634567,0.34879578
0.61616496,0.38093621
0.59388128,0.4220967
0.56215393,0.45520935
0.51044974,0.45740071
0.49261208,0.49611218
0.48994481,0.53428637
0.44580348,0.56151962
0.40868485,0.58136372
0.39746798,0.62370626
0.39131589,0.64035673
0.39263755,0.63068542
0.42120283,0.62960424
0.47021346,0.65874033
0.49728503,0.66520212
0.50335926,0.651072
0.50295536,0.63037869
0.49153039,0.59492092
0.47411027,0.57455105
0.46084719,0.57435809
0.46635561,0.57030383
0.48419692,0.56579886
0.48779926,0.54722675
0.49133603,0.52038675
0.51699228,0.52167564
0.55637606,0.52882955
0.5843409,0.5330572
0.59192703,0.5348799
0.56869564,0.47864218
0.55967239,0.49736641
0.57224138,0.51782088
0.59183856,0.53181419
0.59775542,0.53105062
0.58198027,0.51709744
0.54854445,0.49423078
0.51630902,0.46310886
0.49337555,0.43855936
0.47513572,0.41863488
0.45634489,0.38428821
0.4235249,0.34698245
0.40123268,0.30791642
0.39447461,0.25435791
0.38881022,0.22445995
0.39590648,0.21300624
0.40063781,0.21208123
0.37957341,0.21235216
0.35838831,0.20946414
0.34558934,0.19258953
0.33732612,0.16533049
0.33238664,0.15687817
0.32917306,0.14751924
0.31122985,0.1435273
0.27467415,0.1747685
0.27061841,0.19890755
0.27312471,0.22075357
0.28355079,0.24699409
0.30212272,0.27377723
0.31791474,0.2928846
0.32679381,0.31044613
0.32217011,0.33495611
0.30569219,0.3779111
0.292759,0.43291531
0.28289317,0.4848303
0.28128256,0.5335909
0.24129945,0.587884
0.23156825,0.6031771
0.22629858,0.60490038
0.22647237,0.59870734
0.22561931,0.58960796
0.22856283,0.57606332
0.24476762,0.56756213
0.25803427,0.55161755
0.25969654,0.49862585
0.26506647,0.4733929
0.27541975,0.46306566
0.2671814,0.46282685
0.24193127,0.46267082
0.23555388,0.44446365
0.2262361,0.42389676
0.23826074,0.4084259
0.26210178,0.38908083
0.29965722,0.37108682
0.34146114,0.35430329
0.36167741,0.39030486
0.37230641,0.45949834
0.37790754,0.53145392
0.37049135,0.58450329
0.37135337,0.61525884
0.30662536,0.62358158
0.3180598,0.60280908
0.33877672,0.5784641
0.34474832,0.56014926
0.34050089,0.55750068
0.33545855,0.55615291
0.33451694,0.55515501
0.33949795,0.55374565
0.34567195,0.51653195
0.35776627,0.48670505
0.36960408,0.48706963
0.36108786,0.48696267
0.30908797,0.43344163
0.2855215,0.44339027
0.26508643,0.46013975
0.26070567,0.46486659
0.2735011,0.45678657
0.30354593,0.41569903
0.33718267,0.38360525
0.35578357,0.37581628
0.36018689,0.37388828
0.36129573,0.38884036
0.35660919,0.44751248
0.34690581,0.46511159
0.31588194,0.43914177
0.31144222,0.42674038
0.31578396,0.39303717
0.31198424,0.35722632
0.30978984,0.30572708
0.30947695,0.24241605
0.31936351,0.2132648
0.33123391,0.20789419
0.33284522,0.1931004
0.3312051,0.17855205
0.33436514,0.17178591
0.34106874,0.16958836
0.37354149,0.14437606
0.34664874,0.1401105
0.3157433,0.13863941
0.28576916,0.13021662
0.27741722,0.13726108
0.28132922,0.15649386
0.29595657,0.17267816
0.31018557,0.18277788
0.32200572,0.18982754
0.32466829,0.19519796
0.32161338,0.21760366
0.32045025,0.24434364
0.30696459,0.32410425
0.30873988,0.31435167
0.29880227,0.30951971
0.2844374,0.2993952
0.27492883,0.30071364
0.2725775,0.29567542
0.28552731,0.2959525
0.29958298,0.29997511
0.31162283,0.32386643
0.31451936,0.35241724
0.32075415,0.37051352
0.31102779,0.3933312
0.28139366,0.34036666
0.26079205,0.34640805
0.25007806,0.36612802
0.25437304,0.38328786
0.26083858,0.39836112
0.28175416,0.41151607
0.30547552,0.42097621
0.32771574,0.4114416
0.34986209,0.39282324
0.37472453,0.37388042
0.39717859,0.34920472
0.42200832,0.3229617
0.37630562,0.29220302
0.41215272,0.27494378
