x1,x2,x3
2744.0358417,2191.49261596,2162.98059898
2672.26421274,2158.06473398,2108.906084
2654.56709874,2108.906084,2092.19214301
2680.12959673,2112.838776,2116.771468
2837.43727666,2168.87963697,2231.80270894
3315.25935443,2589.67768077,2624.08873576
3829.45883319,2999.66082158,3013.42524357
4167.67034503,3319.19204643,3321.15839243
4278.76889397,3476.49972635,3497.14635934
4294.49966197,3469.61751536,3509.92760834
4285.65110497,3460.76895836,3502.06222434
4208.96361101,3415.54300038,3476.49972635
4264.02129898,3479.44924535,3548.27135532
4285.65110497,3443.07184437,3515.82664634
4239.44197399,3403.74492439,3468.63434236
4344.64148494,3314.27618143,3383.0982914
4326.94437095,3225.79061147,3292.64637544
4243.37466599,3172.6992695,3244.47089846
4103.76410006,3101.91081353,3228.74013047
3969.06939912,3050.78581756,3321.15839243
3744.90595523,3004.57668658,3240.53820647
3406.69444339,2924.93967362,2887.57909963
3116.65840852,2623.10556276,2564.11518279
2881.68006164,2376.32913988,2359.61519888
2769.59833969,2258.34837993,2213.12242195
2703.72574872,2207.22338396,2168.87963697
2685.04546173,2218.03828695,2154.13204198
2698.80988372,2222.95415195,2182.64405897
2829.57189266,2319.3051059,2294.72578091
3208.09349748,2806.95891367,2675.21373173
3626.92519528,3010.47572458,3062.58389355
3928.75930614,3333.93964142,3398.82905939
4035.92516309,3471.58386136,3549.25452832
4087.05015907,3485.34828335,3570.88433431
4082.13429407,3451.92040137,3547.28818232
4026.09343309,3404.72809739,3511.89395434
4053.62227708,3471.58386136,3567.93481531
4027.07660609,3444.05501737,3570.88433431
4037.89150909,3412.59348138,3516.80981934
4251.24004999,3322.14156543,3435.20646037
4295.48283497,3235.62234147,3330.99012242
4212.89630301,3180.56465349,3288.71368344
4139.15832804,3109.77619753,3286.74733744
4000.53093511,3070.44927755,3393.91319439
3711.47807324,2997.69447558,3264.13435846
3407.67761639,2905.27621362,2909.20890562
3131.40600352,2608.35796777,2590.66085377
2920.02380862,2388.12721587,2368.46375588
2804.00939467,2253.43251493,2271.12962893
2735.18728471,2182.64405897,2195.42530796
2712.57430572,2164.94694498,2194.44213496
2733.22093871,2140.36761999,2221.97097895
2844.31948765,2197.39165396,2333.0695279
3227.75695747,2626.05508176,2724.37238171
3654.45403927,3044.88677956,3105.84350553
3958.25449613,3362.45165841,3431.27376838
4062.47083408,3498.12953234,3553.18722032
4114.57900305,3500.09587834,3551.22087432
4103.76410006,3455.85309336,3534.50693333
4031.99247109,3420.45886538,3486.33145635
4065.42035308,3500.09587834,3570.88433431
4043.79054709,3459.78578536,3529.59106833
4080.16794807,3427.34107638,3484.36511035
4209.94678401,3339.83867942,3405.71127039
4259.10543398,3253.31945546,3297.56224044
4175.53572902,3218.90840048,3260.20166646
4074.26891007,3149.10311751,3260.20166646
3942.52372813,3104.86033253,3372.2833884
3724.25932224,3042.92043356,3282.81464545
3421.44203838,2943.61996061,2918.05746262
3133.37234952,2661.44930974,2588.69450777
2954.4348636,2413.68971386,2376.32913988
2804.99256767,2260.31472593,2255.39886093
2734.20411171,2193.45896196,2195.42530796
2718.47334371,2184.61040497,2172.81232897
2754.8507447,2159.04790698,2199.35799996
2903.30986763,2222.95415195,2312.42289491
3365.40117741,2643.75219575,2687.99498073
3883.53334816,3039.97091456,3071.43245055
4245.34101199,3360.48531241,3408.66078939
4352.50686894,3493.21366735,3547.28818232
4324.97802495,3485.34828335,3548.27135532
4284.66793197,3467.65116936,3534.50693333
4244.35783899,3420.45886538,3473.55020736
4299.41552697,3487.31462935,3545.32183632
4277.78572098,3432.25694138,3524.67520333
4336.77610095,3409.64396239,3469.61751536
4413.46359491,3319.19204643,3387.0309834
4412.48042191,3223.82426547,3285.76416444
4321.04533295,3193.34590249,3245.45407146
4199.13188101,3129.43965752,3268.06705045
4047.72323908,3077.33148854,3397.84588639
3832.40835219,3018.34110857,3245.45407146
3506.97808934,2920.02380862,2900.36034863
3188.43003749,2643.75219575,2576.89643178
2944.60313361,2402.87481086,2363.54789088
2877.74736964,2250.48299593,2257.36520693
2813.84112467,2173.79550197,2203.29069196
2786.31228068,2165.93011797,2178.71136697
2816.79064367,2144.30031199,2214.10559495
2961.3170746,2204.27386496,2321.2714519
3459.78578536,2631.95411975,2694.87719172
3980.86747512,3038.00456856,3068.48293155
4316.12946796,3345.73771742,3386.0478104
4425.26167091,3481.41559135,3526.64154933
4415.42994091,3464.70165036,3498.12953234
4379.05253993,3458.80261236,3515.82664634
4295.48283497,3407.67761639,3482.39876435
4340.70879295,3473.55020736,3540.40597132
4323.01167895,3417.50934638,3479.44924535
4318.09581396,3378.1824264,3427.34107638
4401.66551892,3278.88195345,3344.75454442
4430.1775359,3204.16080548,3238.57186047
4325.96119795,3144.18725251,3194.32907549
4198.14870801,3064.55023955,3155.98532851
4058.53814208,3014.40841657,3257.25214746
3825.52614119,2934.77140361,3165.8170585
3528.60789533,2868.89881264,2852.18487165
3246.43724446,2621.13921676,2554.28345279
3035.05504956,2400.90846486,2353.71616089
2892.49496463,2279.97818592,2235.73540094
2823.67285466,2190.50944296,2161.01425298
2791.22814568,2149.21617698,2131.51906299
2798.11035668,2102.02387301,2128.56954399
2885.61275363,2067.61281802,2163.96377198
3128.45648452,2217.05511395,2243.60078494
3462.73530436,2437.28586585,2425.48778985
3738.02374423,2731.25459271,2686.02863473
3892.38190516,2931.82188461,2882.66323464
3965.13670712,2980.98053459,2944.60313361
3987.74968611,2976.06466959,2956.4012096
3962.18718812,2947.5526526,2951.4853446
3941.54055513,2939.68726861,2932.80505761
3926.79296014,2883.64640764,2906.25938662
3946.45642013,2838.42044966,2872.83150464
4069.35304507,2803.02622167,2840.38679566
4133.25929004,2781.39641568,2816.79064367
4050.67275808,2773.53103169,2805.97574067
4006.4299731,2745.0190147,2812.85795167
3890.41555916,2713.55747872,2937.72092261
3718.36028424,2685.04546173,2881.68006164
3464.70165036,2686.02863473,2651.61757974
3216.94205448,2508.07432181,2422.53827085
3010.47572458,2293.74260791,2236.71857394
2862.01660165,2179.69453997,2149.21617698
2786.31228068,2119.720987,2088.25945101
2752.8843987,2061.71378002,2063.68012602
2758.78343669,2044.99983903,2062.69695302
2835.47093066,1961.43013407,2096.12483501
3045.86995256,2080.39406702,2139.38444699
3341.80502542,2223.93732495,2262.28107193
3598.4131783,2523.80508981,2509.05749481
3775.38431821,2739.1199767,2741.0863227
3875.66796417,2841.36996866,2859.06708265
3914.99488415,2850.21852565,2875.78102364
3898.28094315,2831.53823866,2862.99977464
3894.34825116,2828.58871966,2854.15121765
3883.53334816,2808.92525967,2836.45410366
3893.36507816,2767.63199369,2827.60554666
4037.89150909,2752.8843987,2818.75698967
4233.542936,2769.59833969,2826.62237366
4181.43476702,2780.41324268,2856.11756365
4126.37707905,2787.29545368,2916.09111662
4007.4131461,2796.14401068,3061.60072055
3806.8458542,2778.44689668,3007.52620558
3517.79299234,2763.69930169,2697.82671072
3205.14397848,2516.92287881,2412.70654086
3033.08870356,2305.54068391,2207.22338396
