x1,x2,x3
3382.00102718,2738.13902405,2617.84627614
3306.07855514,2670.10460105,2527.13371215
3304.10654288,2583.33606158,2506.42758341
3319.88264097,2528.11971828,2515.30163858
3389.88907623,2497.55352824,2558.68590832
3657.09673756,2522.2036815,2784.48131218
4314.76282652,2699.68478496,3384.95904557
5033.56129556,2950.13034208,3809.92768777
5285.97886494,3259.73626702,4120.51961883
5266.25874233,3410.59520496,4231.93831157
5240.62258294,3484.54566474,4206.30215218
5120.32983503,3495.39173218,4409.41941503
5021.729222,3500.32176283,4286.16864874
5014.82717908,3540.74801417,4387.72728016
4989.19101969,3541.7340203,4304.90276521
4934.96068252,3553.56609387,4108.68754527
5177.51819059,3608.78243717,4089.95342879
5599.52881439,3945.01052763,4257.57447096
5346.12523889,3982.47876058,4160.94587018
4959.61083578,3731.04719734,3981.49275445
4624.36875145,3500.32176283,3870.07406172
4283.21063035,3347.49081262,3601.88039426
3915.43034372,3224.24004632,3261.70827928
3571.31420421,3013.23473442,2965.90644017
3361.29489845,2848.57171065,2766.73320183
3224.24004632,2745.04106696,2670.10460105
3155.2196172,2712.50286466,2615.87426388
3148.31757428,2731.23698114,2637.56639875
3147.33156815,2821.94954513,2689.82472366
3362.28090458,2942.24229304,2946.18631756
3954.87058893,3407.63718657,3495.39173218
4635.21481889,3965.71665636,4014.03095675
4830.4440327,4250.67242804,4264.47651387
4809.73790396,4322.65087556,4403.50337825
4963.5548603,4419.27947634,4567.18039589
4851.15016144,4462.66374607,4493.22993611
4741.70348097,4384.76926177,5323.44709789
4762.40960971,4395.61532921,4602.67661659
4674.6550641,4334.48294912,4530.69816907
4605.63463498,4193.48407248,4407.44740277
4815.65394075,4141.22574757,4330.5389246
5195.26630094,4329.55291847,4397.58734147
4989.19101969,4243.77038513,4358.14709625
4662.82299054,4071.21931231,4142.2117537
4320.6788633,3895.71022111,3992.33882188
4011.07293836,3745.83728929,3726.11716668
3687.6629276,3582.16027165,3386.93105784
3374.11297814,3290.30245706,3079.29714516
3159.16364172,3055.63299803,2788.4253367
3051.68897351,2939.28427465,2714.47487692
3020.13677734,2883.08192521,2677.00664397
3053.66098577,2894.91399878,2681.93667462
3157.19162946,2918.57814591,2735.18100566
3445.10541953,3064.5070532,2986.6125689
4108.68754527,3538.77600191,3653.15271304
4808.75189783,4094.88345944,4140.23974144
5023.70123426,4346.31502269,4303.91675908
5037.50532008,4422.23749473,4334.48294912
5136.10593312,4517.88008937,4371.95118208
5161.74209251,4499.1459729,4377.86721886
5092.72166338,4425.19551312,4316.73483878
5091.73565725,4441.95761734,4376.88121273
4974.40092774,4368.99316369,4305.88877134
4892.56241892,4223.06425639,4112.63156979
5055.25343043,4153.05782114,4129.39367401
5395.42554541,4312.79081426,4348.28703495
5141.03596377,4226.02227478,4206.30215218
4822.55598366,4022.90501193,3993.32482802
4539.57222424,3838.52186555,3973.60470541
4227.99428704,3678.78887243,3728.08917894
3882.89214141,3539.76200804,3350.44883101
3570.32819808,3275.5123651,3027.03882025
3359.32288618,3051.68897351,2821.94954513
3245.93218119,2929.42421334,2713.48887079
3194.65986241,2864.34780874,2680.95066849
3195.64586854,2880.12390682,2682.92268075
3256.77824863,2888.997962,2745.04106696
3494.40572605,3044.7869306,2998.44464247
4168.83391922,3564.4121613,3546.66405096
4853.1221737,4007.12891384,4000.22687093
5083.84760821,4274.33657517,4223.06425639
5088.77763886,4394.62932308,4250.67242804
5153.85404347,4519.85210163,4320.6788633
5117.37181664,4541.5442365,4344.34301043
5027.64525878,4525.76813842,4261.51849548
5024.68724039,4678.59908863,4278.28059969
4977.35894613,4720.0113461,4234.89632996
4898.4784557,4587.88652463,4126.43565562
5075.95955917,4509.99204033,4103.75751462
5373.73341054,4643.10286793,4283.21063035
5108.49776147,4476.4678319,4141.22574757
4808.75189783,4226.02227478,3981.49275445
4477.45383803,3995.29684028,3918.38836211
4131.36568627,3784.29152838,3652.16670691
3795.13759581,3648.22268238,3317.91062871
3482.57365248,3382.98703331,3021.12278347
3262.69428541,3110.84934133,2838.71164935
3161.13565398,3000.41665473,2747.99908535
3102.96129229,2954.0743666,2689.82472366
3096.05924937,2957.03238499,2690.81072979
3166.06568463,2951.11634821,2758.84515279
3409.60919883,3070.42308998,2997.45863634
4071.21931231,3472.71359118,3568.35618582
4773.25567714,4006.14290771,4045.58315292
5015.81318521,4354.20307173,4249.68642191
4980.31696452,4433.08356216,4264.47651387
5034.54730169,4483.36987481,4338.42697365
5000.03708713,4504.07600355,4307.8607836
4877.77232696,4388.7132863,4194.47007861
4800.86384879,4248.70041578,4104.74352075
4674.6550641,4040.65312227,3957.82860732
4609.5786595,3911.48631919,3858.24198815
4813.68192849,3876.97610463,3917.40235598
5133.14791473,3959.80061958,4103.75751462
4969.47089709,3916.41634985,4038.68111001
4578.02646333,3733.0192096,3805.98366324
4229.9662993,3559.48213065,3670.90082338
3949.94055828,3415.52523562,3419.46926014
3695.55097664,3299.17651223,3190.71583789
3412.56721722,3076.33912677,2854.48774743
3206.49193598,2874.20787004,2632.6363681
3059.57702255,2687.8527114,2522.2036815
2967.87845243,2610.94423323,2466.00133207
2948.15832982,2576.43401867,2442.33718494
2964.92043403,2532.0637428,2450.22523398
3044.7869306,2509.3856018,2520.23166924
3250.86221184,2690.81072979,2671.09060718
3569.34219195,3021.12278347,2925.48018882
3920.36037437,3313.96660419,3217.33800341
4153.05782114,3498.34975057,3368.19694136
4309.83279587,3623.57252912,3423.41328466
4336.45496139,3611.74045556,3426.37130305
4276.30858743,3592.02033295,3414.53922949
4217.14821961,3593.99234521,3371.15495975
4191.51206022,3513.13984252,3338.61675745
4223.06425639,3412.56721722,3258.75026089
4412.37743342,3439.18938274,3322.84065936
4764.38162197,3624.55853526,3556.52411226
4623.38274532,3597.93636974,3589.06231456
4241.79837287,3430.31532757,3420.45526627
3970.64668702,3379.04300879,3351.43483714
3736.96323412,3289.31645093,3169.02370302
3538.77600191,3206.49193598,2969.85046469
3299.17651223,2993.51461182,2759.83115892
3140.42952524,2788.4253367,2612.91624549
3060.56302868,2654.32850297,2490.65148532
3009.2907099,2570.51798189,2408.8129765
3013.23473442,2536.00776732,2395.00889068
3025.06680799,2476.8473995,2413.74300716
3069.43708385,2442.33718494,2475.86139337
3213.39397889,2563.61593897,2607.00020871
3453.9794747,2809.13146544,2796.31338574
3737.94924025,3105.91931068,3085.21318194
3966.70266249,3315.93861645,3278.47038349
4163.90388857,3449.04944405,3367.21093523
4205.31614605,3511.16783026,3390.87508236
4148.12779048,3514.12584865,3407.63718657
4121.50562496,3482.57365248,3448.06343792
4096.8554717,3452.00746244,3445.10541953
4114.60358205,3407.63718657,3367.21093523
4380.82523725,3475.67160957,3485.53167087
4806.77988557,3777.38948546,3814.85771842
4646.06088632,3816.82973068,3828.66180424
4358.14709625,3552.58008774,3762.59939351
4053.47120197,3401.72114979,3622.58652299
3807.9556755,3271.56834058,3336.64474519
3539.76200804,3188.74382563,3037.88488768
3306.07855514,2995.48662408,2839.69765548
