x1,x2,x3
10370.83518717,7211.66926093,7580.17094191
10132.27349287,6962.95600517,7481.70079575
10127.19771214,6933.51647693,7459.36736054
10183.03130016,6819.81898859,7574.08000504
10545.44204427,7060.41099518,7889.79356643
11515.93131981,7815.68716778,8617.66052309
12111.8279775,8391.28070254,9198.32983858
12367.64732628,8627.81208455,9488.66449632
12299.6318645,8802.41894165,9561.75573883
12214.35874824,8865.3586227,9729.25650292
12191.01015688,8867.38893499,9701.84728698
12104.72188447,8868.40409114,9633.8318252
11987.97892769,8688.7214533,9546.52839664
11929.09987122,8693.79723403,9459.22496809
12069.19141936,8785.16128717,9380.04278871
12338.20779805,8710.03973237,9252.13311431
12413.32935285,8616.64536694,9229.7996791
12398.10201066,8475.53866265,9202.39046316
12345.31389107,8450.159759,9323.19404453
12152.43422333,8490.76600484,9548.55870894
11641.81068191,8156.77963282,9247.05733359
11608.3105291,8213.62837699,8988.19251636
11416.44601751,8089.77932719,8613.5998985
10803.29170535,7601.48922098,8136.4765099
10402.30502769,7370.0336197,7813.65685548
10200.28895465,7177.15395196,7646.1560914
10054.10646963,7089.85052341,7655.29249671
10120.09161911,6997.47131413,7795.38404486
10595.18469543,7192.38129415,8130.38557302
11450.96132647,7884.7177857,8785.16128717
12013.35783134,8347.62898826,9344.5123236
12337.1926419,8630.85755298,9681.54416406
12243.79827647,8728.312543,9862.24195804
12058.02470176,8720.19129383,9866.30258262
11965.64549248,8738.46410446,9818.59024376
11930.11502737,8798.35831707,9782.04462251
11824.53878819,8853.17674895,9680.52900791
11776.82644933,8876.52534031,9503.89183851
11836.72066194,8769.93394498,9499.83121393
12076.29751239,8742.52472904,9542.46777206
12200.14656219,8757.75207123,9621.64995145
12229.58609043,8626.7969284,9646.01369895
12265.11655554,8637.96364601,9752.60509428
12076.29751239,8655.22130049,9843.96914741
11445.88554574,8271.49227731,9273.45139338
11514.91616367,8354.73508128,9137.42046982
11300.71821687,8214.64353314,8777.040038
10843.89795119,7745.6413937,8242.05274908
10523.10860906,7383.2306496,7914.15731393
10328.19862904,7084.77474268,7781.17185881
10236.8345759,7013.71381246,7763.91420433
10365.75940644,6927.42554006,7852.23278903
10795.17045618,7076.65349351,8191.29494178
11666.17442942,7810.61138705,8920.17705458
12091.52485458,8473.50835036,9280.5574864
12357.49576482,8757.75207123,9606.42260926
12114.87344593,8851.14643666,9655.15010426
12107.76735291,8900.88908781,9657.18041655
12220.44968511,8957.73783199,9752.60509428
12196.08593761,8985.14704793,9711.99884844
12115.88860208,8947.58627053,9672.40775874
12075.28235624,8907.99518083,9563.78605113
12245.82858876,8806.47956624,9507.9524631
12526.01168505,8806.47956624,9499.83121393
12556.46636943,8779.0703503,9509.98277539
12579.81496078,8652.17583205,9503.89183851
12600.1180837,8682.63051643,9641.95307437
12421.45060201,8664.3577058,9902.84820388
11932.14533966,8290.78024409,9453.13403122
11969.70611706,8268.44680888,9248.07248973
11641.81068191,8146.62807136,8878.5556526
11166.7176056,7741.58076912,8349.65930055
10884.50419702,7400.48830408,8035.97605145
10634.77578512,7200.50254332,7897.9148156
10618.53328678,7138.57801842,7854.26310132
10723.09436982,7104.06270946,7986.2334003
11167.73276175,7358.86690209,8278.59837034
12053.96407718,8031.91542687,8896.82846323
12560.52699401,8627.81208455,9416.58840996
12703.66401059,8875.51018416,9728.24134677
12495.55700067,8941.49533365,9770.8779049
12455.96591098,8890.73752635,9761.74149959
12431.60216347,8983.11673563,9750.57478198
12429.57185118,8935.40439677,9692.71088166
12390.99591764,8815.61597155,9552.61933352
12397.08685451,8858.25252968,9468.36137341
12471.19325317,8743.53988519,9430.800596
12742.23994414,8657.25161278,9326.23951297
12764.57337935,8686.69114101,9318.1182638
12755.43697404,8646.08489517,9333.34560599
12756.45213018,8658.26676893,9455.16434351
12650.875891,8637.96364601,9807.42352616
12099.64610374,8339.50773909,9464.30074882
12210.29812365,8420.72023077,9250.10280202
11974.78189779,8334.43195836,8893.78299479
11518.97678825,7845.12669601,8359.81086201
11162.65698102,7564.94359972,8063.38526739
10935.26200432,7495.9129818,7917.20278237
10897.70122692,7437.03392533,7934.46043685
11016.474496,7343.6395599,8072.5216727
11423.55211053,7558.85266285,8357.78054972
12386.93529305,8252.20431054,9058.23829044
12821.42212352,8799.37347322,9509.98277539
12924.96805041,8978.0409549,9721.13525375
12943.24086104,9089.70813096,9746.5141574
12829.54337269,9063.31407117,9669.36229031
12808.22509363,9151.63265586,9624.69541988
12745.28541258,9077.52625721,9573.93761259
12677.2699508,9040.98063595,9475.46746643
12662.04260861,9020.67751304,9416.58840996
12745.28541258,8928.29830375,9474.45231028
12976.74101386,8827.7978453,9421.66419069
12995.01382448,8794.29769249,9411.51262923
12948.31664177,8627.81208455,9483.58871559
12869.13446238,8643.03942674,9625.71057603
12611.28480131,8525.2813138,9811.48415074
12055.99438947,8173.02213116,9399.33075548
12097.61579145,8193.32525407,9241.98155286
11798.14472839,8098.9157325,8781.10066259
11299.70306072,7630.92874921,8285.70446336
10861.15560567,7214.71472937,8009.58199166
10558.63907417,6986.30459652,7784.21732725
10498.74486156,6887.83445036,7784.21732725
10495.69939312,6781.24305504,7863.39950664
10630.71516053,6866.5161713,7960.85449665
10875.36779171,7095.94146029,8135.46135375
10970.79246943,7232.98753999,8177.08275574
11368.73367865,7533.4737592,8416.65960619
11312.90009062,7747.671706,8662.32739351
11406.29445605,7834.97513455,8823.73722072
11480.40085471,7857.30856976,8875.51018416
11499.68882148,7930.39981227,8826.78268916
11540.29506732,7896.89965945,8827.7978453
11505.77975835,7848.17216445,8765.8733204
11724.03832974,7936.49074915,8725.26707456
12023.5093928,8008.56683551,8875.51018416
12220.44968511,8103.99151323,9063.31407117
12275.268117,8140.53713448,9155.69328045
12160.5554725,8215.65868929,9225.73905452
11785.96285464,8122.26432386,9341.46685516
11267.21806405,7857.30856976,8923.22252302
11379.90039626,7938.52106144,8794.29769249
11201.23291457,7892.83903487,8484.67506797
10739.33686815,7527.38282232,8050.18823749
10336.3198782,7183.24488884,7803.50529402
10077.45506098,6979.1985035,7661.38343359
9937.36351284,6821.84930088,7659.3531213
9956.65147961,6767.030869,7684.73202495
10020.60631681,6734.54587232,7734.4746761
10196.22833006,6963.97116131,7783.20217111
10256.12254267,7129.4416131,7773.05060965
10537.32079511,7385.26096189,7994.35464947
10624.62422366,7607.58015785,8264.38618429
10790.09467545,7739.55045683,8401.432264
10916.9891937,7847.1570083,8364.88664274
10964.70153256,7817.71748007,8332.40164607
10973.83793787,7706.05030401,8226.82540689
10949.47419037,7682.70171265,8176.06759959
11095.65667539,7694.88358641,8134.44619761
