x1,x2,x3
17537.96227278,11034.61319814,10801.15459004
17323.21975563,10680.97758503,10611.03850834
17178.41631516,10576.5614987,10569.66609677
17245.40021959,10527.30862779,10547.99483358
17326.17492788,10426.83277114,10599.21781932
18059.05764699,10391.37070409,11022.79250912
19624.31388443,10716.43965208,12077.78900397
20816.2333604,10936.10745633,13258.87284833
21502.81838085,11297.62352879,13272.66365218
21154.10805482,11770.4510895,13374.12456625
20946.26093959,12094.53498007,13347.52801596
20687.19083862,12079.7591188,13051.0257331
20566.02877618,12042.32693691,12970.25102481
20416.30004863,11957.61199895,12919.02803907
20569.96900586,11945.79130993,12815.59701016
20738.41382436,11888.65797968,12960.40045063
21114.7057581,11915.25452997,13051.0257331
21107.81035617,11876.83729066,12852.04413463
20849.72531261,11936.92579317,12687.5395458
20585.72992455,12023.61084597,12783.09011536
20280.36212492,12069.90854462,13048.07056085
19800.63916228,12048.23728142,12848.10390496
19144.59092179,11989.13383633,12247.21887989
18260.00936029,11710.362587,11584.27523747
17706.40709129,11101.59710258,11115.38790643
17388.23354523,10809.03504939,10783.42355651
17216.83355447,10701.66379081,10794.25918811
17293.66803308,10679.00747019,10743.03620237
17523.18641151,10689.84310179,10890.79481509
18205.83120229,11015.8971072,11171.53617927
19549.44952065,12115.22118586,12234.41313345
21006.3494421,13300.24525989,13279.55905411
21467.35631379,13791.78891155,13132.78549881
21350.13448103,13710.02914584,13402.69123138
21305.80689722,13537.64409767,13409.58663331
21167.89885868,13365.25904949,13445.04870036
20936.41036541,13425.347552,13451.94410229
20897.00806868,14373.95784568,13349.4981308
20900.94829836,13573.10616472,13442.09352811
21195.48046638,13306.1556044,13294.33491538
21541.23562016,13207.64986259,13289.40962829
21463.41608412,12969.26596739,13225.38089611
21294.97126562,12893.4165462,13025.41424023
21034.91610723,12724.97172769,13078.60734081
20736.44370953,12702.31540707,13484.45099709
20478.35866597,12629.42115813,13241.1418148
19589.8368748,12574.25794271,12881.59585718
18931.81851947,12175.30968836,11883.73269259
18183.17488167,11679.82580703,11385.293639
17886.67259881,11132.13388254,11177.44652377
17713.30249322,11028.70285363,11060.22469101
17719.21283772,10863.21320738,11048.404002
17896.52317299,10845.48217386,11181.38675345
18351.61970018,11042.49365749,11527.14190722
19867.62306671,12243.27865022,12730.8820722
21397.41723711,13434.21306876,13982.89005067
21798.33560629,13725.79006453,14301.06359674
21716.57584059,13639.10501174,14119.8130318
21601.32412266,13567.19582021,13764.20730384
21251.62873922,13472.63030807,13779.96822253
21067.42300202,13370.18433658,13605.61305952
20928.52990606,13445.04870036,13451.94410229
20951.18622668,13247.05215931,13596.74754276
21166.91380126,13226.36595353,13482.48088225
21448.64022285,13243.11192964,13485.43605451
21377.71608874,13138.69584332,13448.98893003
21098.94483941,12883.56597201,13576.06133698
20874.35174807,12790.97057471,13587.88202599
20461.61268986,12808.70160824,13890.29465337
19974.99432529,12723.98667027,13753.37167224
19258.8575823,12538.79587566,12997.83263252
18444.21509748,12045.28210917,12310.26255465
17776.34616798,11485.76949566,11863.04648681
17283.8174589,11027.71779622,11546.84305558
17000.12092247,10902.61550411,11437.50168217
17104.5370088,10854.34769062,11470.00857697
17196.14734869,10798.19941779,11548.81317042
17646.31858878,10878.97412607,11864.03154423
18866.80472987,11700.51201281,12962.37056547
20370.00234997,12848.10390496,14150.34981176
21017.1850737,13256.90273349,14501.03025262
20956.11151377,13239.17169997,14306.97394124
20838.88968101,13221.44066644,14069.57510347
20785.69658043,13092.39814466,13833.16132311
20589.67015422,12978.13148416,13830.20615086
20539.43222589,13025.41424023,13683.43259555
20688.17589604,12977.14642674,13768.14753352
20743.33911145,12866.81999591,13680.4774233
21001.42415501,12816.58206758,13818.38546184
20862.53105905,12665.8682826,13858.77281599
20653.6988864,12427.48438741,13570.15099247
20460.62763244,12378.2315165,13680.4774233
20184.81155536,12371.33611458,13909.01074431
19768.13226748,12199.93612382,13732.68546646
19024.41391678,12031.49130531,13158.39699168
18350.63464276,11560.63385944,12441.27519126
17630.55767009,11107.50744709,11798.03269721
17299.57837759,10798.19941779,11488.72466791
17179.40137258,10552.92012067,11400.06950028
17183.34160225,10424.86265631,11381.35340933
17163.64045389,10366.74426864,11413.86030413
17725.12318223,10682.94769986,11666.03500318
19092.38287863,11678.84074961,13032.30964216
20851.69542745,12908.19240747,14111.93257245
21304.8218398,13261.82802059,14325.69003219
21200.40575348,13237.20158513,14218.31877361
21114.7057581,13128.84526913,14342.4360083
21060.5276001,12919.02803907,14107.00728536
20765.99543207,12644.1970194,14000.6210842
20589.67015422,12907.20735005,13803.60960057
20559.13337426,12862.87976623,13771.10270577
20582.77475229,12752.5533354,13563.25559054
20755.15980047,12604.79472268,13709.04408843
20763.04025982,12444.23036352,13584.92685374
20661.57934575,12376.26140167,13552.41995894
20350.30120161,12231.4579612,13638.11995432
19733.65525785,12028.53613306,13514.98777705
19168.23229983,11844.33039586,13114.06940786
18674.71853333,11807.88327139,12611.6901246
18175.29442233,11570.48443362,12055.13268335
17642.37835911,11060.22469101,11903.43384095
17259.19102345,10665.21666634,11606.93155809
16964.65885542,10435.69828791,11362.63731839
16886.83931939,10287.93967518,11325.2051365
16778.48300339,10150.03163664,11437.50168217
17022.77724309,10086.00290446,11482.8143234
17413.8450381,10286.95461777,11669.97523285
18093.53465662,10814.94539389,12021.64073113
18735.79209326,11398.09938544,12819.53723983
19458.82423818,11885.70280743,13239.17169997
