x1,x2,x3
16480.80399817,11016.1883495,10488.58376336
16269.76216371,10575.54081552,10386.97102825
16251.19829864,10534.50490326,10302.94511268
16481.7810437,10513.98694714,10204.26351416
16828.63220681,10425.07580392,10247.25351748
17385.54815885,10991.76221125,10932.16243393
19575.10719133,12495.43528175,12611.70369981
21487.18529332,14211.12723224,14096.81290524
21555.57848041,14627.34862797,14608.7847629
21282.98277757,14715.28272566,14857.93137302
21445.17233554,14728.96136308,14956.61297154
21486.20824779,14726.03022649,14930.23274223
21348.44482808,14544.29975793,14946.84251624
21166.71435952,14424.12315775,14961.49819919
21104.1834456,14553.0931677,14667.40749469
21517.47370475,14528.66702945,14409.4674748
21867.25600445,14181.81586634,14465.15907001
21959.09828426,14230.66814283,14719.19090778
21772.48258805,14066.52449381,14245.32382578
21282.98277757,13872.09243337,14194.51745823
20300.07497451,13471.50376611,14332.28087794
19656.20197031,13072.86918992,13228.21942917
18590.2452972,12408.47822959,12065.5352486
17654.23567957,12464.16982479,11483.21611279
16807.13720515,11010.32607632,10636.11763837
16527.7021836,10771.92696703,10653.70445791
16473.96467946,10847.15947283,10741.6385556
16528.67922913,11069.92585364,10906.75925015
16683.05242286,10558.93104151,10900.89697697
17330.83360917,10799.28424186,11254.58745879
19187.22011596,12314.68185872,12679.11984137
20901.93502092,13823.24015687,14084.11131335
21510.63438604,14425.10020328,14603.89953525
21088.55071713,14566.77180512,14737.75477285
21168.66845058,14623.44044585,14966.38342684
21024.06571215,14543.3227124,15025.00615863
20752.44705484,14428.03133987,15078.74366278
20593.18863347,14406.53633821,14857.93137302
20578.53295052,14166.18313786,14650.79772069
20989.86911861,13951.23312129,14952.70478942
21744.14826768,13888.70220737,15017.1897944
21976.68510379,13850.59743171,15804.68849149
21533.10643323,13450.98580998,16198.43784003
21178.43890588,13363.05171229,15968.83214051
20751.47000931,13283.91102437,15763.65257923
20123.2297336,12684.98211455,14854.0231909
18691.85803231,12178.87253007,13801.74515521
17949.30342959,12729.92620892,12591.18574368
16856.96652718,11109.00767484,11159.81404239
16932.19903298,10805.14651504,10821.75628905
16763.17015631,10774.85810362,10730.89105477
16849.15016294,10679.10764169,10735.77628242
17222.38155535,10712.3271897,10856.92992813
17983.50002314,11241.8858669,11390.39678745
20463.241578,12615.61188193,13229.1964747
22556.07310302,14130.03245326,14658.61408493
22607.8565161,14564.81771406,14856.95432749
22303.01831078,14694.76476953,15059.20275218
22146.691026,14845.22978113,15145.18275881
21875.07236869,14952.70478942,14994.71774721
21699.20417331,14383.0872455,14854.0231909
21704.08940096,14556.02430429,14645.91249304
22090.02238526,14308.83178523,14384.06429103
22509.17491758,14269.74996403,14137.84881749
22640.09901859,14241.41564366,14213.0813233
22547.27969325,14094.85881418,14492.51634484
22038.23897218,13875.02356995,14440.73293176
21768.57440593,13695.24719246,14613.66999055
21030.90503086,13617.08355006,14561.88657747
19788.10311684,13146.14760466,13702.08651116
19017.21419376,12669.34938607,12641.0150657
18018.67366221,12007.88956234,11917.02432806
17110.02131942,11208.66631889,11390.39678745
16733.85879041,11115.84699355,10918.48379651
16447.58445015,11125.61744885,10895.03470379
16347.9258061,10985.89993807,11079.69630894
16737.76697253,10774.85810362,11295.62337105
17592.68181118,11069.92585364,11787.07727258
19501.82877659,12727.97211786,13194.99988115
21094.41299031,14062.61631169,14679.13204105
21388.5036948,14710.39749801,15347.4311835
21002.5707105,14515.96543756,15092.4223002
21255.62550274,14494.4704359,14910.69183164
21239.99277426,14508.14907332,14930.23274223
21407.06755987,14422.16906669,15011.32752122
21472.52961037,14044.05244663,14653.72885728
21503.79506733,13835.94174876,14367.45451702
21924.90169071,13794.9058365,14464.18202448
22199.45148461,13979.56744165,14729.93840861
22280.54626359,13920.94470986,14776.83659404
21797.88577183,13682.54560057,14732.8695452
21376.77914844,13666.91287209,14830.57409819
20511.11680896,13190.1146535,14516.94248309
19676.71992644,12742.62780081,13727.48969494
18814.96576907,12102.66297874,12658.60188524
17826.19569283,11458.78997454,11697.18908383
16915.58925897,10974.17539171,11176.4238164
16643.97060166,10576.51786105,11011.30312185
16451.49263227,10451.45603322,10973.19834618
16502.29899983,10616.57672777,10758.24832961
16845.24198082,10599.96695377,10888.19538508
17816.42523753,10981.01471042,11618.04839591
19688.44447279,12490.5500541,13087.52487286
21885.81986952,14117.33086137,14726.03022649
22090.02238526,14538.43748475,15235.07094756
21869.21009551,14628.3256735,15503.75846828
22141.80579835,14524.75884733,15322.02799972
21999.15715098,14186.70109399,15120.75662056
21751.96463192,14255.09428108,14894.08205763
21653.2830334,13722.60446729,14549.18498558
21363.10051102,13520.35604261,14310.78587629
21240.96981979,13400.17944243,13865.25311466
21436.37892577,13353.28125699,13704.04060222
21587.8209829,13261.43897718,14205.26495906
21302.52368817,13201.83919986,14036.23608239
20393.87134537,12879.414175,13763.64037955
19384.583313,12762.16871141,13410.92694326
18775.88394788,12265.82958223,12417.27163936
17788.09091716,11774.37568069,11717.70703996
17360.14497507,11298.55450764,11324.93473694
16526.72513807,10722.097645,11065.04062599
16258.03761735,10402.60375673,10936.07061605
16118.32010658,10094.83441481,10476.859217
16115.38896999,10086.04100504,10343.00397941
16078.26123985,9951.20872192,10341.04988835
16306.88989385,9746.02916064,10562.83922363
16848.17311741,10181.79146697,10885.26424849
17763.66477891,11023.02766821,11323.95769141
18521.85211011,11820.2968206,12367.44231734
19116.87283781,12322.49822296,12948.78440762
19734.3656127,12647.85438441,13020.1087313
19904.3715349,12790.50303178,13038.67259637
19926.84358209,12517.90732894,12674.23461372
19804.71289085,12202.32162278,12503.25164599
19607.34969381,12038.17797376,12396.75368323
19797.87357214,11949.26683054,12397.73072876
20382.14679902,12008.86660787,12633.19870147
20467.14976012,12089.96138685,12957.57781739
20242.42928824,12191.57412196,13427.53671727
19559.47446285,12146.63002758,13438.28421809
18859.90986345,11984.44046962,13169.59669737
18224.83026902,11740.17908715,12652.73961206
17542.85248916,11490.0554315,11937.54228418
16928.29085086,12139.79070887,11410.91474357
16405.57149237,10597.03581718,11009.34903079
16231.65738805,10176.90623932,10840.32015412
16040.15646419,9909.19576413,10515.9410382
16085.10055856,9668.84256378,10388.92511931
16191.59852132,9615.10505964,10711.35014417
16243.38193441,9740.16688746,10859.86106472
16641.03946507,9857.41235105,10821.75628905
17147.14904955,10213.05692393,11267.28905068
17860.39228637,11092.39790083,12073.35161284
18577.54370531,11663.96953582,12915.5648596
19086.58442638,12022.54524529,12873.55190182
19476.42559281,12119.27275274,12929.24349702
19454.93059115,11977.60115091,12948.78440762
19333.77694545,11855.47045967,12685.95916008
19435.38968055,11727.47749526,12702.56893409
19808.62107297,11807.59522871,12752.39825611
20447.60884952,11988.34865174,13155.91805996
20701.64068729,12088.98434132,13651.28014361
20439.79248528,12140.7677544,13776.34197144
20032.36449932,12413.36345724,13989.33789695
19092.44669956,12473.94028009,13595.58854841
18385.06573592,12237.49526186,12796.36530496
17813.49410094,11987.37160621,11999.09615257
17010.36267537,11279.01359704,11545.7470267
