x1,x2,x3
0.0,3.665e-5,-0.0
0.0,0.0001706,-0.0
0.0,0.0009568,-0.0
0.0,0.01040292,-0.0
0.0,0.08442427,0.00018023
0.0,0.13938047,0.01040787
0.0,0.22147663,0.05704164
0.0,0.30113185,0.10634893
0.0,0.39371558,0.17178962
0.00065158,0.46018668,0.22589611
0.03269988,0.52472881,0.27311217
0.07922616,0.56307182,0.32240867
0.08762468,0.59301998,0.35647268
0.08550981,0.59215227,0.34818728
0.03770941,0.53504916,0.29808244
0.00155976,0.4566946,0.22799616
0.0,0.36612461,0.17290026
0.0,0.25437056,0.10410403
0.0,0.14376262,0.01911146
0.0,0.07737764,9.86e-6
0.0,0.03180374,-0.0
0.0,0.0021626,-0.0
0.0,0.00015702,-0.0
0.0,4.839e-5,-0.0
0.0,0.00012548,-0.0
0.0,0.00061455,-0.0
0.0,0.00146813,-0.0
0.0,0.01327496,-0.0
0.0,0.04457476,6.557e-5
0.0,0.08657392,0.00459397
0.0,0.14841739,0.04114611
0.0,0.24175202,0.08717142
0.0,0.31671753,0.14486437
0.00096757,0.35607714,0.18235945
0.06720894,0.34174622,0.21457786
0.18959728,0.3311495,0.22439152
0.21951001,0.34707588,0.19375095
0.18979475,0.36029729,0.16934126
0.08222741,0.39726458,0.17199476
0.00277814,0.35350142,0.14920341
0.0,0.31264351,0.10820753
0.0,0.24228276,0.06864536
0.0,0.18060957,0.00857373
0.0,0.11319767,2.26e-6
0.0,0.06334211,-0.0
0.0,0.00423013,-0.0
0.0,0.00028794,-0.0
0.0,8.354e-5,-0.0
0.0,0.00024527,-0.0
0.0,0.00170276,-0.0
0.0,0.00784192,-0.0
0.0,0.02519705,-0.0
0.0,0.09569783,2.605e-5
0.0,0.14280189,0.00399163
0.0,0.2355598,0.06364929
0.0,0.32207932,0.12816269
0.0,0.43936527,0.20377708
0.00059807,0.53801238,0.28979072
0.03554512,0.61158797,0.33460606
0.11776615,0.64455035,0.34271639
0.15786262,0.65558528,0.32068695
0.12718395,0.61019175,0.30190465
0.03658902,0.57423639,0.22755746
0.00084176,0.51231037,0.1455661
0.0,0.4282403,0.11670609
0.0,0.32705054,0.06000838
0.0,0.23225817,0.00712113
0.0,0.16993588,4.6e-7
0.0,0.09493515,-0.0
0.0,0.00586783,-0.0
0.0,0.00042339,-0.0
0.0,0.0001134,-0.0
0.0,0.00030315,-0.0
0.0,0.001357,-0.0
0.0,0.00336212,-0.0
0.0,0.01918548,-0.0
0.0,0.08938819,8.96e-6
0.0,0.14724573,0.0010783
0.0,0.22121364,0.0590648
0.0,0.32679108,0.12013705
0.0,0.42202566,0.19000555
0.00046697,0.50763464,0.25537291
0.00861459,0.59066485,0.29082687
0.02218023,0.61385688,0.30331202
0.03197864,0.6183049,0.27800302
0.02341038,0.60949046,0.24545083
0.0127497,0.58287562,0.21846746
0.00111346,0.5120195,0.14884762
2.0e-8,0.42323596,0.10027505
0.0,0.3252184,0.05002373
0.0,0.22608452,0.00610187
0.0,0.16546198,4.0e-8
0.0,0.09600576,-0.0
0.0,0.00422067,-0.0
0.0,0.00023938,-0.0
0.0,5.784e-5,-0.0
0.0,0.00013207,-0.0
0.0,0.00118047,-0.0
0.0,0.01148381,-0.0
0.0,0.04229837,-0.0
0.0,0.14031304,1.175e-5
0.0,0.19992734,0.00134021
0.0,0.2973326,0.04375975
0.0,0.42414177,0.09400881
0.0,0.54612223,0.14587589
0.0009581,0.63843553,0.21134745
0.0325767,0.72175356,0.25686393
0.0957214,0.75213697,0.29148163
0.09433886,0.75419976,0.29358963
0.08407042,0.71047415,0.25278651
0.04280852,0.63965959,0.18287517
0.00299911,0.56295491,0.13156178
1.4e-7,0.4493112,0.08005221
0.0,0.32147622,0.04179753
0.0,0.21375949,0.00244084
0.0,0.14049998,-0.0
0.0,0.07744758,-0.0
0.0,0.00463028,-0.0
0.0,0.00040271,-0.0
0.0,0.00014481,-0.0
0.0,0.00031248,-0.0
0.0,0.00195718,-0.0
0.0,0.00693352,-0.0
0.0,0.02106439,-0.0
0.0,0.10582694,1.66e-5
0.0,0.16057044,0.00194718
0.0,0.26131257,0.05185023
0.0,0.36548928,0.14921713
0.0,0.47617549,0.21568715
0.00084955,0.5726473,0.26286365
0.03710129,0.63646058,0.29693793
0.11190713,0.64930913,0.31145069
0.13963306,0.64410139,0.29810382
0.11703771,0.63987047,0.30020135
0.05632407,0.60082465,0.27690879
0.00301609,0.5273532,0.22894151
2.8e-7,0.4195393,0.1493506
0.0,0.3147132,0.08713418
0.0,0.21900829,0.0065428
0.0,0.13068528,-0.0
0.0,0.07341288,-0.0
0.0,0.00580039,-0.0
0.0,0.00057782,-0.0
0.0,0.00019158,-0.0
0.0,0.00036656,0.0
0.0,0.00175059,0.0
0.0,0.00814288,0.0
0.0,0.02809335,0.0
0.0,0.09786618,3.67e-6
0.0,0.15805471,0.00043217
0.0,0.25546846,0.04075228
0.0,0.33894904,0.0881717
0.0,0.43012808,0.13554221
0.00099923,0.51492631,0.18444264
0.03591714,0.57890363,0.22182142
0.10853314,0.60268547,0.24851324
0.11622204,0.6015147,0.25745548
0.09003598,0.53737513,0.24007077
0.03905819,0.47105986,0.18099441
0.00228772,0.39810963,0.10280996
6.1e-7,0.3259262,0.05537891
0.0,0.26263316,0.02949516
0.0,0.18384113,0.0010169
0.0,0.12783419,0.0
0.0,0.07358085,0.0
0.0,0.00485917,0.0
0.0,0.00026911,0.0
0.0,6.294e-5,0.0
