x1,x2,x3
0.0,0.0,-0.0
0.0,0.0002287,-0.0
0.0,0.00665995,-0.0
0.0,0.04185579,-0.0
0.0,0.10594047,1.477e-5
0.0,0.15849938,0.00555201
0.0,0.24580168,0.03701826
0.0,0.28491566,0.08179766
0.00016154,0.34891034,0.13275526
0.02420667,0.3976428,0.17439624
0.07097679,0.43803292,0.19014583
0.10056133,0.47033495,0.17537559
0.10988253,0.45334915,0.18954044
0.08225866,0.43553383,0.19017875
0.03438885,0.38638468,0.20261466
0.00123145,0.34064226,0.16226852
0.0,0.27118909,0.13549907
0.0,0.20277725,0.0773152
0.0,0.12105372,0.00329628
0.0,0.07589205,-0.0
0.0,0.03098358,-0.0
0.0,0.00168673,-0.0
0.0,3.54e-6,-0.0
0.0,0.0,-0.0
0.0,1.1e-7,-0.0
0.0,0.00037652,-0.0
0.0,0.01009388,-0.0
0.0,0.05431571,-0.0
0.0,0.11428654,4.35e-6
0.0,0.16688887,0.00421021
0.0,0.25974703,0.03930394
0.0,0.38866978,0.0690765
0.00014414,0.4800031,0.13587611
0.01771367,0.5520062,0.2083156
0.05062041,0.54957333,0.27034148
0.09349527,0.54631032,0.28402022
0.11526794,0.48809601,0.23944554
0.09444783,0.40632703,0.19443664
0.03449689,0.40880897,0.1609639
0.00162831,0.30828442,0.13754089
0.0,0.2659811,0.08995056
0.0,0.20948984,0.05738142
0.0,0.14599136,0.0019309
0.0,0.10974986,-0.0
0.0,0.05870814,-0.0
0.0,0.00374999,-0.0
0.0,2.859e-5,-0.0
0.0,0.0,-0.0
0.0,7.8e-7,-0.0
0.0,0.00079339,-0.0
0.0,0.01793857,-0.0
0.0,0.06640202,-0.0
0.0,0.1394152,4.06e-6
0.0,0.1975568,0.00418426
0.0,0.29339419,0.05684963
0.0,0.36182289,0.1307475
8.962e-5,0.46407936,0.21544496
0.0082896,0.56090351,0.26177341
0.05143079,0.61864217,0.27846124
0.10686311,0.64672031,0.30203387
0.11688111,0.58681737,0.34962892
0.07273991,0.5509405,0.33275511
0.01088334,0.49509096,0.26183281
0.00023926,0.44555197,0.17776432
0.0,0.37252325,0.11846969
0.0,0.30660249,0.0611949
0.0,0.21754549,0.00215383
0.0,0.1605608,-0.0
0.0,0.0810483,-0.0
0.0,0.00539754,-0.0
0.0,6.682e-5,-0.0
0.0,0.0,-0.0
0.0,2.55e-6,-0.0
0.0,0.00070715,-0.0
0.0,0.00701447,-0.0
0.0,0.0412182,-0.0
0.0,0.11090256,2.75e-6
0.0,0.16780305,0.00639605
0.0,0.23583187,0.09717741
0.0,0.28974806,0.18481326
0.00012079,0.3983859,0.28985303
0.00597637,0.47862612,0.36773088
0.02459994,0.59195733,0.38874546
0.04946563,0.58922178,0.38029564
0.05561086,0.52689884,0.3617109
0.03093925,0.56452868,0.33332553
0.01248975,0.54617034,0.2903431
0.00077167,0.49917422,0.2228917
0.0,0.37976109,0.13419346
0.0,0.26390919,0.06713029
0.0,0.16769324,0.00165606
0.0,0.12785158,-0.0
0.0,0.0626665,-0.0
0.0,0.00494799,-0.0
0.0,9.937e-5,-0.0
0.0,0.0,-0.0
0.0,7.13e-6,-0.0
0.0,0.00132637,-0.0
0.0,0.0217629,-0.0
0.0,0.07715764,-0.0
0.0,0.15949315,1.31e-6
0.0,0.23371466,0.00581598
0.0,0.35781452,0.0823807
0.0,0.48514429,0.14717724
9.987e-5,0.62508114,0.21288035
0.00482698,0.72398346,0.28130326
0.03084796,0.80064297,0.34728957
0.07397977,0.82373911,0.35485861
0.07549678,0.79944235,0.35314513
0.05067369,0.7493811,0.33415406
0.01139249,0.66215377,0.27782292
0.00080884,0.57849017,0.23013703
0.0,0.46571401,0.15328065
0.0,0.32288907,0.07952842
0.0,0.19080529,0.00125007
0.0,0.12760021,-0.0
0.0,0.04628899,-0.0
0.0,0.0034402,-0.0
0.0,0.00012765,-0.0
0.0,0.0,-0.0
0.0,1.286e-5,-0.0
0.0,0.00135014,-0.0
0.0,0.01993284,-0.0
0.0,0.06669042,-0.0
0.0,0.13857506,4.7e-7
0.0,0.18233772,0.00262186
0.0,0.30002403,0.04710094
0.0,0.40110207,0.1181003
0.00013058,0.49787191,0.17834717
0.01038366,0.56670613,0.22873478
0.03377539,0.64413833,0.24586222
0.07708266,0.63389466,0.27263409
0.07565758,0.62896709,0.26955222
0.05220321,0.58863687,0.25589678
0.02133969,0.51329216,0.25148267
0.00161135,0.47009239,0.18930763
0.0,0.37192235,0.11870176
0.0,0.23263783,0.05553817
0.0,0.1511953,0.00075287
0.0,0.11110185,-0.0
0.0,0.05364586,-0.0
0.0,0.00536969,-0.0
0.0,0.00024848,-0.0
0.0,2.5e-7,-0.0
0.0,2.807e-5,0.0
0.0,0.00150802,0.0
0.0,0.01957272,0.0
0.0,0.05973285,0.0
0.0,0.1238774,4.0e-8
0.0,0.18438878,0.00206333
0.0,0.26972026,0.07600343
0.0,0.33445417,0.15571258
0.00015505,0.36309209,0.24645168
0.00842452,0.46434959,0.28000187
0.02801767,0.53869214,0.30417812
0.07384511,0.60462315,0.27922658
0.0676281,0.61778929,0.25321692
0.0438141,0.59367734,0.25312512
0.01278622,0.53789595,0.23099349
0.0007694,0.42278224,0.17020228
0.0,0.33751036,0.10286891
0.0,0.24985617,0.03964787
0.0,0.17627812,0.0004168
0.0,0.115378,0.0
0.0,0.06150261,0.0
0.0,0.00633323,0.0
0.0,0.00031223,0.0
0.0,7.9e-7,0.0
