x1,x2,x3
0.79954721,0.24322085,0.13473376
0.79958439,0.2304815,0.12605987
0.80071848,0.2199689,0.12267104
0.7974478,0.2228511,0.11388855
0.79207703,0.22438489,0.11236378
0.78030374,0.18305745,0.10615024
0.76075245,0.13701812,0.1015415
0.73869111,0.12486698,0.09688282
0.71197626,0.13706838,0.10083952
0.67393984,0.17842526,0.11606777
0.61195412,0.18792551,0.11948119
0.59056939,0.20624189,0.13366845
0.58737173,0.23851309,0.13326871
0.53445277,0.2646108,0.13890182
0.48995299,0.29687383,0.14857136
0.47650562,0.31861553,0.14575177
0.46913017,0.32072453,0.14746777
0.47071465,0.3189937,0.17409631
0.50496021,0.33701948,0.21535487
0.56371674,0.36623819,0.26516139
0.59617157,0.37722828,0.31566291
0.60345368,0.3887931,0.34244748
0.60296946,0.40261825,0.42618152
0.58927261,0.40369939,0.4115476
0.56838845,0.3891986,0.39132721
0.55248797,0.35668816,0.36647544
0.55909175,0.35025701,0.34861965
0.58048085,0.35436305,0.35864316
0.58479953,0.3296241,0.35439989
0.58903959,0.24513415,0.32889503
0.61979766,0.17825762,0.30218179
0.66701302,0.13978979,0.30750308
0.70053875,0.13209731,0.34151749
0.7096334,0.1377347,0.39295858
0.68178239,0.12178144,0.38364861
0.67096483,0.13065024,0.46451198
0.68603321,0.13332427,0.52517713
0.70952734,0.14217517,0.60322473
0.71662078,0.16317672,0.65871258
0.6977087,0.19247215,0.68002041
0.65762408,0.21851067,0.70246817
0.61897853,0.22381046,0.74256555
0.59148468,0.2248733,0.78873356
0.5696178,0.23129228,0.83440382
0.54709037,0.2332528,0.86965768
0.50774402,0.21965397,0.89733003
0.48101894,0.23187726,0.91810912
0.47291701,0.213501,0.92667968
0.46612623,0.18538036,0.9227546
0.4746336,0.16790147,0.91286884
0.48030578,0.15379337,0.90138955
0.45505266,0.13956781,0.88426925
0.42965485,0.11860118,0.87267165
0.41431076,0.08914147,0.85740853
0.40440437,0.06720013,0.83246474
0.39848266,0.06315205,0.81349407
0.39463006,0.06979524,0.83389679
0.37311879,0.08220869,0.87148173
0.32929388,0.0754868,0.84525407
0.32443165,0.11154952,0.86929152
0.32743634,0.16510318,0.88510701
0.33993567,0.22487538,0.88320453
0.36220068,0.29592393,0.87278984
0.38113298,0.34507714,0.84283309
0.39177769,0.3690388,0.83439714
0.38623455,0.37011511,0.83505517
0.36647995,0.38724341,0.84426127
0.35097496,0.41705822,0.83896555
0.33914727,0.42795395,0.82412115
0.33721639,0.43943641,0.80882237
0.28928253,0.48529838,0.77264522
0.27761625,0.45062975,0.7499792
0.27129869,0.42070935,0.71878443
0.27150705,0.39759571,0.68317806
0.27048435,0.37285087,0.6521701
0.2740132,0.3613778,0.63577223
0.29344036,0.34934004,0.63351272
0.30934512,0.31604111,0.62891246
0.31133793,0.30210274,0.61979136
0.31777569,0.32561983,0.6255807
0.33018775,0.38112645,0.62811789
0.32031118,0.47069972,0.61314652
0.29003998,0.46087195,0.55309633
0.28239444,0.5152197,0.53240575
0.27122379,0.54286067,0.51633618
0.28563956,0.56606925,0.50521105
0.31422146,0.59451441,0.487892
0.35924491,0.62683695,0.466189
0.40936166,0.63411382,0.43948405
0.43359798,0.62768564,0.41901155
0.4463406,0.64663842,0.40452337
0.45305553,0.66896484,0.39814911
0.44416461,0.66492621,0.39006726
0.44519804,0.6395128,0.38224774
0.36759868,0.62397199,0.39876669
0.3813069,0.59853082,0.363321
0.40614343,0.56019133,0.31952946
0.4133025,0.53695171,0.29727111
0.40821046,0.51294129,0.29667465
0.40216544,0.48040814,0.30507242
0.40103658,0.41812129,0.31986346
0.40700808,0.32319988,0.34446811
0.4144098,0.26977151,0.36760581
0.42890911,0.24897849,0.39098316
0.4431009,0.25049231,0.43079929
0.43289121,0.27577991,0.45445411
0.37055099,0.23678343,0.42925362
0.34229826,0.25676876,0.44110168
0.31779962,0.29012668,0.45033242
0.31254773,0.32468709,0.45400731
0.32788757,0.35028147,0.44642935
0.3639069,0.36548072,0.4415729
0.4042324,0.3626818,0.43437222
0.42653215,0.37169615,0.4301417
0.43181108,0.4046295,0.43327866
0.43314041,0.45293644,0.4406407
0.42752194,0.48039664,0.44738799
0.41588901,0.4860151,0.45075852
0.37869596,0.49167692,0.46850792
0.37337339,0.4575793,0.46604906
0.3785785,0.41876149,0.46284805
0.37402319,0.37686127,0.47816649
0.37139243,0.33914319,0.49650101
0.37101732,0.30499376,0.5147342
0.38286985,0.26132294,0.53457311
0.39710071,0.19506991,0.55817443
0.39903244,0.14152057,0.57059616
0.39706617,0.10304213,0.56745463
0.40085459,0.08615188,0.58755252
0.40889122,0.08926998,0.62366688
0.44782128,0.0937157,0.6083396
0.41558083,0.13478374,0.64102542
0.37852975,0.16118066,0.66653337
0.34259517,0.15811011,0.66633102
0.33258242,0.14966469,0.66421869
0.33727234,0.13097588,0.67473451
0.35480837,0.12427818,0.64029484
0.37186685,0.13745213,0.63079002
0.38603747,0.17543092,0.63086586
0.3892295,0.22963309,0.62881942
0.38556712,0.27198108,0.62390672
0.38417269,0.29051026,0.60412722
0.36800536,0.2643569,0.63485412
0.37013368,0.24525249,0.56549851
0.35821994,0.23429159,0.47532233
0.34099858,0.21211859,0.43371677
0.3295992,0.19555082,0.4590027
0.3267803,0.18726864,0.49993281
0.34230522,0.17730322,0.5340207
0.35915591,0.1629253,0.54228655
0.37358991,0.1678841,0.52535124
0.37706243,0.18836505,0.51268388
0.38453702,0.20271191,0.52512869
0.37287655,0.2177674,0.52472787
0.33734959,0.20991517,0.50730861
0.31265129,0.22716102,0.50717512
0.29980679,0.26256597,0.55129634
0.30495585,0.31900487,0.57512472
0.31270708,0.3739211,0.57579069
0.33778177,0.42665058,0.54350958
0.3662202,0.46123596,0.51258097
0.39288294,0.48278355,0.49915305
0.41943315,0.51041233,0.47773593
0.44923957,0.53799482,0.47480112
0.47615868,0.56314712,0.47364249
0.50592587,0.55942468,0.49911431
0.45113506,0.56650938,0.55287709
0.49411046,0.51542457,0.56635945
