x1,x2,x3
0.4269188,0.3280953,0.76848922
0.40943254,0.30651205,0.77152623
0.37792602,0.29519597,0.77270865
0.34410616,0.27453509,0.7350632
0.30678155,0.2743081,0.7046889
0.26706479,0.28175134,0.70752057
0.23339666,0.26728096,0.67867441
0.19849856,0.28980892,0.64697801
0.17618836,0.31240305,0.631176
0.16566607,0.3371497,0.62322444
0.12691825,0.35636021,0.53064591
0.11472228,0.38841154,0.52904434
0.10270086,0.40686744,0.59396543
0.09596011,0.41601944,0.61924573
0.10125936,0.41918299,0.62565391
0.1166462,0.433402,0.64576724
0.14424421,0.44922077,0.60423688
0.188633,0.4523901,0.58900229
0.24575935,0.4695504,0.54997115
0.31350145,0.48366184,0.53302164
0.37411454,0.49042291,0.52412202
0.43161981,0.49085877,0.5232972
0.49707614,0.54839385,0.58795264
0.57777556,0.47996362,0.57996792
0.64761066,0.40915079,0.55737944
0.71955942,0.36071346,0.5318216
0.79093421,0.33957485,0.5356126
0.83498292,0.34288529,0.53691255
0.87487159,0.3403218,0.57135234
0.92520298,0.31280628,0.65777268
0.97312247,0.23895167,0.75211238
1.00150767,0.18741714,0.84917715
1.01587456,0.14907377,0.91858584
1.02412194,0.12954939,0.97235459
1.04085461,0.12456275,1.00454265
1.05110455,0.12132302,1.02574552
1.05802739,0.1066963,1.03627125
1.06081679,0.09050412,1.04114617
1.05960026,0.08915679,1.02820101
1.05856854,0.10188958,1.02877584
1.05575234,0.11989991,1.0237326
1.04914538,0.13642183,1.0105313
1.03469748,0.14768477,0.98773373
1.01455162,0.14866108,0.95559894
0.99437545,0.13708853,0.91570035
0.97727497,0.11000232,0.88233674
0.91447682,0.09480351,0.86651438
0.88896682,0.07694919,0.87250015
0.8751599,0.06755219,0.84560446
0.84848125,0.05774353,0.82845756
0.78868601,0.05030176,0.84137101
0.73620059,0.04956969,0.81829089
0.66849413,0.05402287,0.82142439
0.64213967,0.05931885,0.86168121
0.62118999,0.0543239,0.88728745
0.60278563,0.04793161,0.90409287
0.58731761,0.04871602,0.91909048
0.54356404,0.04938989,0.91388828
0.46117438,0.04344364,0.91523598
0.42135181,0.04905436,0.91660671
0.40834244,0.06176353,0.92983303
0.41240823,0.08206428,0.91025449
0.41947039,0.11089017,0.90378598
0.44393591,0.13809216,0.90708256
0.47386237,0.15359101,0.86028308
0.47557097,0.1665761,0.82127186
0.44986854,0.18380863,0.77689991
0.41800128,0.20141797,0.75279137
0.38476623,0.21657567,0.72581608
0.31552638,0.22819655,0.69250352
0.25742904,0.21591188,0.62658691
0.22350276,0.20106575,0.603391
0.21030888,0.19594333,0.57258021
0.20062317,0.19473716,0.54320351
0.21079203,0.19849617,0.51380234
0.24591555,0.21203759,0.47979221
0.25208365,0.2299073,0.44970114
0.23305951,0.23181599,0.43619245
0.20827771,0.21197286,0.43167226
0.18597971,0.21016509,0.43462033
0.17318764,0.23038978,0.45170146
0.16073338,0.25906774,0.50775676
0.15576329,0.27363798,0.44539715
0.16225187,0.30641109,0.48422148
0.19607526,0.33345936,0.50486382
0.23607775,0.35499529,0.52839112
0.27198712,0.36542768,0.53593674
0.33606779,0.36352845,0.5277145
0.3645561,0.36881906,0.51276475
0.39383661,0.36194185,0.52583843
0.41455215,0.37293162,0.54293253
0.43561735,0.40521334,0.56197642
0.44897569,0.44581929,0.59275604
0.47652233,0.47919319,0.61343648
0.43994719,0.59577686,0.63669875
0.47193919,0.56808531,0.65677354
0.49433821,0.54121338,0.6592913
0.51282036,0.51899713,0.65188909
0.53372908,0.50088683,0.65722036
0.54554085,0.46796702,0.66164602
0.55934967,0.45093954,0.65795743
0.560614,0.42392548,0.64419099
0.56650941,0.3692339,0.62968843
0.58045329,0.35115122,0.60588372
0.58396015,0.33699301,0.59349349
0.57326846,0.30644303,0.61964342
0.57221123,0.29133577,0.63195976
0.57541011,0.27990831,0.61656769
0.58400375,0.29089884,0.62215923
0.56206135,0.31853904,0.68257539
0.59007248,0.34487233,0.71205848
0.62857094,0.36427215,0.7550304
0.65415905,0.36491425,0.78351056
0.65694879,0.34922604,0.77452901
0.65404337,0.32465785,0.76641585
0.65502266,0.31605367,0.77062885
0.66552163,0.31753721,0.76367187
0.67366486,0.30849582,0.760291
0.62193797,0.34594356,0.74273755
0.66207413,0.29695154,0.68304116
0.68129658,0.25288016,0.64243226
0.69440474,0.21781809,0.60279781
0.70153048,0.18607214,0.60467151
0.70393831,0.1537041,0.62398984
0.72132709,0.14432971,0.62350774
0.73802726,0.14134616,0.60061525
0.73932517,0.12982754,0.59404447
0.74627361,0.13645885,0.60260132
0.75296815,0.1518333,0.61094215
0.76279451,0.17717375,0.64802819
0.81744263,0.18021353,0.58257815
0.82553169,0.20778326,0.56109496
0.78097211,0.23961782,0.52851033
0.73137269,0.24816511,0.51718642
0.7114806,0.25213636,0.52996618
0.71122198,0.27023199,0.54080074
0.7278521,0.26175059,0.54053274
0.75759448,0.2230242,0.51842586
0.790283,0.17371028,0.48167038
