x1,x2,x3
0.75015639,0.6345211,0.32105968
0.80429406,0.60788114,0.30066608
0.84665372,0.57543985,0.29065329
0.86314279,0.54682201,0.27992353
0.87010076,0.49969289,0.2878462
0.88244727,0.43854207,0.2992283
0.89230072,0.41737314,0.31727279
0.89305212,0.42811123,0.35522674
0.88249741,0.43428634,0.37748834
0.86979564,0.45694139,0.39903435
0.83483087,0.41208715,0.34263104
0.81610675,0.46456609,0.38797974
0.79626408,0.49387863,0.43219383
0.77605043,0.50800986,0.46223629
0.77389465,0.5047879,0.48171598
0.74569702,0.47842174,0.50115259
0.71723358,0.43536978,0.55798209
0.71854199,0.41522465,0.62852502
0.70243206,0.41636896,0.68797063
0.69148069,0.4061084,0.72342454
0.68971335,0.37990285,0.74832139
0.68239217,0.33442266,0.75253467
0.67308889,0.31767962,0.73680025
0.64473616,0.26003415,0.71490004
0.62822988,0.23497069,0.68671374
0.61432928,0.2318778,0.6527162
0.54970375,0.23373754,0.61905712
0.53591869,0.25318548,0.59649273
0.51383349,0.26939689,0.57663471
0.51090076,0.24435483,0.5803379
0.48231322,0.22417641,0.59353065
0.46281848,0.21896335,0.6519036
0.4544216,0.21957083,0.67895927
0.45092528,0.21998983,0.66610429
0.40722117,0.23206583,0.51064688
0.40978358,0.2374929,0.58307374
0.39706751,0.25420793,0.66403352
0.38200222,0.27184429,0.7000184
0.33865469,0.27925616,0.70489109
0.28951414,0.2811438,0.69303491
0.23826941,0.2740445,0.70073492
0.18935543,0.27414045,0.70267517
0.15819839,0.28031916,0.69628456
0.138768,0.28211387,0.68858787
0.13309918,0.28680941,0.67270998
0.1346776,0.29765613,0.65477441
0.14159825,0.37394808,0.60616377
0.15683095,0.41695725,0.56381822
0.16039586,0.44609893,0.538231
0.15383842,0.46117272,0.52765038
0.1442035,0.46239499,0.5101972
0.13335487,0.45932219,0.4921956
0.12548614,0.4477085,0.48411122
0.1118176,0.43244655,0.476786
0.09355614,0.41804858,0.48589638
0.0793221,0.42849118,0.49849775
0.07201883,0.44919634,0.5156571
0.0696424,0.4820072,0.54137571
0.07942191,0.48089125,0.5801899
0.07207717,0.5097258,0.57864421
0.06754609,0.53048937,0.62996626
0.06607865,0.53766712,0.68303694
0.0664068,0.52982586,0.73551883
0.06448952,0.49870303,0.77201405
0.06501283,0.45692589,0.78055797
0.06452047,0.42232982,0.77631876
0.06119742,0.41870685,0.78441758
0.05359902,0.42676127,0.78969048
0.04870093,0.44036629,0.79888097
0.04481418,0.4259056,0.81309158
0.04924528,0.41185017,0.8118073
0.0518926,0.35899041,0.80014001
0.05483054,0.32416885,0.82285218
0.0583553,0.29707265,0.84632954
0.06212038,0.2681771,0.85603464
0.06259978,0.23311906,0.87249764
0.06653304,0.18623248,0.87938344
0.07265743,0.16749107,0.8847759
0.08012019,0.15930277,0.8798485
0.08878027,0.15852745,0.88809658
0.09511927,0.16187144,0.86159341
0.10112071,0.18084151,0.81538232
0.14915885,0.19282381,0.6887413
0.14043725,0.21236766,0.68948813
0.13595131,0.21895129,0.7097511
0.13719396,0.22043073,0.73258744
0.14333792,0.21712869,0.71997518
0.15459632,0.21370959,0.67955051
0.17277472,0.20906046,0.65882504
0.20266835,0.19120734,0.64229152
0.23089701,0.18386905,0.61442755
0.25672237,0.1808859,0.5929199
0.27448188,0.17661877,0.56622283
0.28996908,0.17729778,0.55709721
0.30214423,0.21964874,0.57016612
0.31734721,0.22704923,0.53052403
0.33569679,0.24032773,0.49271809
0.34366095,0.26762008,0.49597452
0.35421176,0.29486085,0.51061103
0.36745932,0.31080562,0.54215428
0.3762871,0.30163552,0.57442364
0.37494995,0.28115001,0.61085583
0.37969445,0.29473532,0.63141594
0.38927303,0.31776476,0.65593708
0.4033914,0.34632624,0.66148183
0.41488305,0.37641324,0.65950576
0.41318811,0.39579851,0.5839808
0.43045637,0.41528048,0.59110856
0.43247042,0.43102456,0.6354403
0.44016669,0.4471938,0.6581825
0.44265874,0.45323155,0.67425758
0.43600798,0.44960133,0.68243563
0.43185559,0.43028372,0.66361632
0.42324474,0.4447871,0.64742162
0.41206404,0.48637317,0.62523302
0.40757796,0.51873823,0.59909395
0.39895153,0.52789658,0.57572836
0.38936984,0.51232914,0.56429187
0.34565053,0.49324634,0.55285978
0.34221441,0.45744513,0.53622176
0.33182309,0.42538508,0.5352208
0.31885871,0.38201511,0.55090966
0.31218997,0.32841484,0.56267475
0.31945237,0.26591203,0.61271871
0.31806132,0.20618553,0.65739321
0.3001472,0.18044468,0.7155326
0.29451188,0.19267208,0.76512246
0.2880464,0.2166962,0.78874469
0.27989671,0.23112978,0.81183791
0.27643047,0.23667006,0.82486711
0.27202722,0.22313988,0.76132755
0.2722331,0.22492845,0.75763396
0.27985058,0.21962183,0.77203512
0.28407143,0.21169363,0.79453091
0.29618146,0.2114533,0.77385012
