x1,x2,x3
0.74580015,0.64112633,0.79134549
0.72298154,0.61890504,0.79459505
0.68738245,0.60232168,0.78729976
0.65783954,0.59833592,0.77330555
0.60910472,0.59604282,0.7632019
0.56145768,0.60158505,0.7577696
0.53609234,0.59507663,0.73360268
0.53077256,0.61195551,0.70972879
0.52308158,0.62395269,0.68735656
0.51740511,0.60523231,0.68065907
0.54707813,0.51803566,0.64323001
0.55488871,0.52869755,0.67440536
0.56533456,0.51296557,0.69237536
0.59328893,0.48370421,0.69396989
0.60326912,0.46248809,0.67288254
0.58809232,0.43218938,0.65600665
0.58239962,0.38432863,0.62445942
0.58024523,0.325143,0.60836187
0.58615736,0.30649503,0.59541878
0.58469497,0.30385846,0.58598037
0.58970656,0.28304251,0.58757833
0.59953671,0.24446591,0.56861308
0.60092089,0.21015722,0.52747589
0.61208712,0.18759455,0.48632923
0.61661459,0.15946227,0.48031979
0.62116128,0.13799922,0.5006047
0.61089411,0.12550865,0.52625759
0.59635077,0.11082427,0.53870125
0.58177284,0.09581389,0.54844646
0.56972656,0.10212149,0.56124779
0.56354838,0.14338336,0.56522584
0.55914294,0.21645842,0.55389176
0.5561094,0.27166366,0.52668288
0.55156949,0.29992945,0.49839381
0.56716548,0.29226609,0.41923941
0.53067332,0.33204489,0.420092
0.50735236,0.36652501,0.42110827
0.49515863,0.39606137,0.40535235
0.49977695,0.4292866,0.38412138
0.50849932,0.43225922,0.3494974
0.50471493,0.42627942,0.34521981
0.49835695,0.41125306,0.35270986
0.49377492,0.39192683,0.35509531
0.48713027,0.3739317,0.3667712
0.4839386,0.35440174,0.40058533
0.4774809,0.32959691,0.40309128
0.46525613,0.26521986,0.3988674
0.47915708,0.26180213,0.38898646
0.49029904,0.25340179,0.38573795
0.50018355,0.24358969,0.38675772
0.50733056,0.23127554,0.37891587
0.49613678,0.21870459,0.37266423
0.49066413,0.20235284,0.36902017
0.48290236,0.19196263,0.374694
0.46920307,0.17571456,0.37844037
0.46254031,0.16181484,0.38726303
0.45317369,0.15676547,0.40119242
0.45925814,0.15606921,0.46450847
0.48516887,0.15600025,0.51826298
0.49579701,0.19438154,0.5661556
0.48502293,0.22950926,0.59584897
0.45972344,0.24694349,0.59943139
0.44388072,0.25734439,0.5729815
0.44467001,0.2586896,0.55645373
0.44141408,0.24727178,0.54155395
0.42686502,0.21741767,0.53034125
0.4151291,0.18442336,0.52047294
0.41155754,0.15875203,0.50642114
0.42328938,0.13957596,0.50303109
0.43809316,0.11971253,0.50622769
0.42361547,0.07957159,0.5365012
0.44442306,0.08958464,0.50284762
0.45552301,0.11241699,0.46720884
0.4592467,0.138989,0.41624725
0.47665015,0.17147334,0.39085514
0.48211976,0.18725516,0.3865697
0.48225715,0.18331328,0.4022536
0.47607566,0.17584872,0.42503381
0.45604394,0.16536008,0.44762114
0.43674225,0.16647021,0.4673227
0.41731932,0.18811211,0.51120692
0.40468992,0.2034924,0.55406671
0.41641435,0.18082196,0.54593913
0.4209984,0.20511531,0.59207823
0.42477221,0.21667119,0.62051805
0.41746623,0.21462488,0.61026083
0.40624053,0.2067873,0.57968902
0.40101058,0.20120427,0.56014306
0.38438546,0.19492432,0.53745792
0.37155249,0.17989517,0.51140063
0.36031844,0.17232521,0.49970641
0.36099081,0.18729191,0.50313765
0.36640044,0.21077934,0.50264915
0.37718027,0.23629499,0.48969597
0.41125191,0.26853831,0.46374504
0.42303696,0.27601817,0.48499713
0.4252073,0.28042435,0.50609359
0.42459995,0.2869907,0.51555931
0.42386732,0.29368772,0.52761019
0.42191434,0.30106114,0.53659392
0.4119781,0.30072642,0.53904111
0.38295003,0.30428818,0.54716206
0.3546868,0.32125995,0.55834684
0.35628491,0.34799425,0.55538766
0.32585968,0.3893953,0.56798674
0.31461706,0.42946638,0.60509346
0.30182057,0.43744169,0.58786865
0.30957835,0.46205208,0.62315614
0.3100548,0.47340291,0.62367446
0.30725993,0.47569384,0.60962548
0.30527229,0.46367132,0.5977982
0.30537873,0.42322476,0.56598358
0.30008989,0.3886807,0.52070693
0.31985812,0.37311118,0.49976149
0.33244534,0.35415385,0.48596957
0.33931674,0.34259268,0.47103275
0.34435807,0.31994977,0.46214903
0.35600736,0.30596253,0.43796001
0.36402906,0.29565142,0.38561619
0.39731252,0.29555331,0.34807171
0.40904125,0.30536918,0.3320705
0.40720708,0.33380918,0.35065491
0.39797936,0.34948589,0.36912893
0.38332807,0.3507175,0.39743595
0.36713534,0.34179353,0.40898253
0.36330596,0.32045525,0.40353993
0.37631402,0.31020712,0.40146056
0.38248486,0.306534,0.40706487
0.38836295,0.31520402,0.44100996
