x1,x2,x3
0.80409638,0.41119187,0.49273764
0.77126117,0.3709274,0.49434477
0.74225158,0.33607774,0.51033234
0.71391425,0.31895454,0.52724427
0.68901244,0.30266516,0.55483091
0.64914687,0.27406756,0.58184395
0.6171649,0.2598804,0.6237682
0.59090024,0.26212038,0.66814589
0.57476131,0.26988697,0.69888862
0.56030243,0.28322921,0.73196634
0.53212379,0.29657304,0.6919936
0.54430032,0.31134594,0.70469755
0.56026286,0.32332196,0.69923873
0.56654278,0.33430731,0.70207414
0.58116644,0.33186046,0.7200956
0.58312628,0.31624494,0.71378233
0.58200543,0.29701827,0.71251373
0.57043841,0.27827237,0.6951671
0.55257066,0.27964854,0.68017121
0.54103006,0.29320116,0.66115171
0.52601748,0.31012592,0.63654313
0.50296248,0.31627106,0.59760035
0.43171995,0.31334231,0.60565713
0.42348481,0.27989952,0.58524612
0.41623114,0.25277273,0.57526936
0.40000903,0.22400045,0.56575551
0.38094367,0.19594706,0.55066164
0.3657635,0.18381986,0.54943259
0.35941188,0.17199864,0.54767152
0.36266321,0.1450494,0.56537178
0.38455014,0.11929399,0.59178964
0.40328933,0.12773535,0.61639792
0.41275379,0.153777,0.62761904
0.41444742,0.18408651,0.6536193
0.41745539,0.19172652,0.56932774
0.42833366,0.21347341,0.64804074
0.43517217,0.23156105,0.72451494
0.44638803,0.25146083,0.745464
0.45338064,0.27727652,0.75890494
0.44855215,0.30008254,0.75300424
0.43564783,0.32137216,0.74313028
0.4198673,0.31954705,0.7301299
0.4031874,0.31685697,0.7100954
0.3872027,0.33960817,0.68441953
0.37597899,0.36790445,0.65315506
0.3696278,0.38221678,0.6273958
0.42546013,0.36569099,0.6276783
0.41243259,0.3778997,0.60804227
0.4030438,0.3811705,0.58967308
0.39928934,0.38243582,0.58109809
0.39432083,0.377684,0.58943462
0.39089095,0.36993598,0.59701519
0.38326879,0.34902726,0.59204169
0.37518489,0.330264,0.58768089
0.36823566,0.28695896,0.59235209
0.36542703,0.25383577,0.59353698
0.37127889,0.22561201,0.61317888
0.37950726,0.20492103,0.63159778
0.39179242,0.18030381,0.64900083
0.37544548,0.17552141,0.64066999
0.36811162,0.17663199,0.65091205
0.36200382,0.18473255,0.67743877
0.35845648,0.1876107,0.69963647
0.35863878,0.18525618,0.71249771
0.34615597,0.17672774,0.71525967
0.33314815,0.16384977,0.72404338
0.31544468,0.15815624,0.73153059
0.29702956,0.16556575,0.74346145
0.28643777,0.16901433,0.76448177
0.28874308,0.16494339,0.77809314
0.28554957,0.15931192,0.82947771
0.28066653,0.14866103,0.79880106
0.27838747,0.1378047,0.77823202
0.28402667,0.13680454,0.77810008
0.2868997,0.1427074,0.76892456
0.28094151,0.14917565,0.7470673
0.27884396,0.1484336,0.71995916
0.27682813,0.12637927,0.69203426
0.27413705,0.11646888,0.65757223
0.27985791,0.12619591,0.62380306
0.27800106,0.15492006,0.62285529
0.27344667,0.18914638,0.57410049
0.26724269,0.21528122,0.43245317
0.25132671,0.23570274,0.42494068
0.24449719,0.26416304,0.44938468
0.24984153,0.2855853,0.49060982
0.26876088,0.2944119,0.50433668
0.29989487,0.29923292,0.50483734
0.3179535,0.3003548,0.49369655
0.33867815,0.29355049,0.50341303
0.35243472,0.30698408,0.51060002
0.36922672,0.32745455,0.51777769
0.37932936,0.3335371,0.52655862
0.38489619,0.32605692,0.53171672
0.3452591,0.3220171,0.5308556
0.3412903,0.30664914,0.49257717
0.34010074,0.2868851,0.48720566
0.33809845,0.27344356,0.5004899
0.34085314,0.27103274,0.50389341
0.34405556,0.27333164,0.50890554
0.34549493,0.26761497,0.5224563
0.34311808,0.2408391,0.52327587
0.34252046,0.22438799,0.52307274
0.34965664,0.23530864,0.51974558
0.35721061,0.26532246,0.53611035
0.36193395,0.30801997,0.53058609
0.37003399,0.34143081,0.48533557
0.37487455,0.36521115,0.51418872
