x1,x2,x3,x4
2744.84892846,2956.29375814,2192.14197834,2163.62151294
2673.05603281,2904.17014896,2158.70419132,2109.53097512
2655.35367497,2902.20322031,2109.53097512,2092.81208161
2680.9237474,2957.27722246,2113.46483241,2117.39868971
2838.27803925,3104.79687107,2169.52229888,2232.46401562
3316.24170074,3626.03296282,2590.44502958,2624.86628093
3830.59354223,4043.02183623,3000.54965272,3014.31815326
4168.90526971,4372.48238479,3320.17555804,3322.14248669
4280.03673833,4498.36581827,3477.52984989,3498.18260069
4295.77216751,4471.81228152,3470.64559962,3510.96763691
4286.92098859,4433.45717288,3461.7944207,3503.09992232
4210.21077132,4366.58159884,3416.5550618,3477.52984989
4265.28477346,4401.00285019,3480.48024286,3549.32274555
4286.92098859,4368.54852749,3444.09206287,3516.86842285
4240.69816536,4326.25956156,3404.75348991,3469.6621353
4345.92884804,4269.21863076,3315.25823642,3384.1007391
4328.2264902,4258.4005232,3226.74644725,3293.62202129
4244.63202266,4398.05245721,3173.63937375,3245.43226941
4104.98008864,4368.54852749,3102.82994242,3229.69684023
3970.24547625,4224.96273618,3051.68979757,3322.14248669
3746.01561036,3977.12972651,3005.46697434,3241.49841211
3407.70388288,3660.45421417,2925.80636409,2888.43471978
3117.58190728,3324.10941534,2623.8828166,2564.87495716
2882.53393383,3121.51576458,2377.03327126,2360.31437775
2770.41900089,2946.4591149,2259.01755237,2213.77819347
2704.52689118,2907.12054193,2207.87740752,2169.52229888
2685.84106902,2888.43471978,2218.69551509,2154.77033402
2699.60956956,2950.39297219,2223.61283671,2183.29079942
2830.41032466,3120.53230025,2319.99234047,2295.40573236
3209.04408942,3604.39674769,2807.7906452,2676.00642578
3627.99989147,4036.13758596,3011.36776028,3063.49136946
3929.92343896,4377.39970641,3334.9275229,3399.83616829
4037.12105028,4499.34928259,3472.61252827,3550.30620987
4088.26119513,4485.58078205,3486.38102881,3571.942425
4083.34387351,4453.12645936,3452.94324179,3548.33928122
4027.28640704,4359.69734857,3405.73695423,3512.93456556
4054.82340811,4412.80442207,3472.61252827,3568.99203203
4028.26987137,4364.6146702,3445.0755272,3571.942425
4039.08797893,4305.60681075,3413.60466883,3517.85188718
4252.49973725,4265.28477346,3323.12595101,3436.22434828
4296.75563183,4261.35091617,3236.58109049,3331.97712993
4214.14462861,4429.52331558,3181.50708835,3289.68816399
4140.38480431,4417.72174369,3110.69765701,3287.72123535
4001.71633462,4281.02020265,3071.35908405,3394.91884667
3712.57782334,4037.12105028,2998.58272407,3265.10155589
3408.68734721,3668.32192876,2906.13707761,2910.0709349
3132.33387214,3347.71255911,2609.13085174,2591.42849391
2920.88904247,3209.04408942,2388.83484315,2369.16555667
2804.84025223,3096.92915648,2254.10023075,2271.80258859
2735.99774955,3058.57404784,2183.29079942,2196.07583563
2713.37807009,3058.57404784,2165.58844159,2195.09237131
2734.0308209,3092.01183486,2141.00183349,2222.62937238
2845.16228952,3186.42440997,2198.04276428,2333.760841
3228.7133759,3428.35663369,2626.83320957,2725.17964198
3655.53689255,3655.53689255,3045.78901163,3106.76379972
3959.42736868,3862.0644006,3363.4479883,3432.29049098
4063.67458703,3926.97304599,3499.16606502,3554.24006717
4115.79819621,3918.12186707,3501.13299367,3552.27313852
4104.98008864,3873.86597249,3456.87709908,3535.55424501
4033.18719299,3821.74236331,3421.47238342,3487.36449313
4066.62498,3842.39511412,3501.13299367,3571.942425
4044.98876487,3827.64314926,3460.81095638,3530.63692339
4081.37694486,3816.82504169,3428.35663369,3485.39756448
4211.19423564,3772.56914711,3340.82830884,3406.72041856
4260.36745184,3784.370719,3254.28344833,3298.53934291
4176.7729843,3865.01479357,3219.86219698,3261.1676986
4075.47615892,3842.39511412,3150.03622998,3261.1676986
3943.6919395,3764.70143252,3105.78033539,3373.28263154
3725.36285955,3637.83453471,3043.82208298,3283.78737805
3422.45584774,3466.71174232,2944.49218625,2918.92211382
3134.30080079,3288.70469967,2662.23792524,2589.46156526
2955.31029381,3044.8055473,2414.40491558,2377.03327126
2805.82371655,2925.80636409,2260.98448102,2256.0671594
2735.01428522,2876.63314789,2194.10890699,2196.07583563
2719.27885604,2853.03000411,2185.25772807,2173.45615618
2755.66703603,2903.18668464,2159.68765564,2200.00969293
2904.17014896,3068.40869108,2223.61283671,2313.1080902
3366.39838127,3524.73613744,2644.53556741,2688.79146199
3884.68408005,3927.95651031,3040.87169001,3072.34254838
4246.59895131,4252.49973725,3361.48105965,3409.67081153
4353.79656263,4394.11859992,3494.2487434,3548.33928122
4326.25956156,4364.6146702,3486.38102881,3549.32274555
4285.93752427,4318.39184696,3468.67867097,3535.55424501
4245.61548698,4236.76430807,3421.47238342,3474.57945692
4300.68948913,4269.21863076,3488.34795745,3546.37235257
4279.053274,4208.24384267,3433.27395531,3525.71960177
4338.06113345,4172.839127,3410.65427585,3470.64559962
4414.77135072,4117.76512486,3320.17555804,3388.0345964
4413.7878864,4113.83126756,3224.77951861,3286.73777102
4322.32570426,4257.41705887,3194.29212456,3246.41573373
4200.37612808,4266.26823779,3130.3669435,3269.03541319
4048.92262217,4128.58323242,3078.24333432,3398.85270396
3833.5439352,3872.88250816,3019.23547488,3246.41573373
3508.01724394,3538.50463798,2920.88904247,2901.21975599
3189.37480294,3226.74644725,2644.53556741,2577.65999337
2945.47565057,3035.95436838,2403.58680801,2364.24823505
2878.60007653,2873.68275491,2251.14983778,2258.03408805
2814.67489547,2819.59221709,2174.43962051,2203.94355023
2787.1378944,2813.69143115,2166.57190591,2179.35694213
2817.62528844,2859.91425438,2144.93569078,2214.76165779
2962.19454408,3017.26854623,2204.92701455,2321.95926911
3460.81095638,3467.69520665,2632.73399552,2695.67571226
