x1,x2,x3,x4
3372.39306916,3345.84653479,2730.36021955,2610.40921242
3296.68628597,3295.70308099,2662.51907617,2519.95435459
3294.71987602,3253.42526701,2575.99703825,2499.30705009
3310.45115564,3245.5596272,2520.93755957,2508.15589487
3380.25870897,3334.04807507,2490.4582053,2551.41691384
3646.70725758,3603.44623862,2515.03832971,2776.57085344
4302.50497686,4211.06691405,2692.01522547,3375.34268408
5019.26140468,4822.62040939,2941.74928948,3799.10402893
5270.96187864,5115.61549237,3250.47565208,4108.8135965
5251.29777911,4788.20823522,3400.90601347,4219.91575884
5225.73444973,5076.28729331,3474.6463867,4194.35242945
5105.7834426,5269.97867367,3485.46164145,4396.8926546
5007.46294496,5210.98637508,3490.37766633,4273.99203254
5000.58051012,5171.65817602,3530.68907036,4375.26214511
4975.01718074,5104.80023763,3531.67227534,4292.67292709
4920.94090703,4955.35308121,3543.47073505,4097.01513678
5162.80933124,4954.36987623,3598.53021373,4078.33424223
5583.62106115,5306.35725779,3933.8031107,4245.47908823
5330.9373822,5347.6518668,3971.1648998,4149.12500054
4945.52103144,5063.50562862,3720.44763081,3970.18169483
4611.23133946,4699.71978734,3490.37766633,3859.07953249
4271.04241761,4392.95983469,3337.98089498,3591.6477789
3904.3069614,4008.52668891,3215.08027293,3252.44206203
3561.16842463,3688.00186659,3004.67440797,2957.4805691
3351.74576465,3490.37766633,2840.47917691,2758.87316386
3215.08027293,3405.82203835,2737.24265438,2662.51907617
3146.25592458,3365.51063432,2704.79689016,2608.44280247
3139.37348974,3408.77165328,2723.47778471,2630.07331195
3138.39028477,3491.3608713,2813.93264254,2682.1831757
3352.72896963,3751.91019006,2933.88364967,2937.81646957
3943.63516046,4391.97662971,3397.95639854,3485.46164145
4622.0465942,4916.02488215,3954.4504152,4002.62745905
4816.72117953,5106.76664758,4238.59665339,4252.36152306
4796.07387503,5101.8506227,4310.37061667,4390.99342474
4949.45385135,5119.54831227,4406.72470436,4554.20545082
4837.36848404,5022.21101961,4449.98572332,4480.46507759
4728.23273165,4879.64629802,4372.31253019,5308.32366775
4748.88003616,4829.50284423,4383.12778493,4589.60082998
4661.37479326,4739.04798639,4322.16907639,4517.8268667
4592.55044491,4594.51685486,4181.57076476,4394.92624464
4801.97310489,4609.2649295,4129.46090101,4318.23625648
5180.50702081,4975.01718074,4317.25305151,4385.09419488
4975.01718074,5101.8506227,4231.71421856,4345.76599582
4649.57633354,4901.2768075,4059.65334768,4130.44410598
4308.40420672,4559.12147571,3884.64286188,3980.99694957
3999.67784412,4262.19357283,3735.19570546,3715.53160593
3677.18661185,3924.95426591,3571.98367937,3377.30909404
3364.52742934,3601.47982866,3280.95500635,3070.54914139
3150.18874448,3442.20062248,3046.95222196,2780.50367334
3043.01940205,3332.08166512,2930.93403474,2706.76330011
3011.55684281,3291.77026109,2874.89135108,2669.40151101
3044.985812,3323.23282033,2886.6898108,2674.31753589
3148.22233453,3410.73806324,2910.28673023,2727.41060462
3435.31818765,3690.95148152,3055.80106675,2978.12787361
4097.01513678,4314.30343658,3528.72266041,3642.77443767
4795.09067005,4826.5532293,4083.25026711,4128.47769603
