x1,x2,x3,x4
10332.59707267,11814.31738507,7185.07924865,7552.22223391
10094.91497478,11721.26737228,6937.28301894,7454.11515521
10089.85790887,11674.74236588,6907.95203664,7431.86406519
10145.4856339,11862.86521783,6794.6737602,7546.15375482
10506.56014007,12349.35495863,7034.37868446,7860.70325458
11473.47114256,13268.72954154,7786.87009226,8585.88650645
12067.1706807,13406.28173436,8360.34136675,9164.41484686
12322.0468027,13523.60566354,8596.00063828,9453.67901706
12254.28211947,13506.41163943,8769.96370567,9526.5007662
12169.32341214,13274.79802064,8832.67132299,9693.38394132
12146.06090894,13038.12733592,8834.69414935,9666.07578539
12060.09078842,12836.8561126,8835.70556253,9598.31110216
11943.77827243,12656.82456611,8656.68542923,9511.32956846
11885.11630785,12606.25390699,8661.74249514,9424.34803476
12024.69132703,12608.27673335,8752.76968157,9345.45780653
12292.7158204,12573.88868515,8677.92510606,9218.01974553
12367.56039591,12608.27673335,8584.87509327,9195.76865551
12352.38919817,12949.12297586,8444.2886609,9168.46049959
12299.79571268,13114.9947378,8419.00333133,9288.81866831
12107.627208,12860.1186158,8459.45985864,9513.35239483
11598.88637719,12380.70876728,8126.70492159,9212.96267962
11565.50974217,12604.23108062,8183.34405981,8955.05231807
11374.35265067,12461.62182189,8059.95165154,8581.84085372
10763.45908843,12042.89676432,7573.46191074,8106.47665793
10363.95088133,11793.07770824,7342.85970513,7784.84726589
10162.67965801,11644.39997041,7150.69120045,7617.96409078
10017.03615972,11589.78365855,7063.70966675,7627.06680942
10082.77801659,11741.49563593,6971.67106714,7766.64182861
10556.11938601,12151.11797485,7165.86239819,8100.40817884
11408.74069888,12961.25993405,7855.64618867,8752.76968157
11969.063602,13008.79635363,8316.8505999,9310.05834514
12291.70440722,13107.91484552,8599.03487782,9645.84752174
12198.65439443,13158.48550465,8696.13054335,9825.87906823
12013.56578203,13078.58386323,8688.03923789,9829.92472096
11921.52718242,12885.40394536,8706.24467517,9782.38830138
11886.12772103,12722.56642298,8765.91805294,9745.97742681
11780.94075005,12620.41369154,8820.5343648,9644.83610855
11733.40433047,12564.7859665,8843.796868,9468.8502148
11793.07770824,12510.16965465,8737.59848383,9464.80456207
12031.77121931,12416.10822867,8710.2903279,9507.28391573
12155.16362758,12525.34085238,8725.46152564,9586.17414397
12184.49460987,12845.95883124,8594.98922509,9610.44806035
12219.89407126,13048.24146775,8606.1147701,9716.64644451
12031.77121931,12815.61643577,8623.3087942,9807.67363094
11403.68363296,12327.10386861,8240.99461121,9239.25942236
11472.45972938,12428.24518686,8323.93049218,9103.7300559
11259.05154786,12336.20658725,8184.35547299,8744.67837611
10803.91561573,11948.83533835,7717.08258266,8211.66362892
10484.30905005,11680.81084498,7356.0080765,7884.97717096
10290.11771901,11459.311358,7058.65260084,7752.48204405
10199.09053258,11418.8548307,6987.85367806,7735.28801995
10327.54000676,11596.86355083,6901.88355755,7823.28096683
10755.36778297,11988.28045246,7050.56129538,8161.09296979
11623.16029357,12798.42241167,7781.81302634,8887.28763484
12046.94241705,12832.81045987,8442.26583453,9246.33931464
12311.93267087,12935.97460449,8725.46152564,9571.00294623
12070.20492025,13034.08168319,8818.51153843,9619.55077899
12063.12502797,12865.17568171,8868.07078438,9621.57360536
12175.39189123,12817.63926213,8924.7099226,9716.64644451
12151.11797485,12631.53923655,8952.01807853,9676.18991721
12071.21633343,12500.05552282,8914.59579077,9636.74480309
12030.75980613,12375.65170137,8875.15067665,9528.52359256
12200.67722079,12201.68863398,8774.0093584,9472.89586753
12479.82725917,12202.70004716,8774.0093584,9464.80456207
12510.16965465,12292.7158204,8746.70120247,9474.91869389
12533.43215784,12734.70338117,8620.27455466,9468.8502148
12553.6604215,12975.41971861,8650.61695013,9606.40240762
12375.65170137,12795.38817212,8632.41151285,9866.33559553
11888.15054739,12233.04244264,8260.21146168,9418.27955567
11925.57283515,12310.92125769,8237.96037166,9213.9740928
11598.88637719,12270.46473039,8116.59078976,8845.81969436
11125.54500777,11897.25326604,7713.03692993,8318.87342626
10844.37214303,11612.03474856,7373.2021006,8006.34675286
10595.56450013,11468.41407665,7173.95370365,7868.79456004
10579.38188921,11429.98037571,7112.25749951,7825.30379319
10683.55744701,11573.60104763,7077.86945131,7956.78750692
11126.55642095,11975.13208109,7331.73416012,8248.07450349
12009.5201293,12702.33815933,8002.30110013,8864.02513165
12514.21530738,12857.08437625,8596.00063828,9381.8686811
12656.82456611,13038.12733592,8842.78545481,9692.37252813
12449.4848637,13141.29148054,8908.52731168,9734.8518818
12410.03974958,13054.30994684,8857.95665255,9725.74916316
12385.7658332,12961.25993405,8949.99525216,9714.62361815
12383.74300683,12866.1870949,8902.45883258,9656.97306674
12345.3093059,12720.54359661,8783.11207704,9517.39804756
12351.37778499,12699.30391978,8825.59143071,9433.45075341
12425.21094731,12595.12836198,8711.30174108,9396.02846565
12695.25826705,12416.10822867,8625.33162057,9291.85290785
12717.50935706,12409.02833639,8654.66260286,9283.76160239
12708.40663842,12742.79468663,8614.20607556,9298.93280013
12709.4180516,12952.15721541,8626.34303375,9420.30238203
12604.23108062,12696.26968023,8606.1147701,9771.26275637
12055.03372251,12142.01525621,8308.75929444,9429.40510068
12165.27775941,12122.79840574,8389.67234904,9215.99691916
11930.62990106,11872.97934966,8303.70222853,8860.9908921
11476.50538211,11461.33418437,7816.20107455,8328.98755809
11121.49935504,11099.24826502,7537.05103617,8033.65490879
10894.94280215,10931.35367673,7468.27493976,7888.01141051
