x1,x2,x3,x4
17530.7922281,18161.95588898,11030.1019175,10796.73875428
17316.13750413,18034.93543305,10676.61088123,10606.70039773
17171.39326364,17907.91497711,10572.23748333,10565.34490045
17238.34978305,17951.23978379,10523.00474847,10543.68249711
17319.09146822,18150.14003261,10422.56996936,10594.88454136
18051.6745629,18661.17582044,10387.12240026,11018.28606114
19616.29087667,20129.29597389,10712.05845032,12072.85124179
20807.72306023,21858.34962209,10931.63644779,13253.45222367
21494.02738414,22304.3981999,11293.00472164,13267.23738943
21145.45962135,22177.37774397,11765.63897628,13368.65682324
20937.69748025,21970.60025757,12089.59037164,13342.07114642
20678.7332949,21758.89949768,12074.82055118,13045.69008257
20557.62076715,21550.15270188,12037.40367269,12964.94839741
20407.95325318,21220.29337834,11952.72336874,12913.74635316
20561.55938594,21175.98391696,11940.90751237,12810.35760995
20729.93533915,21147.42893075,11883.79753993,12955.10185044
21106.07343347,21201.58493909,11910.38321676,13045.69008257
21099.18085059,21244.90974576,11871.98168357,12846.78983375
20841.20131993,21478.27290899,11932.04562009,12682.35249933
20577.31386109,21432.97879292,12018.69523344,12777.86400495
20272.07090498,21200.60028439,12064.97400421,13042.73611848
19792.54406746,20719.10413748,12043.31160087,12842.85121496
19136.76403916,19945.16554552,11984.23231904,12242.2118497
18252.54412112,19199.78193978,11705.57503975,11579.53923851
17699.16818132,18651.32927346,11097.05843691,11110.84360267
17381.12471414,18309.65409355,10804.61599186,10779.01496973
17209.79479683,18117.64642761,10697.28862987,10789.8461714
17286.59786321,18157.03261549,10674.64157183,10738.64412715
17516.02240765,18346.08631735,10685.4727735,10886.34233172
18198.38811277,19121.9942187,11011.39347826,11166.96892041
19541.45711969,20603.89953792,12110.26812028,12229.41133863
20997.76141678,21941.06061665,13294.80772095,13274.12997231
21458.57981505,22233.50306171,13786.15041483,13127.41642244
21341.40590608,21997.18593439,13704.42407497,13397.21180946
21297.09644471,21687.01970479,13532.10950297,13404.10439234
21159.24478711,21449.71792277,13359.79493097,13439.55196144
20927.85093328,21351.25245306,13419.85886749,13446.44454432
20888.46474539,21168.10667939,14368.08134085,13344.04045581
20892.40336418,20962.31384768,13567.55707207,13436.59799734
21186.81511863,20975.11435874,13300.71564914,13288.89979277
21532.42891733,20911.11180343,13202.25017942,13283.97651929
21454.64119626,20897.32663767,12963.96374271,13219.97396397
21286.26524304,21131.67445559,12888.14533103,13020.08906045
21026.316403,21110.01205225,12719.76937782,13073.26041409
20727.96602976,20889.44940009,12697.12231978,13478.93814932
20469.9864991,20354.78189954,12624.25787219,13235.72843912
19581.82796227,19696.04790714,12569.11720915,12876.32947466
18924.07862458,18841.36763001,12170.33205681,11878.87426645
18175.74105474,18291.930309,11675.05074414,11380.63898969
17879.3599909,17957.14771197,11127.58273252,11172.87684859
17706.0607642,17784.83313997,11024.19398932,11055.70293963
17711.96869238,17787.78710406,10858.7720002,11043.88708326
17889.20653787,17846.86638589,10841.04821565,11176.81546738
18344.11700795,18420.92007433,11037.97915508,11522.42926608
19859.50058687,19868.36247914,12238.27323091,12725.677306
21388.66933155,21322.69746684,13428.72075977,13977.17342608
21789.42379329,21654.52609978,13720.17855012,14295.21689326
21707.69745343,21440.8560305,13633.52893677,14114.04042898
21592.49285386,21119.85859923,13561.64914388,13758.58008331
21242.94043637,20987.91486981,13467.12229296,13774.33455847
21058.810008,20661.99416505,13364.71820445,13600.05067707
20919.9736957,20477.86373668,13439.55196144,13446.44454432
20942.62075374,20443.40082228,13241.63636731,13591.1887848
