x1,x2,x3,x4
16499.2874442,17811.95306846,11028.54315469,10500.34685283
16288.00892345,17765.00228607,10587.4014285,10398.62015765
16269.42423876,17652.5160366,10546.31949391,10314.50000587
16500.2655855,17670.12258,10525.77852662,10215.7077346
16847.50574691,17902.92020934,10436.76766834,10258.74595179
17405.04628777,19085.49304074,11004.0896222,10944.42300291
19597.06094051,20826.5845543,12509.44908251,12625.84789718
21511.28346412,21855.58920163,14227.06520488,14112.62267281
21579.7533551,22136.31575466,14643.75339857,14625.16871387
21306.85193247,22028.72021169,14731.78611555,14874.59474531
21469.22338823,22012.09180959,14745.48009374,14973.38701659
21510.30532282,22048.28303768,14742.54566984,14946.97720149
21372.38739956,21884.93344063,14560.61138809,14963.60560359
21190.4531178,21661.91722428,14440.30000822,14978.27772308
21127.85207462,21476.07037733,14569.41465979,14683.85719186
21541.60584441,21400.75349725,14544.9611273,14425.62788873
21891.78042972,21535.73699661,14197.72096588,14481.38194281
21983.7257119,22055.13002678,14246.62803087,14735.69868075
21796.90072365,22354.44126451,14082.30029251,14261.30015037
21306.85193247,22065.88958108,13887.65017386,14210.43680278
20322.84178492,21208.0596612,13486.61224096,14348.35472605
19678.24666839,20184.92386166,13087.53059067,13243.05505733
18611.09451036,19313.39996358,12422.39450684,12079.06691062
17674.0351452,18287.32974014,12478.14856092,11496.09469597
16825.98663831,17449.06264626,11022.67430689,10648.04618909
16546.23822659,17311.14472299,10784.00782975,10665.65273248
16492.4404551,17104.75690874,10859.32470983,10753.68544946
16547.21636789,17059.76240895,11082.34092618,10918.99132912
16701.76269325,17413.84955946,10570.77302641,10913.12248132
17350.27037498,18269.72319675,10811.39578615,11267.20963183
19208.73884451,20269.04401344,12328.49294206,12693.33964687
20925.37682557,21595.4036159,13838.74310888,14099.90683591
21534.75885531,21589.5347681,14441.27814952,14620.27800738
21112.20181382,21368.47483436,14583.10863799,14754.28336544
21192.4094004,21157.19631361,14639.84083337,14983.16842958
21047.64448804,21120.02694422,14559.63324679,15041.85690757
20775.72120671,20964.50247756,14444.21257342,15095.65467905
20616.28417485,20686.71034843,14422.69346483,14874.59474531
20601.61205535,20483.25695808,14182.07070509,14667.22878976
21013.40954255,20577.15852286,13966.87961914,14969.47445139
21768.53462596,20454.89086039,13904.27857596,15034.03177717
22001.3322553,21186.5405526,13866.13106527,15822.41366477
21557.25610521,21561.16867041,13466.07127367,16216.60460857
21202.1908134,21451.61684484,13378.03855669,15986.74140313
20774.74306541,20627.04372915,13298.80911141,15781.33173018
20145.79820967,19590.21395141,12699.20849467,14870.68218011
18712.82120553,18614.02893426,12192.53130139,13817.22400028
17969.43381772,17779.67440557,12744.20299445,12605.30692989
16875.8718446,17184.96449532,11121.46657817,11172.32992575
16951.18872468,17111.60389784,10817.26463394,10833.89303604
