x1,x2,x3,x4
0.0,0.0,0.0,-0.0
0.0,0.0,0.00010911,-0.0
0.0,0.0,0.01162021,-0.0
0.0,0.0,0.09168529,-0.0
0.0,0.0,0.14982815,0.00155624
0.0,5.2e-7,0.25025343,0.05832381
0.0,0.00817512,0.36336979,0.11672508
0.0,0.10827644,0.48117107,0.14279283
0.00070607,0.19237058,0.58051748,0.19297966
0.04861951,0.25875715,0.65173939,0.23518325
0.16743428,0.30742268,0.69452165,0.23969906
0.21427814,0.31760371,0.70456522,0.25098288
0.16777,0.2905723,0.68169073,0.25976035
0.05031505,0.24504241,0.62465988,0.25583113
0.00067306,0.1567666,0.54055488,0.228784
0.0,0.07739926,0.43838469,0.1692991
0.0,0.008375,0.32678697,0.10927097
0.0,4.4e-7,0.21117629,0.02331475
0.0,0.0,0.13918306,1.295e-5
0.0,0.0,0.06712127,-0.0
0.0,0.0,0.0015116,-0.0
0.0,0.0,6.8e-7,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.00015053,-0.0
0.0,0.0,0.01300683,-0.0
0.0,0.0,0.10429767,-0.0
0.0,0.0,0.16026111,0.00075122
0.0,2.88e-6,0.25948758,0.02196977
0.0,0.0100225,0.37415807,0.04917012
0.0,0.07385708,0.47541852,0.06466287
0.00070895,0.12462028,0.56195114,0.08023071
0.0271789,0.17568323,0.63996043,0.09117926
0.09401017,0.24324339,0.68257447,0.09836788
0.14940228,0.29493102,0.68363325,0.11404844
0.12281909,0.30340735,0.63620848,0.1464976
0.04768498,0.24525902,0.51630462,0.14082616
0.00088015,0.17129854,0.38965072,0.09592985
0.0,0.08816743,0.27902011,0.06532121
0.0,0.01810759,0.18373889,0.02142525
0.0,3.83e-6,0.10931773,0.00414679
0.0,0.0,0.05910586,1.62e-6
0.0,0.0,0.0240787,-0.0
0.0,0.0,0.00132261,-0.0
0.0,0.0,1.28e-6,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.00016477,-0.0
0.0,0.0,0.00859833,-0.0
0.0,0.0,0.05488794,-0.0
0.0,0.0,0.10689867,0.00023097
0.0,8.26e-6,0.17749611,0.01574098
0.0,0.02303554,0.27602407,0.05351442
0.0,0.21123957,0.40882685,0.11040675
0.00085575,0.33528382,0.51417724,0.15494082
0.03518012,0.43461138,0.6156764,0.21796075
0.08044003,0.48423444,0.64984468,0.23469264
0.08306434,0.46526482,0.6699768,0.23369857
0.05400743,0.43090929,0.66034479,0.27256324
0.02217272,0.37240087,0.60279852,0.24147026
0.00072405,0.27843689,0.51243033,0.19936089
0.0,0.16799686,0.41183377,0.12820501
0.0,0.03713432,0.3075311,0.07934626
0.0,1.318e-5,0.20613709,0.01326019
0.0,0.0,0.13889444,2.4e-7
0.0,0.0,0.07509207,-0.0
0.0,0.0,0.00235152,-0.0
0.0,0.0,3.13e-6,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.00026204,-0.0
