x1,x2,x3,x4
0.79531413,0.2733959,0.24193316,0.13402043
0.79535112,0.28261398,0.22926125,0.12539247
0.7964792,0.29588192,0.21880431,0.12202158
0.79322584,0.31507952,0.22167126,0.11328559
0.78788351,0.32982968,0.22319692,0.11176889
0.77617255,0.33908101,0.18208828,0.10558825
0.75672477,0.35631681,0.1362927,0.1010039
0.73478023,0.36453101,0.12420589,0.09636989
0.70820682,0.34386834,0.13634269,0.10030564
0.67037177,0.32982772,0.17748062,0.11545327
0.60871423,0.26185008,0.18693057,0.11884862
0.58744271,0.26248738,0.20514997,0.13296077
0.58426199,0.258935,0.23725032,0.13256314
0.53162319,0.27204366,0.26320986,0.13816643
0.48735901,0.30505319,0.29530208,0.14778477
0.47398284,0.36878685,0.31692867,0.14498011
0.46664643,0.46966997,0.3190265,0.14668703
0.46822252,0.55841192,0.31730484,0.17317459
0.50228678,0.60712679,0.33523518,0.21421471
0.56073223,0.62969756,0.3642992,0.26375754
0.59301524,0.62000434,0.37523111,0.31399168
0.60025879,0.60480682,0.38673469,0.34063445
0.59977714,0.56793665,0.40048665,0.42392517
0.5861528,0.55502914,0.40156207,0.40936873
0.56537921,0.53881395,0.38713806,0.38925539
0.54956291,0.51624154,0.35479973,0.3645352
0.55613173,0.50439282,0.34840264,0.34677393
0.57740759,0.49957517,0.35248693,0.35674438
0.5817034,0.4926051,0.32787896,0.35252357
0.58592102,0.49514349,0.24383633,0.32715375
0.61651624,0.5063425,0.17731387,0.30058194
0.66348163,0.48795934,0.13904969,0.30587506
0.69682986,0.4131189,0.13139794,0.33970938
0.70587636,0.33257049,0.13700549,0.39087812
0.6781728,0.2633426,0.12113669,0.38161744
0.66741252,0.22618399,0.12995854,0.4620527
0.68240111,0.23138771,0.1326184,0.52239667
0.70577086,0.25442197,0.14142245,0.60003106
0.71282674,0.30553608,0.1623128,0.65522514
0.69401479,0.3968099,0.19145314,0.67642015
0.65414239,0.5000048,0.2173538,0.69874907
0.61570145,0.56146059,0.22262553,0.73863415
0.58835316,0.56417224,0.22368274,0.78455774
0.56660205,0.52315106,0.23006774,0.8299862
0.54419389,0.48328103,0.23201788,0.86505341
0.50505585,0.45700449,0.21849104,0.89257926
0.47847226,0.42167342,0.23064963,0.91324834
0.47041323,0.42482172,0.21237066,0.92177353
0.4636584,0.44910404,0.18439889,0.91786922
0.47212073,0.46994678,0.16701254,0.9080358
0.47776287,0.47750589,0.15297914,0.89661729
0.45264346,0.49105456,0.13882889,0.87958763
0.42738011,0.49298361,0.11797327,0.86805143
0.41211726,0.50210454,0.08866953,0.85286912
0.40226332,0.50915123,0.06684435,0.82805739
0.39637296,0.50734287,0.0628177,0.80918715
0.39254076,0.45887196,0.06942572,0.82948186
0.37114338,0.43009929,0.08177345,0.86686781
0.32755049,0.39803085,0.07508714,0.84077901
0.322714,0.39331419,0.11095894,0.8646892
0.32570278,0.40839632,0.16422907,0.88042096
0.33813594,0.4496095,0.22368482,0.87852855
0.36028306,0.49055577,0.29435721,0.868169
0.37911514,0.53018984,0.34325019,0.83837085
0.38970349,0.57428069,0.36708498,0.82997956
0.38418969,0.60757313,0.36815559,0.8306341
0.36453968,0.6020125,0.38519321,0.83979146
0.34911678,0.59295835,0.41485017,0.83452378
0.33735171,0.56779571,0.42568822,0.81975797
0.33543106,0.54180212,0.43710989,0.80454019
0.28775097,0.50595178,0.48272905,0.76855457
0.27614646,0.50785134,0.44824396,0.74600856
0.26986234,0.50033505,0.41848197,0.71497895
0.2700696,0.5037327,0.3954907,0.67956108
0.26905231,0.52930729,0.37087687,0.64871729
0.27256248,0.55734388,0.35946454,0.63240623
0.29188678,0.58039583,0.34749052,0.63015869
0.30770734,0.59205817,0.31436788,0.62558279
0.3096896,0.59624075,0.30050331,0.61650998
0.31609328,0.60354596,0.32389589,0.62226866
0.32843962,0.57501303,0.37910864,0.62479242
0.31861534,0.553943,0.46820767,0.60990031
0.28850441,0.51245979,0.45843194,0.55016805
0.28089935,0.54065707,0.51249195,0.52958702
0.26978784,0.55164326,0.53998658,0.51360252
0.28412729,0.5574514,0.56307229,0.50253629
0.31255787,0.54726944,0.59136684,0.48530893
0.35734294,0.53449514,0.62351826,0.46372083
0.40719436,0.54521052,0.63075661,0.43715727
0.43130237,0.569311,0.62436246,0.41679316
0.44397752,0.59521758,0.6432149,0.40238169
0.4506569,0.61135282,0.66542311,0.39604118
0.44181305,0.61569385,0.66140586,0.38800211
0.44284101,0.61575733,0.636127,0.38022399
0.36565249,0.65084591,0.62066847,0.39665549
0.37928813,0.63839007,0.595362,0.36139745
0.40399317,0.63251823,0.55722549,0.31783776
0.41111434,0.6577712,0.53410891,0.29569726
0.40604925,0.67139789,0.5102256,0.29510395
0.40003624,0.69329709,0.4778647,0.30345727
0.39891336,0.71588704,0.41590762,0.31816999
0.40485324,0.73823291,0.32148875,0.34264438
0.41221577,0.76012629,0.26834324,0.36565958
0.42663832,0.7661481,0.24766032,0.38891317
0.44075497,0.74564085,0.24916612,0.4285185
0.43059934,0.73933828,0.27431984,0.45204807
0.36858917,0.70292704,0.23552982,0.42698101
0.34048602,0.69352646,0.25540934,0.43876634
0.31611708,0.66423541,0.28859065,0.44794821
0.310893,0.64506201,0.32296808,0.45160364
0.32615162,0.64291748,0.34842696,0.4440658
0.36198025,0.64313575,0.36354574,0.43923506
0.40209226,0.64314739,0.36076164,0.43207251
0.42427394,0.66013065,0.36972826,0.42786438
