x1,x2,x3,x4
0.44143888,0.90401139,0.33925426,0.79462656
0.42335789,0.93304568,0.31693694,0.79776686
0.39077979,0.95914629,0.30523598,0.79898949
0.35580967,0.97995577,0.28387239,0.76006368
0.3172156,1.00423744,0.28363769,0.72865631
0.27614802,1.02105137,0.29133408,0.73158429
0.24133479,1.02397559,0.27637154,0.70175703
0.20524976,1.01337488,0.2996657,0.66898259
0.18218077,0.99554025,0.32302829,0.65264314
0.17130059,0.97638249,0.34861661,0.64442114
0.13123491,0.89575548,0.3684805,0.54869388
0.11862414,0.85133965,0.40162193,0.54703784
0.10619385,0.84782847,0.42070554,0.61416699
0.09922384,0.83969914,0.43016881,0.6403071
0.10470333,0.85407958,0.43343996,0.64693323
0.12061349,0.85382297,0.44814258,0.66773064
0.14915015,0.84404471,0.46449937,0.62478778
0.19504866,0.80913042,0.46777649,0.60903504
0.25411795,0.76927563,0.48552044,0.5686764
0.32416405,0.7324105,0.50011182,0.55115042
0.38683867,0.68434008,0.50710284,0.54194811
0.44629977,0.6082559,0.50755353,0.54109523
0.51398236,0.52522329,0.56704546,0.6079497
0.59742648,0.42371603,0.49628783,0.5996934
0.66963676,0.31719026,0.42306655,0.57633665
0.74403259,0.23508082,0.37298181,0.54990956
0.81783493,0.17842448,0.35112424,0.55382949
0.8633818,0.1339012,0.35454728,0.55517366
0.90462713,0.12698524,0.35189659,0.5907848
0.95667036,0.1385318,0.32344524,0.6801444
1.00621966,0.1485758,0.24707873,0.77769272
1.03557028,0.17569198,0.19379145,0.8780588
1.0504258,0.18930153,0.15414397,0.94982816
1.05895369,0.17442744,0.13395553,1.00542566
1.07625546,0.1771482,0.12879929,1.03870849
1.08685401,0.20013853,0.12544937,1.06063248
1.09401231,0.23280298,0.11032519,1.07151622
1.09689658,0.28137353,0.09358228,1.07655693
1.09563868,0.35500583,0.09218913,1.0631715
1.09457186,0.41350216,0.10535498,1.06376587
1.09165988,0.49941493,0.12397786,1.0585511
1.08482821,0.5680567,0.14106172,1.04490082
1.06988892,0.60866281,0.15270773,1.02132787
1.04905787,0.64711038,0.15371724,0.98810013
1.02819548,0.67227952,0.14175109,0.94684453
1.0105134,0.67179885,0.11374365,0.91234618
0.94557939,0.69723295,0.0980279,0.89598569
0.91920177,0.62233095,0.07956634,0.90217504
