x1,x2,x3,x4
0.75206596,0.13361241,0.63613631,0.32187695
0.80634143,0.12930241,0.60942853,0.30143144
0.84880892,0.13213151,0.57690466,0.29139316
0.86533997,0.14388257,0.54821397,0.28063609
0.87231565,0.16523836,0.50096489,0.28857893
0.88469359,0.17233789,0.4396584,0.29999
0.89457212,0.19146742,0.41843559,0.31808043
0.89532543,0.19132228,0.42920101,0.35613099
0.88474385,0.17589703,0.43539184,0.37844926
0.87200975,0.16669764,0.45810456,0.40005012
0.83695598,0.12459168,0.41313614,0.34350323
0.8181842,0.1359335,0.46574867,0.38896736
0.79829102,0.15079219,0.49513583,0.43329401
0.77802591,0.17311977,0.50930303,0.46341294
0.77586464,0.2112266,0.50607287,0.48294221
0.74759524,0.26010736,0.47963959,0.5024283
0.71905934,0.32761069,0.43647804,0.55940246
0.72037108,0.37359995,0.41628163,0.63012497
0.70422014,0.39887938,0.41742885,0.6897219
0.69324089,0.41493347,0.40714217,0.72526605
0.69146905,0.41534835,0.38086991,0.75022629
0.68412924,0.41482202,0.33527395,0.75445029
0.67480227,0.42211679,0.31848829,0.73867581
0.64637737,0.40750882,0.26069608,0.71671986
0.62982908,0.39644994,0.23556882,0.68846181
0.61589309,0.39808723,0.23246806,0.65437773
0.55110305,0.4044544,0.23433253,0.62063297
0.5372829,0.42721245,0.25382998,0.59801114
0.51514149,0.45636926,0.27008265,0.57810257
0.51220129,0.4827091,0.24497684,0.58181518
0.48354098,0.50579713,0.22474706,0.59504152
0.46399661,0.50604747,0.21952073,0.65356306
0.45557835,0.46237289,0.22012976,0.6806876
0.45207313,0.42966151,0.22054983,0.66779989
0.40825777,0.37510425,0.23265657,0.51194676
0.41082671,0.35889224,0.23809745,0.58455799
0.39807827,0.37082565,0.25485503,0.66572386
0.38297463,0.39133964,0.27253628,0.70180033
0.33951675,0.41544619,0.27996702,0.70668543
0.29025111,0.47530135,0.28185947,0.69479907
0.23887594,0.52343153,0.2747421,0.70251868
0.18983744,0.55024615,0.27483829,0.70446387
0.1586011,0.54578991,0.28103273,0.69805699
0.13912124,0.52276567,0.28283201,0.69034071
0.13343799,0.48387335,0.2875395,0.6744224
0.13502043,0.45328776,0.29841383,0.65644117
0.14195869,0.4143222,0.37489998,0.60770679
0.15723017,0.40221388,0.41801864,0.56525345
0.16080416,0.41596686,0.4472345,0.5396011
0.15423003,0.4283118,0.46234666,0.52899354
0.14457058,0.4428401,0.46357204,0.51149594
0.13369433,0.46460708,0.46049142,0.49344851
0.12580557,0.49058724,0.44884816,0.48534355
0.11210224,0.50979409,0.43354737,0.47799968
0.09379429,0.50905356,0.41911275,0.48713325
0.07952402,0.4875019,0.42958193,0.49976671
0.07220216,0.38777744,0.4503398,0.51696973
0.06981968,0.31814815,0.48323418,0.54275381
0.07962408,0.23645956,0.48211539,0.58166681
0.07226065,0.23072648,0.51102334,0.58011718
0.06771803,0.25673258,0.53183976,0.63156987
0.06624686,0.2944979,0.53903578,0.68477565
0.06657584,0.34479176,0.53117456,0.73739113
0.06465369,0.41347094,0.4999725,0.77397925
0.06517832,0.47629315,0.45808902,0.78254493
0.06468471,0.52025418,0.42340488,0.77829492
0.0613532,0.53268263,0.4197727,0.78641436
0.05373546,0.52652498,0.42784762,0.79170068
0.0488249,0.49830587,0.44148727,0.80091457
0.04492826,0.45311216,0.42698977,0.81516135
0.04937063,0.43553885,0.41289855,0.8138738
0.0520247,0.38906195,0.35990424,0.80217681
0.05497012,0.37047134,0.32499404,0.8249468
0.05850384,0.36907956,0.29782887,0.84848392
0.06227851,0.38195393,0.26885976,0.85821372
0.06275913,0.39845088,0.23371247,0.87471863
0.0667024,0.41808298,0.18670654,0.88162196
0.07284239,0.44824404,0.16791743,0.88702815
0.08032414,0.46435419,0.15970829,0.88208821
0.08900626,0.45748967,0.15893099,0.89035728
0.0953614,0.36698793,0.16228349,0.86378665
0.10137812,0.32633062,0.18130185,0.81745792
0.14953854,0.29272194,0.19331465,0.69049452
0.14079474,0.28987296,0.21290826,0.69124326
0.13629738,0.31693723,0.21950864,0.71155781
0.13754319,0.35337359,0.22099185,0.73445228
0.14370279,0.41321244,0.21768141,0.72180792
0.15498985,0.49418451,0.2142536,0.68128034
0.17321453,0.5500118,0.20959264,0.66050212
0.20318426,0.56615636,0.19169407,0.64392651
0.23148477,0.55638685,0.1843371,0.61599161
0.25737587,0.54176073,0.18134635,0.59442922
0.27518058,0.51354564,0.17706836,0.56766419
0.29070721,0.48234404,0.17774911,0.55851533
0.30291336,0.44540795,0.22020787,0.57161751
0.31815503,0.46466168,0.22762719,0.53187451
0.33655132,0.48580512,0.2409395,0.49397233
0.34453575,0.50232667,0.26830132,0.49723705
0.35511342,0.51348324,0.29561144,0.51191082
0.3683947,0.51558037,0.3115968,0.54353437
0.37724496,0.52782376,0.30240335,0.57588587
0.3759044,0.54170128,0.28186569,0.6124108
0.38066098,0.54544354,0.29548559,0.63302324
0.39026395,0.56173391,0.31857365,0.6576068
0.40441825,0.52013753,0.34720783,0.66316567
0.41593915,0.47447674,0.37737142,0.66118457
0.4142399,0.40471287,0.39680603,0.58546735
0.43155212,0.40745638,0.41633759,0.59261326
0.43357129,0.41263879,0.43212176,0.63705785
0.44128716,0.40860614,0.44833216,0.65985794
0.44378555,0.41679089,0.45438528,0.67597394
0.43711786,0.43059822,0.45074582,0.68417281
0.4329549,0.46749728,0.43137903,0.66530559
0.42432213,0.49421404,0.44591933,0.64906967
0.41311297,0.51851378,0.48761126,0.62682459
0.40861548,0.50863626,0.52005871,0.60061898
0.39996708,0.50038773,0.52924037,0.57719391
0.390361,0.47048548,0.5136333,0.5657283
0.3465304,0.40088187,0.49450193,0.55426712
0.34308553,0.40828683,0.45860958,0.53758674
0.33266777,0.42390828,0.42646793,0.53658324
0.31967038,0.43265434,0.38298755,0.55231203
0.31298467,0.43402362,0.32925084,0.56410707
0.32026555,0.42559958,0.26658892,0.61427842
0.31887096,0.42451472,0.20671039,0.65906664
0.30091124,0.40765016,0.18090401,0.71735403
0.29526158,0.4051079,0.19316253,0.76707012
0.28877964,0.39761313,0.21724781,0.79075249
0.28060921,0.38661472,0.23171813,0.81390449
