x1,x2,x3,x4
0.78534611,0.35266083,0.67512197,0.83330649
0.76131754,0.39265788,0.6517224,0.83672835
0.72383082,0.43279376,0.63425971,0.82904622
0.6927214,0.46596705,0.63006261,0.81430998
0.64140242,0.48333411,0.62764791,0.80367058
0.5912289,0.50830359,0.63348402,0.79795024
0.56451857,0.52607384,0.62663049,0.77250187
0.55891671,0.54155772,0.64440437,0.74736207
0.55081791,0.53977282,0.6570377,0.72380355
0.54484045,0.53779155,0.63732468,0.71675093
0.57608688,0.52464729,0.54550443,0.6773372
0.58431161,0.53339999,0.55673167,0.71016561
0.59531135,0.53452252,0.5401655,0.72908847
0.62474799,0.53224206,0.50935256,0.73076756
0.63525739,0.53000923,0.48701147,0.70856206
0.61927584,0.5317406,0.45510617,0.69079132
0.61328129,0.53493665,0.40470761,0.6575713
0.61101266,0.54244743,0.34238367,0.64062018
0.61723827,0.5351865,0.32274689,0.62699079
0.61569834,0.52991425,0.31997052,0.61705191
0.62097568,0.52220388,0.2980508,0.61873459
0.63132706,0.51889959,0.25742869,0.59876372
0.63278464,0.49492809,0.22130078,0.55544523
0.64454296,0.48514844,0.19754172,0.51211677
0.6493105,0.48340932,0.16791774,0.50578868
0.65409828,0.48138112,0.14531662,0.5271492
0.64328669,0.47486062,0.13216373,0.55416233
0.6279722,0.46639531,0.11670071,0.56726582
0.61262127,0.45904851,0.10089441,0.57752776
0.59993624,0.45543434,0.10753647,0.59100788
0.59343046,0.46221776,0.15098625,0.59519686
0.58879142,0.47270259,0.2279361,0.5832618
0.58559703,0.46758519,0.28606859,0.55461017
0.5808164,0.46407698,0.31583317,0.52482108
0.59723936,0.42987455,0.30776346,0.44146953
0.5588122,0.43556276,0.34965153,0.44236732
0.53425465,0.43440015,0.38595995,0.44343748
0.52141436,0.42787144,0.41706247,0.42684611
0.52627756,0.42435988,0.45204947,0.40448936
0.53546243,0.42628523,0.45517971,0.36802946
0.53147737,0.44976999,0.44888283,0.36352505
0.52478226,0.47663705,0.4330597,0.37141226
0.51995727,0.50227449,0.4127087,0.3739242
0.51296029,0.52458643,0.39375938,0.3862192
0.50959938,0.5344298,0.37319385,0.42182632
0.50279927,0.53711735,0.34707374,0.42446514
0.48992628,0.51383288,0.27928311,0.42001729
0.50456432,0.51015427,0.27568416,0.40961242
0.51629708,0.5126414,0.26683839,0.40619165
0.52670572,0.5145134,0.256506,0.4072655
0.53423169,0.51201395,0.2435389,0.39900784
0.52244437,0.51010471,0.23030138,0.3924247
0.51668153,0.50965255,0.21308257,0.38858742
0.50850819,0.5193677,0.20214143,0.3945621
0.4940825,0.5277591,0.1850318,0.39850712
0.48706645,0.53205207,0.17039506,0.4077976
0.47720316,0.52646815,0.16507794,0.42246559
0.48361025,0.51354312,0.16434476,0.48913897
0.51089489,0.45731215,0.16427215,0.54574381
0.52208658,0.44015927,0.2046886,0.59617592
0.51074121,0.41834708,0.24167895,0.62744378
0.48410022,0.40086083,0.26003763,0.63121616
0.46741744,0.40548821,0.27099005,0.60336377
0.46824858,0.40536873,0.27240658,0.58595961
0.46482,0.41376905,0.26038333,0.57026978
0.44949949,0.40706624,0.22894621,0.55846253
0.43714126,0.41435275,0.19420238,0.54807095
0.43338032,0.42311482,0.16716984,0.53327405
0.44573425,0.43821859,0.14697696,0.52970425
0.46132299,0.43977619,0.12606028,0.53307034
0.44607763,0.42297448,0.08379086,0.5649491
0.46798854,0.3897368,0.09433485,0.52951105
0.47967706,0.3804416,0.11837788,0.49198253
0.4835982,0.36596019,0.14635888,0.43831871
0.50192447,0.36561055,0.18056569,0.41158019
0.5076841,0.36773899,0.19718435,0.40706751
0.50782877,0.36936962,0.19303344,0.42358305
0.50131951,0.37861271,0.18517307,0.44757117
0.48022561,0.38712986,0.17412827,0.4713562
0.45990046,0.38974715,0.17529728,0.49210243
0.43944763,0.38654845,0.19808673,0.5383136
0.42614855,0.37159601,0.21428256,0.58344603
0.43849466,0.33495241,0.19041002,0.57488748
0.44332179,0.31888472,0.21599153,0.6234731
0.4472957,0.31278796,0.22816015,0.65342094
0.43960232,0.29176662,0.22600534,0.64261983
0.42778138,0.29241887,0.21775217,0.61042696
0.42227411,0.30127762,0.2118731,0.58984458
0.40476745,0.31406319,0.20526016,0.56595656
0.39125401,0.3278757,0.18943409,0.53851758
0.37942428,0.32586744,0.18146273,0.52620328
0.3801323,0.31744605,0.19722304,0.52981646
0.38582877,0.31048718,0.22195589,0.52930206
0.39718021,0.31162976,0.24882451,0.51566204
0.43305849,0.2882189,0.28277752,0.48833507
0.44546844,0.27777755,0.290654,0.51071404
0.44775386,0.26844831,0.29529381,0.53292914
0.44711431,0.2474622,0.30220834,0.54289678
0.44634284,0.23518372,0.30926048,0.55558665
0.4442863,0.22604837,0.31702487,0.56504674
0.43382319,0.23001146,0.3166724,0.56762369
0.4032559,0.2381484,0.32042302,0.57617525
0.37349402,0.25035806,0.33829472,0.58795311
0.37517687,0.26304565,0.3664466,0.58483702
0.34313835,0.2685406,0.41004293,0.59810417
0.33129959,0.2565091,0.45223878,0.63717846
0.31782457,0.20785786,0.46063698,0.61904031
0.32599371,0.20975208,0.48655233,0.65619892
0.32649542,0.21597595,0.49850504,0.65674472
0.32355235,0.21958701,0.50091745,0.64195079
0.32145932,0.2269681,0.48825743,0.62949638
0.32157139,0.23325828,0.4456662,0.59599479
0.31600212,0.24545147,0.40929044,0.54831735
0.33681856,0.26707733,0.39289535,0.52626127
0.35007322,0.28901718,0.37293282,0.51173804
0.35730897,0.30051981,0.36075861,0.4960092
0.36261761,0.29696733,0.33691507,0.48665442
0.3748846,0.28196609,0.32218615,0.46118279
0.38333166,0.22514651,0.3113283,0.40606344
0.41837997,0.21398629,0.31122499,0.36652816
0.43073062,0.20550574,0.32156134,0.34967849
0.42879918,0.19748893,0.35150937,0.36924834
0.41908217,0.19208818,0.36801733,0.38870194
0.403654,0.18296432,0.36931425,0.41850994
0.38660264,0.17505901,0.35991709,0.43066877
0.38257022,0.16420457,0.33744735,0.42493758
0.39626802,0.15726147,0.32665582,0.42274795
0.40276607,0.14640091,0.32278793,0.42864943
0.40895585,0.1328703,0.33191767,0.46439446
0.40697877,0.11181239,0.33553981,0.51508865
0.40684916,0.07970456,0.30407762,0.52861563
0.40303144,0.06682035,0.31373035,0.55892001
0.38893615,0.05704013,0.34512159,0.60117232
0.38714563,0.05229316,0.37464219,0.63510416
0.39120857,0.04852779,0.40207077,0.63700506
0.38634497,0.04315182,0.39783988,0.61937934
0.38835078,0.04426961,0.39299022,0.58704114
