x1,x2,x3,x4
0.82920635,0.25915379,0.42403239,0.50812464
0.79534579,0.26863865,0.38251056,0.50978196
0.76543029,0.28295601,0.34657263,0.52626878
0.73620806,0.30406704,0.32891471,0.54370882
0.71052862,0.32937907,0.31211666,0.57215693
0.66941815,0.35386785,0.28262603,0.60001353
0.63643746,0.38672034,0.26799584,0.64324696
0.60935261,0.4099943,0.27030576,0.68901046
0.59270971,0.41450264,0.27831488,0.72071321
0.57779932,0.41418015,0.29207377,0.75482387
0.54874073,0.41546895,0.3058343,0.71360288
0.5612975,0.42299681,0.32106852,0.72670354
0.5777585,0.42147398,0.33341852,0.72107425
0.58423454,0.43163873,0.34474691,0.72399821
0.59931486,0.45042296,0.34222366,0.74258243
0.6013359,0.46093806,0.3261205,0.73607202
0.60018004,0.47606246,0.30629343,0.7347638
0.58825181,0.49036074,0.28696214,0.71687548
0.5698261,0.4923741,0.28838129,0.7014113
0.55792511,0.49070029,0.30235712,0.68179787
0.54244372,0.47415694,0.3198104,0.65642083
0.51866878,0.45443425,0.32614744,0.61626196
0.44520152,0.45417149,0.32312723,0.62457033
0.43670921,0.42923882,0.2886401,0.60352194
0.42922903,0.40560094,0.26066621,0.59323362
0.41250034,0.39133859,0.23099544,0.58342268
0.39283962,0.3866208,0.20206601,0.56785747
0.3771854,0.38177956,0.18956011,0.56659004
0.37063544,0.37930975,0.17736973,0.56477397
0.3739883,0.37854411,0.14957894,0.58302697
0.3965587,0.38261097,0.12301925,0.61026979
0.41588308,0.37280417,0.13172422,0.63564653
0.42564309,0.34389687,0.15857908,0.64721806
0.42738961,0.31826217,0.18983509,0.67403024
0.43049151,0.29000902,0.19771368,0.58710646
0.44170948,0.27001196,0.22013966,0.66827748
0.44876154,0.26735548,0.23879214,0.74713979
0.46032764,0.26955814,0.25931334,0.76874303
0.46753861,0.29777163,0.28593519,0.7826037
0.46255934,0.3380771,0.30945339,0.77651873
0.44925206,0.39643412,0.33140783,0.76633643
0.43297873,0.44930096,0.32952573,0.75293008
0.41577797,0.47198073,0.32675165,0.73226995
0.3992941,0.47838132,0.35021331,0.70579229
0.3877199,0.46144313,0.37939321,0.67355151
0.38117038,0.4402691,0.39415248,0.64698785
0.43874622,0.42780797,0.37711063,0.64727917
0.42531185,0.38690573,0.38970059,0.62702995
0.41562988,0.38617311,0.39307352,0.60808713
0.41175818,0.4064969,0.39437836,0.59924437
0.40663451,0.44065435,0.38947815,0.60784123
0.40309752,0.47927119,0.38148818,0.61565852
0.39523735,0.49883766,0.35992653,0.61052972
0.38690101,0.51123366,0.34057735,0.60603273
0.37973476,0.50948705,0.29592,0.61084981
0.37683843,0.50246695,0.26176244,0.6120717
0.38287303,0.47452057,0.23265732,0.63232697
0.39135835,0.44135874,0.21132021,0.65132105
0.40402715,0.3962562,0.18593426,0.66926755
0.38716973,0.3741153,0.18100251,0.66067656
0.37960685,0.36691946,0.18214778,0.67123845
0.37330832,0.3778272,0.1905013,0.69859353
0.3696502,0.404527,0.19346933,0.72148442
0.3698382,0.4229806,0.19104128,0.73474728
0.35696558,0.45906795,0.18224651,0.73759549
0.34355156,0.48994387,0.1689664,0.7466535
0.32529525,0.48741753,0.16309507,0.75437452
0.30630507,0.45911076,0.17073597,0.76667795
0.29538253,0.42281348,0.17429223,0.78835468
0.29775982,0.38322296,0.17009417,0.8023911
0.29446659,0.36610893,0.16428685,0.85538029
0.28943106,0.33075485,0.15330336,0.82374567
0.28708084,0.316671,0.14210801,0.80253431
0.29289613,0.29748488,0.14107661,0.80239826
0.29585888,0.29413591,0.14716381,0.79293621
0.28971463,0.29371425,0.15383404,0.7703964
0.28755158,0.30212735,0.15306882,0.74244174
0.2854728,0.31113208,0.13032579,0.71364481
0.28269769,0.31561146,0.12010593,0.67810662
0.2885972,0.31291351,0.1301367,0.64328292
0.28668235,0.29928706,0.15975784,0.64230555
0.28198574,0.28885019,0.19505296,0.59202825
0.27558804,0.28168649,0.22200393,0.44595763
0.25917503,0.27051857,0.24306317,0.43821054
0.25213225,0.28613899,0.27241221,0.46341787
0.25764348,0.30434852,0.29450343,0.50593037
0.27715363,0.32242939,0.30360567,0.52008589
0.30925985,0.3358108,0.30857724,0.52060219
0.32788241,0.35526839,0.30973415,0.5091135
0.34925425,0.37675827,0.30271736,0.5191334
0.36344041,0.36738866,0.31657045,0.52654482
0.38075678,0.34829943,0.33768016,0.53394663
0.39117489,0.32359036,0.34395265,0.54300177
0.39691557,0.30612348,0.33623888,0.54832094
0.3560407,0.29548725,0.33207291,0.54743293
0.35194797,0.3040094,0.31622505,0.50795916
0.35072126,0.31939791,0.29584383,0.5024199
0.34865644,0.32502813,0.28198254,0.51611899
0.35149715,0.32630891,0.27949644,0.51962878
0.35479958,0.32927856,0.28186713,0.52479743
0.3562839,0.3304935,0.27597193,0.53877135
0.35383282,0.33877821,0.24835992,0.53961651
0.35321654,0.34854028,0.23139509,0.53940703
0.36057556,0.346218,0.24265676,0.53597597
0.36836543,0.32333711,0.27360784,0.55285178
0.37323626,0.30623126,0.31763868,0.547155
0.38158925,0.25363696,0.35209287,0.50049142
0.38658097,0.24965027,0.37661581,0.53024558
0.37078782,0.24663983,0.39637943,0.55335796
0.34787764,0.24369583,0.41623436,0.5716706
0.32796083,0.24021308,0.43748934,0.58513363
0.31642316,0.23462588,0.45519734,0.57702776
0.3159228,0.24166877,0.460337,0.55811781
0.30567018,0.25065739,0.45230698,0.56935387
0.29803001,0.24095718,0.46370924,0.58936083
0.28996828,0.21795669,0.4867447,0.60083714
0.27793557,0.19280454,0.50725951,0.61057456
0.27059774,0.17718476,0.51584592,0.62114314
0.25925394,0.14107977,0.49625946,0.63238332
0.26440495,0.13656439,0.47392088,0.61896527
0.25288338,0.14230008,0.44555778,0.61125874
0.24078262,0.140898,0.40993107,0.621649
0.23238822,0.13994313,0.37567124,0.63799218
0.23260098,0.14197606,0.34678641,0.65869525
0.24359714,0.1400325,0.32947741,0.69180856
0.24950389,0.13386051,0.30088073,0.70692187
0.25698294,0.12648022,0.28387159,0.69654878
0.27316676,0.11866789,0.26481116,0.6868585
0.28489849,0.10735369,0.25045741,0.68690601
0.30010386,0.09944695,0.25013486,0.67867704
0.30463749,0.12801116,0.21587713,0.56436337
0.3105176,0.12390616,0.21794247,0.57073395
0.30216274,0.12316359,0.22407777,0.57837458
0.29425922,0.11894192,0.24077707,0.60883761
