x1,x2
2260.42857143,2713.70833333
2204.39285714,2657.625
2178.67857143,2642.0
2179.32142857,2677.5
2274.39285714,2828.70833333
2658.89285714,3270.58333333
3068.17857143,3709.70833333
3424.46428571,4031.0
3587.46428571,4167.375
3612.82142857,4188.08333333
3603.57142857,4170.20833333
3550.53571429,4103.5
3603.60714286,4142.58333333
3565.21428571,4110.83333333
3511.07142857,4096.16666667
3428.0,4118.91666667
3331.89285714,4134.54166667
3284.60714286,4127.375
3252.5,4051.20833333
3233.78571429,3931.95833333
3161.60714286,3721.45833333
2961.32142857,3391.79166667
2681.96428571,3090.875
2446.78571429,2843.16666667
2285.89285714,2732.83333333
2226.03571429,2673.70833333
2205.60714286,2655.66666667
2205.96428571,2690.875
2296.75,2838.25
2667.14285714,3283.45833333
3063.64285714,3732.95833333
3415.07142857,4051.95833333
3575.10714286,4184.83333333
3605.42857143,4180.70833333
3597.0,4173.08333333
3544.46428571,4101.66666667
3599.71428571,4148.41666667
3563.92857143,4112.375
3516.82142857,4098.83333333
3436.85714286,4128.41666667
3344.96428571,4143.875
3304.89285714,4139.625
3276.28571429,4070.08333333
3263.46428571,3953.70833333
3188.96428571,3737.29166667
2980.17857143,3405.0
2696.75,3091.5
2463.46428571,2889.66666667
2338.39285714,2776.70833333
2280.25,2717.45833333
2259.28571429,2698.16666667
2251.35714286,2730.29166667
2329.53571429,2872.625
2687.89285714,3303.625
3094.39285714,3742.91666667
3435.35714286,4039.0
3580.71428571,4160.79166667
3608.07142857,4177.41666667
3589.96428571,4148.41666667
3540.25,4083.95833333
3591.92857143,4124.08333333
3557.82142857,4089.16666667
3517.5,4082.41666667
3442.32142857,4107.45833333
3348.0,4127.45833333
3305.96428571,4129.375
3279.21428571,4060.91666667
3262.17857143,3949.08333333
3188.17857143,3736.08333333
2981.35714286,3414.29166667
2694.96428571,3107.08333333
2470.5,2892.95833333
2342.78571429,2781.25
2275.07142857,2723.875
2249.07142857,2706.95833333
2246.53571429,2745.5
2335.17857143,2896.5
2709.5,3353.33333333
3127.46428571,3821.58333333
3470.46428571,4143.625
3627.42857143,4261.20833333
3644.32142857,4268.66666667
3631.03571429,4244.08333333
3572.25,4165.25
3633.5,4215.70833333
3595.89285714,4180.33333333
3549.0,4171.83333333
3464.82142857,4188.20833333
3362.46428571,4194.125
3324.14285714,4191.16666667
3294.57142857,4113.625
3277.82142857,3999.875
3205.53571429,3783.70833333
2994.75,3447.375
2711.64285714,3128.5
2479.60714286,2912.79166667
2349.57142857,2794.29166667
2284.07142857,2742.29166667
2260.71428571,2730.375
2255.64285714,2766.20833333
2337.39285714,2916.0
2701.10714286,3366.375
3109.21428571,3825.33333333
3451.25,4151.16666667
3609.10714286,4270.0
3623.57142857,4268.625
3610.57142857,4234.125
3557.75,4155.91666667
3610.46428571,4191.125
3567.82142857,4144.875
3509.75,4114.91666667
3420.85714286,4128.125
3333.35714286,4150.41666667
3284.85714286,4141.08333333
3251.0,4067.70833333
3224.46428571,3953.04166667
3149.35714286,3743.95833333
2960.39285714,3433.58333333
2698.17857143,3143.0
2475.96428571,2928.0
2338.96428571,2784.5
2261.89285714,2717.625
2218.39285714,2686.33333333
2192.14285714,2695.0
2199.03571429,2762.66666667
2322.89285714,2936.54166667
2533.85714286,3162.54166667
2802.60714286,3394.91666667
3009.17857143,3599.33333333
3095.35714286,3701.625
3102.96428571,3716.20833333
3084.28571429,3691.95833333
3058.17857143,3671.29166667
3012.46428571,3635.95833333
2966.96428571,3624.08333333
2934.82142857,3701.54166667
2914.32142857,3792.45833333
2910.71428571,3814.45833333
2918.85714286,3776.70833333
2924.35714286,3672.91666667
2884.46428571,3506.0
2754.42857143,3252.91666667
2559.75,3020.25
2364.71428571,2829.79166667
2230.21428571,2709.83333333
2159.67857143,2644.33333333
2124.85714286,2580.0
2098.89285714,2624.125
2100.64285714,2677.625
2184.21428571,2812.41666667
2341.67857143,2981.54166667
2584.5,3177.41666667
2809.71428571,3386.08333333
2924.07142857,3512.375
2948.35714286,3546.375
2940.57142857,3540.66666667
2929.14285714,3533.33333333
2904.39285714,3514.5
2876.71428571,3518.70833333
2866.89285714,3616.16666667
2876.5,3748.41666667
2902.10714286,3801.91666667
2941.25,3783.45833333
2973.60714286,3703.16666667
2938.10714286,3534.91666667
2784.10714286,3259.625
2539.89285714,2990.375
2330.92857143,2804.125
