x1,x2
7706.03571429,10348.125
7546.85714286,10167.875
7490.39285714,10121.45833333
7531.46428571,10218.95833333
7735.0,10587.16666667
8421.57142857,11377.83333333
8944.71428571,11767.875
9209.60714286,11936.95833333
9334.89285714,11930.54166667
9355.39285714,11869.41666667
9352.5,11841.75
9351.14285714,11780.08333333
9264.71428571,11667.625
9199.07142857,11641.33333333
9128.39285714,11680.33333333
9049.42857143,11739.08333333
9013.64285714,11824.79166667
8978.32142857,11862.625
9064.17857143,11923.58333333
9048.17857143,11776.33333333
8758.03571429,11334.875
8808.35714286,11441.54166667
8592.75,11228.79166667
8105.78571429,10782.5
7787.57142857,10469.83333333
7620.64285714,10283.79166667
7555.25,10227.125
7564.46428571,10320.0
7755.10714286,10690.83333333
8367.07142857,11468.54166667
8856.17857143,11840.16666667
9115.46428571,11972.16666667
9233.35714286,11937.5
9262.60714286,11860.66666667
9273.85714286,11827.70833333
9269.21428571,11774.5
9185.92857143,11694.33333333
9131.96428571,11664.625
9106.78571429,11712.0
9063.60714286,11782.5
9082.39285714,11881.75
9061.32142857,11964.95833333
9162.35714286,12035.41666667
9139.0,11885.08333333
8822.82142857,11384.375
8859.82142857,11437.04166667
8657.57142857,11220.04166667
8176.71428571,10757.33333333
7853.21428571,10441.25
7671.5,10265.25
7603.0,10211.25
7609.25,10310.95833333
7812.67857143,10678.0
8451.5,11455.66666667
8942.5,11806.08333333
9172.46428571,11940.70833333
9276.28571429,11891.58333333
9273.07142857,11797.58333333
9309.17857143,11761.33333333
9323.57142857,11708.83333333
9266.25,11605.25
9209.96428571,11567.91666667
9161.39285714,11624.66666667
9092.5,11725.29166667
9100.21428571,11838.41666667
9094.46428571,11954.875
9211.85714286,12053.83333333
9183.46428571,11878.58333333
8854.39285714,11371.0
8849.0,11408.66666667
8642.10714286,11201.375
8184.53571429,10731.75
7869.25,10424.04166667
7688.46428571,10229.375
7642.67857143,10181.0
7660.46428571,10278.29166667
7865.82142857,10636.875
8498.60714286,11402.41666667
8974.92857143,11791.75
9221.17857143,11911.45833333
9317.21428571,11852.08333333
9315.60714286,11793.41666667
9345.60714286,11754.0
9335.21428571,11692.0
9255.78571429,11594.875
9198.17857143,11564.29166667
9143.64285714,11610.29166667
9095.32142857,11684.875
9089.67857143,11772.0
9051.92857143,11836.66666667
9157.75,11926.16666667
9161.32142857,11779.0
8891.03571429,11339.04166667
8929.67857143,11421.95833333
8702.75,11193.5
8214.67857143,10737.54166667
7901.67857143,10436.79166667
7744.64285714,10276.95833333
7694.53571429,10243.0
7727.17857143,10333.125
7934.32142857,10700.45833333
8571.5,11455.58333333
9054.35714286,11841.08333333
9299.35714286,12003.375
9416.25,11968.125
9403.14285714,11903.25
9418.39285714,11859.70833333
9384.35714286,11778.625
9315.03571429,11695.25
9239.60714286,11635.875
9192.32142857,11680.5
9148.92857143,11760.41666667
9112.21428571,11849.41666667
9091.96428571,11926.0
9158.17857143,11979.95833333
9092.10714286,11797.45833333
8788.67857143,11336.58333333
8832.17857143,11413.45833333
8612.14285714,11184.16666667
8147.71428571,10725.875
7822.32142857,10401.75
7640.64285714,10191.91666667
7562.85714286,10099.54166667
7541.0,10122.0
7558.35714286,10242.625
7726.25,10494.70833333
7875.42857143,10589.16666667
8106.78571429,10827.83333333
8313.75,10954.125
8419.85714286,11039.45833333
8460.78571429,11046.625
8442.42857143,10985.66666667
8402.28571429,10934.125
8352.92857143,10906.5
8369.03571429,11046.375
8442.60714286,11286.29166667
8547.17857143,11548.29166667
8656.71428571,11777.25
8753.96428571,11759.375
8661.35714286,11459.16666667
8410.5,11047.125
8539.67857143,11202.95833333
8401.75,11053.125
8000.96428571,10643.45833333
7678.57142857,10304.66666667
7492.17857143,10092.54166667
7415.57142857,10003.29166667
7374.14285714,10002.66666667
7358.28571429,10081.83333333
7444.5,10242.25
7525.5,10242.41666667
7720.03571429,10445.70833333
7929.92857143,10588.45833333
8095.14285714,10748.41666667
8182.57142857,10813.125
8183.57142857,10789.0
8126.39285714,10713.79166667
8086.14285714,10670.70833333
8089.82142857,10768.0
8126.35714286,10952.16666667
8202.07142857,11161.375
8329.75,11338.70833333
8491.21428571,11418.25
8475.28571429,11273.16666667
8269.96428571,10911.91666667
8471.42857143,11171.33333333
8370.57142857,11060.95833333
7967.85714286,10685.54166667
