x1,x2
11638.92857143,16861.58333333
11352.75,16543.70833333
11241.89285714,16430.20833333
11231.03571429,16434.45833333
11260.60714286,16577.33333333
11552.75,17147.54166667
12585.64285714,18501.91666667
13712.78571429,19927.20833333
14105.39285714,20380.91666667
14091.21428571,20297.54166667
14076.14285714,20173.41666667
13961.92857143,20008.33333333
13894.14285714,19800.625
13828.28571429,19670.79166667
13790.14285714,19663.125
13755.28571429,19738.29166667
13749.5,19901.0
13666.46428571,19881.25
13565.25,19773.08333333
13581.39285714,19619.33333333
13560.85714286,19381.83333333
13427.42857143,18981.79166667
13068.21428571,18356.45833333
12449.89285714,17621.375
11928.32142857,17069.29166667
11605.64285714,16741.04166667
11442.64285714,16651.66666667
11424.5,16660.16666667
11438.57142857,16833.41666667
11711.0,17391.625
12731.03571429,18742.41666667
13828.85714286,20179.58333333
14157.17857143,20507.625
14148.71428571,20349.70833333
14127.10714286,20197.25
14145.75,19997.79166667
14035.64285714,19799.95833333
14002.25,19688.41666667
13904.85714286,19690.875
13821.03571429,19817.91666667
13840.32142857,20036.83333333
13767.60714286,20058.375
13695.92857143,19954.08333333
13672.35714286,19812.625
13626.28571429,19623.875
13480.07142857,19198.125
13137.82142857,18539.375
12530.0,17754.83333333
11932.82142857,17227.625
11577.96428571,16895.29166667
11425.82142857,16746.08333333
11357.25,16745.83333333
11331.92857143,16866.33333333
11628.42857143,17364.75
12766.46428571,18742.75
13929.32142857,20205.41666667
14213.07142857,20527.875
14147.57142857,20364.0
14076.53571429,20176.875
13960.64285714,19969.0
13859.71428571,19779.08333333
13765.07142857,19640.29166667
13694.71428571,19721.66666667
13620.5,19806.41666667
13620.25,19980.83333333
13553.57142857,20005.04166667
13558.60714286,19838.54166667
13564.25,19682.16666667
13518.17857143,19424.45833333
13378.64285714,18992.83333333
13018.25,18370.375
12347.39285714,17623.20833333
11841.89285714,17125.20833333
11434.89285714,16747.79166667
11267.85714286,16585.70833333
11224.03571429,16570.04166667
11272.85714286,16702.20833333
11602.14285714,17193.875
12674.60714286,18517.25
13762.03571429,19965.70833333
14163.03571429,20321.70833333
14165.42857143,20166.5
14084.46428571,19974.16666667
13917.60714286,19732.54166667
13775.17857143,19584.70833333
13720.07142857,19490.16666667
13676.57142857,19485.125
13651.03571429,19561.29166667
13664.64285714,19818.66666667
13659.71428571,19841.70833333
13592.53571429,19756.20833333
13591.35714286,19599.83333333
13524.92857143,19344.45833333
13346.35714286,18964.83333333
12975.57142857,18374.33333333
12325.0,17617.33333333
11883.32142857,17080.375
11498.57142857,16772.5
11334.5,16633.29166667
11296.32142857,16650.20833333
11334.35714286,16761.08333333
11654.57142857,17282.875
12677.71428571,18596.83333333
13853.10714286,20021.04166667
14226.85714286,20468.75
14267.17857143,20376.79166667
14229.71428571,20223.45833333
14036.96428571,19957.375
13827.78571429,19736.625
13697.57142857,19567.875
13540.78571429,19524.125
13392.32142857,19515.125
13347.57142857,19632.125
13261.42857143,19684.29166667
13290.89285714,19676.08333333
13258.64285714,19474.125
13063.25,19096.0
12860.39285714,18615.41666667
12592.82142857,18123.75
12175.57142857,17594.54166667
11828.5,17107.375
11448.89285714,16785.20833333
11261.17857143,16611.75
11169.21428571,16548.0
11132.42857143,16604.95833333
11143.60714286,16763.83333333
11341.75,17104.33333333
11735.0,17608.41666667
12273.46428571,18285.20833333
12761.32142857,18833.70833333
12991.32142857,19127.83333333
12926.92857143,19037.79166667
12737.39285714,18865.625
12605.5,18675.875
12475.39285714,18554.16666667
12404.42857143,18628.58333333
12434.39285714,18883.66666667
12563.96428571,19127.875
12690.17857143,19198.29166667
12705.14285714,18928.75
12589.32142857,18543.20833333
12415.14285714,18155.95833333
12181.82142857,17780.20833333
11894.46428571,17363.58333333
11605.28571429,16942.375
11334.21428571,16644.66666667
11177.71428571,16484.29166667
11089.82142857,16446.70833333
11037.78571429,16470.75
11050.42857143,16571.58333333
11129.89285714,16879.875
11363.64285714,17167.58333333
11731.89285714,17639.70833333
12126.35714286,18132.95833333
12400.42857143,18446.91666667
12449.89285714,18452.25
12410.42857143,18306.16666667
12338.92857143,18244.83333333
12300.17857143,18245.45833333
12306.17857143,18402.70833333
12328.07142857,18669.375
12433.82142857,18819.41666667
12561.71428571,18887.04166667
12666.75,18837.45833333
12737.0,18727.54166667
12690.71428571,18431.0
12469.85714286,17969.625
12018.78571429,17392.33333333
