x1,x2
11357.32142857,16272.83333333
11161.71428571,16088.70833333
11085.96428571,16067.95833333
11040.28571429,16112.58333333
11139.78571429,16413.75
11667.25,17171.5
13177.60714286,19035.79166667
14648.46428571,20446.08333333
15280.28571429,20785.33333333
15375.42857143,20737.79166667
15476.17857143,20770.70833333
15445.25,20702.5
15319.07142857,20489.875
15185.10714286,20328.83333333
15061.53571429,20241.83333333
15009.42857143,20465.66666667
14859.57142857,20682.625
14993.5,20993.79166667
14828.42857143,20885.41666667
14678.03571429,20517.875
14380.5,19846.08333333
13914.92857143,19020.875
13179.57142857,18045.91666667
12439.67857143,17199.625
11678.17857143,16622.45833333
11460.14285714,16401.08333333
11356.67857143,16282.54166667
11291.57142857,16313.33333333
11260.60714286,16601.0
11726.39285714,17394.58333333
13130.82142857,19238.625
14492.35714286,20685.0
15064.46428571,20886.20833333
15209.28571429,20854.625
15257.75,20853.75
15257.39285714,20672.16666667
15151.07142857,20415.70833333
15035.78571429,20281.5
14882.14285714,20277.875
14816.0,20530.54166667
14666.60714286,20785.125
14779.78571429,21155.08333333
14654.75,21033.45833333
14533.0,20718.29166667
14316.60714286,20130.875
13836.07142857,19320.70833333
13153.14285714,18242.29166667
12378.82142857,17390.33333333
11702.46428571,16727.0
11489.67857143,16533.95833333
11354.32142857,16446.58333333
11331.57142857,16471.5
11373.67857143,16745.20833333
11820.07142857,17523.33333333
13240.28571429,19470.125
14661.89285714,20977.0
15200.21428571,21140.58333333
15350.89285714,20624.875
15430.78571429,20930.375
15344.89285714,20703.625
15214.14285714,20440.875
15050.42857143,20358.33333333
14878.5,20312.95833333
14811.07142857,20561.29166667
14664.53571429,20757.58333333
14771.78571429,21081.91666667
14691.03571429,20907.08333333
14572.42857143,20478.0
14302.89285714,19925.875
13811.85714286,19047.91666667
13102.57142857,18056.375
12409.96428571,17136.20833333
11738.10714286,16538.125
11482.89285714,16340.375
11396.25,16257.04166667
11361.64285714,16235.95833333
11356.39285714,16442.25
11781.03571429,17201.54166667
13238.53571429,19071.29166667
14609.28571429,20652.875
15107.71428571,20787.95833333
15183.07142857,20665.83333333
15184.39285714,20692.625
15146.21428571,20515.75
15025.32142857,20362.25
14894.57142857,20236.66666667
14754.53571429,20217.04166667
14714.82142857,20482.45833333
14558.14285714,20697.54166667
14662.75,20968.41666667
14526.82142857,20821.58333333
14410.53571429,20513.83333333
14198.92857143,19880.08333333
13702.10714286,19069.25
13013.28571429,18072.5
12254.75,17173.04166667
11671.35714286,16560.29166667
11427.5,16305.08333333
11322.82142857,16216.75
11275.67857143,16259.08333333
11303.57142857,16537.625
11766.17857143,17337.16666667
13129.64285714,19166.08333333
14521.78571429,20665.0
15048.10714286,20122.41666667
15202.92857143,20914.75
15234.67857143,20908.45833333
15093.10714286,20702.66666667
14884.89285714,20441.625
14598.32142857,20145.20833333
14306.85714286,19922.16666667
14080.17857143,19984.875
13964.42857143,20180.125
14025.07142857,20488.91666667
13932.46428571,20317.16666667
13723.60714286,19796.29166667
13352.10714286,19047.875
12948.5,18289.33333333
12491.71428571,17544.20833333
11986.14285714,16919.58333333
11381.17857143,16339.25
11123.42857143,16081.625
10970.46428571,15972.95833333
10866.39285714,15946.75
10778.67857143,16052.33333333
10779.0,16241.91666667
11063.07142857,16765.16666667
11600.35714286,17412.91666667
12332.85714286,18110.79166667
12913.67857143,18640.95833333
13129.82142857,18857.08333333
13140.28571429,18842.125
13015.25,18685.125
12808.71428571,18471.08333333
12644.96428571,18351.125
12571.21428571,18578.58333333
12609.32142857,19009.33333333
12849.21428571,19373.25
12976.71428571,19287.25
12823.03571429,18887.54166667
12648.89285714,18366.5
12354.75,17787.41666667
11979.89285714,17175.79166667
11573.28571429,15970.66666667
11074.78571429,16118.375
10816.92857143,15903.83333333
10674.21428571,15774.66666667
10575.42857143,15771.25
10524.03571429,15852.95833333
10515.17857143,16035.0
10710.75,16404.08333333
11130.96428571,16858.70833333
11791.89285714,17393.375
12384.25,18033.45833333
12753.5,18372.54166667
12878.57142857,18539.125
12837.17857143,18480.29166667
12753.35714286,18304.875
12648.21428571,18280.625
12552.10714286,18513.79166667
12693.71428571,19052.04166667
13006.03571429,19503.29166667
13188.10714286,19588.29166667
13279.57142857,19405.41666667
13154.46428571,18943.29166667
12811.10714286,18219.95833333
12326.5,17479.33333333
11719.71428571,16779.75
