x1,x2
0.0,0.0
0.0,0.0
8.4e-5,0.0
0.00644451,0.0
0.04693003,6.8e-7
0.12442995,0.00048755
0.25000699,0.01657265
0.36913502,0.06402167
0.48642141,0.14135479
0.57235973,0.21637179
0.61983467,0.27056987
0.6239689,0.29560041
0.59261454,0.27999659
0.52836959,0.23558251
0.438079,0.16844422
0.33452631,0.08616288
0.22147541,0.03091703
0.12274379,0.00599199
0.05339398,3.046e-5
0.00862638,0.0
3.168e-5,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.00010026,0.0
0.0076286,0.0
0.0453387,4.67e-6
0.115229,0.00338996
0.22659965,0.02102445
0.33207212,0.06823145
0.43898864,0.16003658
0.51969749,0.23582509
0.56234939,0.28653357
0.56803249,0.30438006
0.5443653,0.29173811
0.49403064,0.24246977
0.42038326,0.17095227
0.32457101,0.08765546
0.21832215,0.03130358
0.12080188,0.00635151
0.05406032,4.012e-5
0.00884724,0.0
3.461e-5,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.00011828,0.0
0.00893544,0.0
0.0521783,4.88e-6
0.12869075,0.00286487
0.25248728,0.02062677
0.37073959,0.07525297
0.48543192,0.17083465
0.57527442,0.25279749
0.61810146,0.30311663
0.62261218,0.31452388
0.58879678,0.29202704
0.52680801,0.24293166
0.44654066,0.16924643
0.34313894,0.0847291
0.22833012,0.03049423
0.12803639,0.00613448
0.05612611,5.127e-5
0.00868567,0.0
3.264e-5,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
9.426e-5,0.0
0.00756734,0.0
0.04872576,1.144e-5
0.12761254,0.00359847
0.25525374,0.01938636
0.37290455,0.06509527
0.49067583,0.13634147
0.58719548,0.19588991
0.63675233,0.23477022
0.64626807,0.25193354
0.61822516,0.23776876
0.55717839,0.19833649
0.46737793,0.13736074
0.36263127,0.06970113
0.2418701,0.02994497
0.13124218,0.00649872
0.05748544,5.562e-5
0.00957735,0.0
3.424e-5,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
9.219e-5,0.0
0.007709,0.0
0.05224422,1.088e-5
0.13392746,0.00158725
0.26018086,0.01946355
0.37576612,0.06846469
0.48706977,0.14479263
0.57665992,0.20942192
0.62645265,0.25517833
0.63162033,0.27616113
0.60675118,0.26329654
0.54409887,0.2272334
0.46326797,0.16489108
0.35447273,0.09381407
0.23245047,0.04306685
0.12675366,0.00937067
0.05608013,9.778e-5
0.00903855,0.0
3.618e-5,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.00010742,0.0
0.00769549,0.0
0.04972421,1.993e-5
0.12388181,0.00506862
0.24296142,0.02761776
0.35264888,0.07629652
0.4664016,0.15752937
0.54647318,0.22906581
0.5925859,0.2792067
0.60026465,0.29977877
0.5787436,0.28018775
0.52308645,0.23338153
0.44664198,0.16752437
0.34364763,0.0902772
0.23071298,0.0407131
0.12909977,0.00900382
0.05647392,0.00010708
0.00964849,0.0
3.581e-5,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
9.289e-5,0.0
0.00759424,0.0
0.05025415,2.807e-5
0.1253667,0.00438311
0.24724623,0.02856227
0.37215197,0.08286123
0.49060168,0.15917046
0.57594663,0.2310652
0.62246062,0.27508593
0.62661567,0.29387652
0.59845456,0.27781931
0.53195964,0.23910574
0.44636086,0.17519857
0.3463455,0.10212208
0.23020669,0.04734079
0.12950207,0.01031175
0.05860289,0.00011819
0.00868125,0.0
2.986e-5,0.0
0.0,0.0
0.0,0.0
0.0,0.0
