x1,x2
0.00037222,-0.0
0.00089678,-0.0
0.00314864,-0.0
0.01123711,-0.0
0.03822489,4.19e-6
0.07559294,0.00036784
0.13597138,0.00888921
0.2094551,0.02697068
0.29527147,0.06575943
0.37061461,0.1263796
0.43367069,0.19536585
0.46129211,0.24071954
0.47075597,0.26000972
0.44917626,0.24720595
0.40449804,0.19376789
0.34646818,0.12980928
0.27516324,0.07169571
0.19471668,0.02989352
0.12047389,0.00461489
0.07316986,8.62e-6
0.03565568,-0.0
0.00497065,-0.0
0.00063296,-0.0
0.00025026,-0.0
0.00036645,-0.0
0.00114454,-0.0
0.00361736,-0.0
0.01266643,-0.0
0.04749205,4.17e-6
0.09226804,0.00040072
0.1626771,0.00692721
0.25229367,0.02805297
0.34488728,0.07144662
0.42488554,0.13871779
0.47680274,0.21683164
0.50163883,0.27425528
0.50177986,0.28894375
0.47721082,0.26738616
0.42896908,0.20250667
0.3644348,0.13055282
0.28751889,0.0656784
0.21056614,0.02472683
0.13442525,0.00242709
0.07879834,6.0e-6
0.03881252,-0.0
0.00592294,-0.0
0.00079549,-0.0
0.00028603,-0.0
0.00038881,-0.0
0.00106174,-0.0
0.00386975,-0.0
0.0148418,0.0
0.05062697,5.25e-6
0.08914552,0.00036063
0.15699909,0.00483213
0.24476611,0.02308511
0.34052877,0.06054733
0.42002408,0.11298264
0.4723652,0.17429734
0.50159774,0.22517698
0.4955691,0.23573873
0.46535476,0.21824372
0.41667907,0.17041871
0.34987552,0.11802218
0.27789983,0.0659739
0.19441336,0.02397444
0.12312195,0.00443748
0.07122242,1.309e-5
0.03599915,-0.0
0.00544147,-0.0
0.0006867,-0.0
0.00026896,-0.0
0.00040254,-0.0
0.00116783,-0.0
0.00392852,-0.0
0.0143783,0.0
0.04697861,6.46e-6
0.08424366,0.00039807
0.14928133,0.00721102
0.23252293,0.02931689
0.32617812,0.07219695
0.40592779,0.12720317
0.45877827,0.18995426
0.48154412,0.23556662
0.4774663,0.24764191
0.45699377,0.22650753
0.41414571,0.18021592
0.35040616,0.12265026
0.27962585,0.07184598
0.19847819,0.02683548
0.12561714,0.00425405
0.07157173,2.075e-5
0.03630586,-0.0
0.00484439,-0.0
0.00072274,-0.0
0.00030898,-0.0
0.00045869,-0.0
0.00118458,-0.0
0.00362509,-0.0
0.01279513,2.0e-8
0.04512669,1.006e-5
0.08139659,0.00032045
0.14530805,0.00874032
0.22885053,0.03460591
0.32020626,0.07935985
0.40338884,0.14143586
0.45582533,0.21653342
0.48460406,0.2687428
0.48773693,0.28384801
0.463378,0.26093636
0.4172058,0.20246583
0.35199031,0.12883056
0.27762945,0.06972937
0.19665759,0.03294007
0.12386564,0.00619379
0.07054628,3.184e-5
0.03539377,-0.0
0.00422451,-0.0
0.00046082,-0.0
0.00019546,-0.0
0.00028606,-0.0
0.00083597,-0.0
0.00277978,-0.0
0.01191957,5.0e-8
0.04546515,1.848e-5
0.08493618,0.00079529
0.15470425,0.00831571
0.24306571,0.02803539
0.33224356,0.06697221
0.40277419,0.13066697
0.46423108,0.20452691
0.49501694,0.25841079
0.49633276,0.27137198
0.47250375,0.24843627
0.43034508,0.19364139
0.36625469,0.12349432
0.29044947,0.0662112
0.20446879,0.03230374
0.12557788,0.00539807
0.07091784,3.63e-5
0.03395615,-0.0
0.00469215,-0.0
0.00040528,-0.0
0.00013794,-0.0
0.00020702,-0.0
0.00072317,-0.0
0.00339108,-0.0
0.01376114,8.0e-8
0.04308828,2.377e-5
0.07908893,0.00142956
0.13873443,0.01138813
0.22667728,0.0386204
0.31608845,0.07862989
0.39133205,0.13928221
0.44367223,0.21103136
0.47421226,0.26772369
0.47350001,0.27951757
0.44647811,0.25224987
0.40017401,0.19340249
0.33704004,0.12122269
0.25944605,0.06004849
0.18316223,0.02677599
0.11421605,0.00508574
0.06492828,3.7e-5
0.02839611,-0.0
0.00360422,-0.0
0.00050584,-0.0
0.00024083,-0.0
