x1,x2,x3
2280.35,2719.09090909,2299.4
2223.45,2661.59090909,2248.2
2196.8,2647.40909091,2223.2
2193.6,2684.72727273,2234.5
2281.35,2842.04545455,2342.0
2656.35,3303.68181818,2713.5
3066.9,3759.27272727,3090.0
3430.05,4078.95454545,3429.1
3594.45,4206.95454545,3602.4
3622.6,4223.18181818,3631.1
3614.1,4204.22727273,3621.0
3562.0,4136.36363636,3565.9
3612.65,4180.68181818,3609.5
3573.65,4150.27272727,3570.7
3519.85,4138.54545455,3517.3
3435.85,4166.59090909,3445.6
3341.15,4187.13636364,3358.2
3283.25,4179.31818182,3341.6
3228.0,4092.0,3371.5
3205.8,3951.09090909,3387.3
3160.35,3730.04545455,3257.2
2983.6,3398.72727273,2987.6
2711.65,3096.54545455,2691.9
2471.3,2844.09090909,2475.0
2300.1,2742.86363636,2324.8
2239.0,2683.18181818,2268.8
2217.95,2665.22727273,2249.9
2213.1,2699.5,2269.7
2300.65,2845.95454545,2380.3
2659.75,3293.04545455,2784.1
3049.2,3745.36363636,3199.1
3403.8,4059.18181818,3549.1
3566.25,4190.90909091,3701.4
3600.4,4186.22727273,3718.4
3593.3,4182.5,3698.9
3540.85,4111.77272727,3640.9
3597.7,4158.13636364,3692.1
3557.75,4123.72727273,3661.0
3508.9,4112.81818182,3618.3
3430.2,4151.5,3537.7
3338.95,4175.77272727,3446.6
3290.0,4173.54545455,3427.0
3236.45,4098.54545455,3452.1
3223.35,3962.40909091,3462.6
3176.15,3736.68181818,3325.6
2992.5,3405.77272727,3038.8
2715.35,3095.0,2730.8
2480.25,2893.77272727,2506.1
2354.5,2781.18181818,2384.0
2299.8,2721.04545455,2320.7
2279.85,2702.36363636,2296.7
2265.25,2733.18181818,2313.0
2340.1,2874.40909091,2413.1
2690.1,3309.0,2794.8
3102.9,3751.59090909,3188.0
3455.05,4042.45454545,3509.1
3600.7,4164.81818182,3647.9
3629.5,4184.13636364,3664.3
3613.65,4156.86363636,3635.7
3566.9,4092.72727273,3576.4
3615.35,4132.77272727,3632.4
3580.7,4098.90909091,3596.9
3543.1,4095.36363636,3550.8
3466.7,4128.59090909,3480.1
3373.05,4156.90909091,3389.0
3319.2,4159.86363636,3377.1
3263.3,4086.77272727,3410.5
3245.95,3955.81818182,3417.2
3194.85,3735.59090909,3285.5
3010.6,3415.27272727,3007.3
2726.3,3112.36363636,2703.1
2492.1,2897.09090909,2502.7
2361.4,2784.63636364,2385.8
2293.85,2727.5,2319.3
2266.5,2711.04545455,2296.8
2259.65,2748.77272727,2312.9
2343.75,2898.95454545,2424.9
2707.1,3362.09090909,2823.8
3125.4,3836.68181818,3237.2
3471.35,4156.63636364,3574.7
3631.3,4274.31818182,3717.6
3650.75,4281.5,3728.1
3637.45,4258.36363636,3709.4
3580.2,4180.31818182,3641.8
3640.9,4232.31818182,3698.6
3600.7,4198.13636364,3664.0
3555.9,4193.0,3613.2
3470.65,4217.95454545,3532.4
3368.8,4232.63636364,3431.4
3318.3,4230.45454545,3422.8
3260.65,4147.45454545,3451.8
