x1,x2,x3
2820.1,3224.40909091,2773.3
2727.65,3134.40909091,2671.4
2685.2,3092.59090909,2635.0
2692.35,3108.13636364,2644.6
2724.35,3190.36363636,2703.9
2892.7,3423.04545455,2925.8
3382.15,4032.04545455,3462.9
3908.1,4633.54545455,3967.8
4177.15,4840.86363636,4220.7
4271.6,4860.77272727,4296.3
4357.2,4934.68181818,4376.4
4357.65,4909.86363636,4411.7
4299.8,4822.59090909,4346.1
4323.2,4826.45454545,4353.1
4252.2,4791.59090909,4276.9
4136.9,4717.77272727,4149.7
4101.5,4862.86363636,4115.1
4281.6,5227.59090909,4361.0
4204.6,5090.18181818,4312.4
3982.0,4774.0,4162.9
3810.45,4473.04545455,3971.3
3649.5,4198.0,3706.9
3444.0,3866.63636364,3418.4
3163.05,3573.18181818,3139.5
2959.95,3382.72727273,2961.4
2848.2,3285.63636364,2855.7
2796.25,3232.36363636,2804.0
2799.15,3244.31818182,2813.7
2840.25,3320.31818182,2875.7
2998.7,3563.27272727,3082.4
3461.0,4163.77272727,3632.4
3966.7,4771.59090909,4163.2
4210.4,4956.40909091,4414.1
4251.05,4967.90909091,4504.3
4335.35,5043.40909091,4612.4
4335.6,4993.36363636,4580.6
4293.5,4894.13636364,4600.4
4309.4,5004.13636364,4541.3
4239.8,4836.0,4429.7
4117.65,4730.40909091,4296.1
4107.05,4862.22727273,4272.2
4292.45,5211.31818182,4494.5
4201.05,5107.63636364,4418.5
3997.8,4819.36363636,4243.7
3838.8,4513.40909091,4035.2
3695.65,4218.63636364,3792.5
3490.3,3895.54545455,3505.9
3216.45,3591.0,3197.6
2999.65,3402.31818182,2979.4
2890.5,3288.27272727,2866.6
2844.4,3238.13636364,2816.3
2843.4,3256.36363636,2839.4
2878.9,3340.13636364,2897.9
3050.95,3593.09090909,3114.2
3530.55,4192.68181818,3677.7
4050.2,4791.0,4210.9
4308.4,4981.95454545,4403.5
4382.35,5077.13636364,4432.4
4490.05,5040.13636364,4513.2
4499.65,5013.59090909,4515.9
4430.7,4923.5,4457.4
4435.3,4913.81818182,4491.3
4351.05,4835.13636364,4412.2
4221.75,4767.86363636,4275.7
4179.3,4887.59090909,4259.1
4319.05,5230.31818182,4473.2
4223.55,5130.95454545,4385.3
4015.1,4829.45454545,4216.3
3844.1,4535.13636364,4059.5
3705.1,4247.22727273,3807.5
3510.35,3908.95454545,3498.9
3243.2,3589.86363636,3190.6
3019.6,3389.04545455,2976.2
2887.65,3282.31818182,2852.1
2829.95,3235.31818182,2799.4
2836.05,3245.0,2786.4
2864.65,3315.72727273,2833.6
3015.35,3565.09090909,3064.9
3471.85,4183.81818182,3611.1
3962.55,4806.31818182,4155.4
4216.85,5004.77272727,4401.4
4300.5,5117.86363636,4472.4
4392.75,5067.27272727,4549.4
4391.55,5028.72727273,4508.2
4315.4,4930.5,4445.9
4351.8,4921.86363636,4458.7
4280.0,4858.77272727,4378.1
4161.35,4781.77272727,4254.2
4115.5,4899.68181818,4227.6
4251.9,5227.22727273,4393.6
4192.8,5119.04545455,4336.2
4014.15,4828.36363636,4191.3
3842.6,4536.09090909,4008.9
3679.05,4239.40909091,3778.6
3481.45,3900.90909091,3473.4
3206.7,3587.81818182,3194.4
2996.3,3385.86363636,2999.7
2875.7,3276.31818182,2902.4
2824.15,3222.72727273,2852.1
2809.85,3229.68181818,2847.6
2837.5,3303.22727273,2898.2
2978.9,3549.77272727,3114.3
3390.2,4158.63636364,3634.3
3861.05,4761.90909091,4153.7
4138.5,4972.45454545,4365.5
4220.1,4988.22727273,4403.6
4286.25,5026.90909091,4476.4
4254.3,4963.63636364,4445.9
4142.75,4817.18181818,4323.8
4063.85,4725.22727273,4220.4
3929.35,4590.72727273,4054.3
3814.6,4517.45454545,3938.8
3820.85,4670.81818182,3942.3
3945.35,4968.77272727,4108.0
3899.15,4889.40909091,4115.3
3693.4,4563.63636364,3922.5
3533.15,4265.90909091,3689.0
3418.4,3996.95454545,3488.7
3270.15,3734.31818182,3275.7
3057.7,3500.45454545,3027.1
2855.75,3296.95454545,2818.2
2719.9,3157.31818182,2696.9
2657.75,3094.09090909,2625.4
2630.95,3077.72727273,2599.4
2613.8,3100.09090909,2600.0
2625.65,3181.68181818,2646.9
2753.55,3370.5,2799.6
3025.25,3669.77272727,3053.7
3319.15,3974.68181818,3331.8
3512.25,4161.27272727,3521.5
3587.6,4262.22727273,3621.9
3572.55,4241.40909091,3623.7
3521.95,4182.0,3616.6
3480.55,4135.5,3553.6
3432.7,4104.72727273,3505.7
3394.55,4112.59090909,3474.2
3438.6,4298.77272727,3533.5
3622.4,4653.0,3752.2
3632.45,4631.95454545,3789.0
3475.65,4336.40909091,3608.8
3354.0,4072.90909091,3440.5
3268.0,3852.13636364,3280.9
3142.4,3636.0,3099.7
2953.25,3426.36363636,2896.9
2769.45,3241.77272727,2725.4
2644.15,3119.86363636,2613.1
2581.95,3061.31818182,2538.2
2559.1,3043.0,2503.0
2533.6,3058.31818182,2506.1
2528.5,3120.0,2556.4
2622.55,3284.59090909,2683.1
2851.4,3526.04545455,2889.3
3147.15,3805.86363636,3158.0
3346.9,4002.68181818,3352.2
3444.7,4114.18181818,3462.0
3470.9,4121.86363636,3481.1
3457.55,4082.09090909,3461.2
3422.75,4037.72727273,3452.4
3395.6,4027.27272727,3429.6
3373.15,4056.40909091,3419.4
3443.45,4261.63636364,3498.4
3698.5,4686.36363636,3811.7
3721.85,4659.77272727,3892.9
3566.75,4396.04545455,3761.8
3438.25,4125.27272727,3596.4
3322.3,3881.68181818,3387.1
3171.0,3615.54545455,3136.3
2966.15,3379.90909091,2910.0
