x1,x2,x3
7787.1,10368.22727273,8028.1
7627.35,10185.95454545,7870.3
7564.7,10134.0,7840.4
7587.8,10231.90909091,7927.8
7776.9,10608.09090909,8175.6
8428.65,11423.45454545,8898.3
8946.3,11841.31818182,9344.6
9221.9,12001.54545455,9588.4
9352.5,11983.04545455,9703.3
9365.85,11918.04545455,9730.3
9368.95,11892.63636364,9705.5
9364.15,11834.72727273,9690.7
9265.8,11728.18181818,9609.9
9199.35,11712.59090909,9530.2
9131.7,11764.13636364,9447.8
9044.5,11830.31818182,9396.5
8995.85,11916.36363636,9410.0
8928.2,11951.13636364,9460.7
8975.2,12008.59090909,9627.0
8971.75,11820.09090909,9650.4
8750.15,11356.09090909,9242.5
8832.5,11463.04545455,9239.4
8654.4,11239.90909091,8972.2
8183.3,10786.27272727,8477.8
7871.15,10471.59090909,8153.0
7702.95,10287.04545455,7981.5
7633.05,10226.27272727,7935.9
7624.9,10311.5,8013.4
7807.5,10673.5,8275.6
8388.3,11458.36363636,8967.3
8871.05,11834.04545455,9436.7
9150.75,11965.40909091,9631.1
9268.4,11939.59090909,9699.5
9300.6,11866.5,9693.4
9308.5,11835.09090909,9699.1
9303.45,11789.22727273,9669.4
9220.0,11714.54545455,9575.0
9173.35,11692.45454545,9494.5
9146.4,11752.31818182,9459.9
9090.35,11842.13636364,9422.7
9094.15,11956.04545455,9455.3
9038.0,12044.40909091,9513.9
9105.5,12103.22727273,9701.5
9110.4,11912.54545455,9685.0
8849.1,11380.59090909,9290.9
8914.1,11440.31818182,9259.5
8752.15,11214.31818182,8993.5
8290.7,10741.5,8499.7
7971.1,10423.22727273,8174.7
7782.9,10245.22727273,8011.5
7710.9,10185.54545455,7965.4
7699.8,10280.68181818,8035.1
7889.05,10642.22727273,8311.7
8500.4,11428.36363636,9014.6
8989.4,11787.72727273,9461.8
9229.25,11927.54545455,9641.5
9333.3,11884.59090909,9700.7
9311.3,11800.95454545,9694.1
9333.45,11778.40909091,9713.5
9342.8,11733.36363636,9708.2
9283.25,11641.13636364,9621.1
9224.0,11609.86363636,9561.2
9179.45,11680.13636364,9495.9
9109.05,11793.86363636,9435.1
9114.25,11912.04545455,9457.8
9082.85,12029.72727273,9525.1
9154.6,12125.59090909,9736.9
9133.55,11911.77272727,9749.3
8866.9,11379.77272727,9313.4
8888.2,11426.68181818,9242.9
8716.7,11215.63636364,8973.4
8276.25,10742.68181818,8486.5
7955.0,10436.90909091,8180.4
7772.45,10239.40909091,8006.6
7717.45,10190.27272727,7980.4
7707.7,10289.77272727,8064.3
7897.6,10645.45454545,8337.6
8499.6,11413.27272727,9053.5
8958.7,11807.95454545,9535.1
9217.1,11928.27272727,9730.4
9314.8,11862.22727273,9806.7
9308.75,11811.22727273,9785.7
9336.95,11774.95454545,9798.5
9317.05,11724.68181818,9771.0
9226.35,11641.18181818,9680.6
9168.3,11619.27272727,9610.2
9105.55,11680.54545455,9558.6
9053.9,11769.0,9511.0
9034.35,11866.45454545,9529.0
8970.5,11937.18181818,9550.6
9037.4,12022.18181818,9740.9
9063.2,11838.36363636,9750.5
8853.3,11374.59090909,9377.9
8930.85,11470.36363636,9319.3
8740.65,11239.22727273,9024.5
8257.8,10780.59090909,8538.3
7941.65,10480.45454545,8232.7
7777.2,10319.13636364,8093.2
7724.0,10285.45454545,8051.9
7735.15,10375.18181818,8139.9
