x1,x2,x3
11772.45,16907.77272727,12314.8
11463.3,16581.45454545,12086.8
11317.6,16467.13636364,12046.9
11312.6,16465.95454545,12039.3
11328.1,16607.86363636,12121.8
11591.85,17193.86363636,12491.6
12573.9,18596.5,13584.3
13702.25,20084.40909091,14630.9
14137.4,20523.59090909,14982.6
14152.05,20414.18181818,14954.2
14138.25,20288.09090909,14919.1
14060.05,20131.22727273,14704.6
13976.3,19939.68181818,14605.2
13887.25,19831.40909091,14525.5
13844.75,19834.36363636,14478.8
13787.0,19935.45454545,14454.7
13770.1,20131.59090909,14431.3
13685.5,20104.95454545,14379.2
13561.7,19981.90909091,14354.5
13550.35,19786.68181818,14482.9
13554.35,19488.77272727,14502.8
13470.4,19063.04545455,14273.6
13134.35,18418.04545455,13858.1
12556.95,17656.81818182,13192.1
12054.75,17089.63636364,12658.9
11724.65,16751.18181818,12372.4
11554.1,16655.68181818,12252.7
11532.5,16658.59090909,12259.1
11524.65,16829.40909091,12354.2
11789.15,17379.81818182,12716.8
12782.05,18732.31818182,13853.5
13840.75,20191.13636364,15049.8
14171.1,20514.18181818,15385.0
14215.3,20358.04545455,15237.4
14194.4,20219.13636364,15158.4
14251.8,20032.45454545,15027.8
14134.5,19861.90909091,14854.5
14076.85,19770.86363636,14808.9
13935.1,19784.45454545,14795.7
13826.9,19940.27272727,14739.5
13846.8,20187.27272727,14735.7
13760.35,20210.72727273,14705.1
13684.8,20088.31818182,14674.5
13676.1,19921.81818182,14652.7
13680.15,19685.40909091,14582.7
13557.0,19240.31818182,14377.0
13268.1,18570.54545455,13889.0
12707.0,17760.54545455,13208.4
12068.65,17239.09090909,12694.9
11711.25,16903.22727273,12357.4
11551.6,16747.95454545,12234.2
11476.1,16743.0,12203.5
11438.25,16860.31818182,12239.4
11734.85,17368.81818182,12553.9
12882.45,18761.27272727,13689.0
14028.6,20259.40909091,14867.2
14353.7,20576.13636364,15088.6
14298.45,20401.81818182,15005.9
14241.3,20226.36363636,14858.2
14094.2,20034.59090909,14750.9
13962.1,19873.40909091,14631.3
13833.65,19746.68181818,14568.9
13734.65,19853.77272727,14529.6
13640.8,19969.04545455,14459.3
13632.2,20171.95454545,14448.0
13542.8,20214.40909091,14404.8
13517.95,20030.13636364,14474.4
13492.9,19843.18181818,14576.3
13498.25,19534.36363636,14497.5
13382.9,19091.59090909,14275.7
13085.75,18445.5,13788.4
12430.6,17681.72727273,13107.4
11949.2,17166.63636364,12592.8
11492.95,16783.95454545,12301.8
11338.9,16621.18181818,12111.3
11287.2,16601.31818182,12098.1
11317.75,16724.27272727,12220.4
11629.25,17228.45454545,12590.2
12650.65,18587.0,13737.6
13667.0,20071.63636364,14959.8
14091.45,20429.68181818,15300.4
14116.15,20261.09090909,15256.1
14032.15,20072.22727273,15151.3
13857.45,19851.72727273,14938.7
13701.95,19721.18181818,14783.3
13623.95,19641.90909091,14732.5
13568.9,19650.77272727,14689.2
13530.55,19761.40909091,14633.8
13534.95,20028.81818182,14692.5
13507.65,20068.0,14702.4
13444.0,19970.31818182,14651.3
13420.1,19786.59090909,14724.7
13374.55,19481.0,14689.2
13236.35,19067.18181818,14464.9
12922.1,18452.72727273,13989.8
12288.4,17669.13636364,13342.7
11920.0,17112.77272727,12778.1
11525.85,16797.81818182,12443.1
11355.1,16654.27272727,12306.9
11326.3,16675.63636364,12251.2
11351.45,16790.31818182,12321.2
11647.5,17326.18181818,12699.1
12640.2,18670.86363636,13773.7
13743.75,20145.40909091,15031.8
14141.1,20606.36363636,15344.0
14222.3,20523.95454545,15255.1
14183.25,20387.31818182,15160.9
13970.1,20137.54545455,14958.4
13717.3,19940.68181818,14781.6
13557.1,19787.81818182,14668.7
13391.15,19766.13636364,14504.3
13255.45,19775.0,14318.9
13173.85,19914.45454545,14330.8
13105.05,19984.22727273,14198.9
13111.3,19973.81818182,14272.1
13042.4,19738.18181818,14353.3
12908.65,19281.5,14170.9
12751.9,18753.86363636,13923.8
12533.5,18239.86363636,13562.2
12141.7,17684.18181818,13129.9
11819.3,17187.22727273,12727.0
11414.4,16852.72727273,12436.6
11245.4,16672.36363636,12229.5
11163.25,16597.59090909,12147.8
11100.45,16653.31818182,12184.5
11103.45,16812.86363636,12240.1
11308.05,17153.86363636,12452.7
11697.3,17667.77272727,12854.5
12233.6,18361.22727273,13388.3
12706.8,18926.04545455,13881.7
12874.0,19244.77272727,14196.0
12776.25,19173.36363636,14152.2
