x1,x2,x3
11563.9,16333.5,11793.8
11364.25,16132.81818182,11645.0
11282.0,16109.40909091,11599.1
11257.45,16147.81818182,11542.9
11327.9,16459.13636364,11718.5
11816.0,17245.22727273,12308.4
13293.15,19162.59090909,13839.2
14742.6,20620.5,15236.0
15485.0,20926.81818182,15660.6
15544.2,20869.90909091,15819.7
15658.2,20898.95454545,15888.9
15603.15,20857.27272727,15840.4
15448.05,20673.86363636,15690.5
15290.75,20528.27272727,15563.8
15191.35,20460.5,15356.9
15133.05,20719.72727273,15294.5
14971.25,20963.45454545,15183.0
15070.45,21275.31818182,15420.3
14867.0,21115.72727273,15456.0
14717.8,20674.27272727,15422.4
14478.4,19914.72727273,15126.8
14104.1,19069.81818182,14450.1
13442.6,18064.86363636,13585.1
12750.6,17196.27272727,12777.2
11937.8,16612.86363636,12168.9
11697.2,16373.18181818,12035.6
11581.35,16231.54545455,12004.7
11517.9,16255.95454545,11969.5
11452.15,16543.5,12072.1
11904.5,17327.90909091,12650.5
13280.0,19156.5,14234.7
14615.85,20635.27272727,15593.3
15186.5,20836.5,16094.1
15369.95,20803.31818182,16129.9
15424.35,20825.59090909,16105.7
15387.05,20701.22727273,16017.1
15239.1,20491.86363636,15860.4
15138.85,20375.18181818,15672.7
14984.2,20386.40909091,15518.4
14883.65,20671.95454545,15512.5
14726.7,20956.90909091,15392.2
14778.4,21335.31818182,15661.1
14592.25,21185.86363636,15720.2
14490.3,20805.90909091,15662.7
14396.5,20161.54545455,15252.2
13965.2,19352.40909091,14605.0
13363.05,18249.31818182,13735.7
12661.3,17389.68181818,12817.6
11962.65,16748.63636364,12139.4
11777.0,16531.04545455,11930.3
11670.25,16437.04545455,11761.9
11643.95,16462.22727273,11755.2
11652.8,16733.04545455,11916.5
12045.3,17514.13636364,12530.5
13407.65,19486.18181818,14116.2
14874.2,20982.77272727,15487.6
15385.65,21164.31818182,15965.2
15112.1,20996.63636364,16065.4
15550.45,20989.27272727,16161.8
15460.75,20781.63636364,16013.3
15294.1,20530.09090909,15903.3
15128.45,20461.13636364,15729.8
14920.85,20429.68181818,15623.9
14824.75,20717.77272727,15589.5
14657.1,20958.22727273,15456.6
14739.6,21310.86363636,15594.5
14601.1,21117.0,15652.3
14495.65,20614.45454545,15606.9
14350.45,19999.0,15171.5
13931.15,19095.86363636,14515.0
13333.75,18089.77272727,13557.5
12681.7,17178.0,12719.8
11947.6,16586.68181818,12172.3
11701.25,16386.45454545,11916.3
11598.5,16300.81818182,11867.6
11521.45,16290.77272727,11896.3
11469.35,16492.22727273,12037.7
11878.25,17259.77272727,12542.6
13279.5,19148.36363636,14153.6
14679.4,20723.45454545,15522.5
15161.85,20837.22727273,16027.1
15246.05,20721.31818182,16031.6
15240.1,20771.72727273,16000.6
15163.55,20611.5,15974.8
15004.5,20479.95454545,15875.4
14904.05,20372.31818182,15645.6
14785.1,20381.5,15424.1
14723.4,20685.90909091,15403.6
14547.75,20931.22727273,15292.7
14609.3,21220.18181818,15476.9
14445.15,21050.68181818,15445.1
14336.35,20686.77272727,15399.1
14209.15,20001.72727273,15047.1
13760.1,19169.09090909,14439.9
13149.05,18147.27272727,13589.1
12408.35,17249.86363636,12762.2
11824.35,16625.31818182,12200.1
11577.2,16358.5,11986.1
11464.5,16254.36363636,11935.5
11412.15,16286.0,11940.2
11422.75,16575.36363636,12029.0
11816.95,17416.63636364,12604.0
13109.9,19317.18181818,14044.0
14470.0,20850.81818182,15445.2
15057.25,20220.0,15830.0
15232.55,21072.54545455,15938.9
15269.1,21084.0,15914.4
15123.3,20907.36363636,15704.3
14926.2,20672.59090909,15405.5
14641.9,20395.36363636,15070.2
14363.85,20195.40909091,14714.8
14158.05,20285.27272727,14444.5
14010.1,20479.54545455,14457.5
14003.2,20800.22727273,14676.7
13852.4,20628.63636364,14684.3
13640.45,20041.36363636,14565.3
13374.95,19198.27272727,14114.7
13052.5,18415.09090909,13532.0
12605.4,17627.86363636,13090.8
12151.95,16988.72727273,12489.1
11489.45,16396.40909091,12030.5
11203.45,16130.68181818,11847.1
11063.7,16010.90909091,11701.0
10968.3,15982.31818182,11600.4
10867.65,16082.81818182,11588.4
10849.5,16281.22727273,11644.1
11114.4,16840.13636364,11935.9
11678.75,17514.09090909,12383.5
12449.5,18235.18181818,12981.5
13007.05,18780.59090909,13565.2
13202.35,19034.36363636,13740.2
13171.35,19056.54545455,13746.8
13031.8,18912.36363636,13616.2
12801.85,18716.77272727,13414.4
12614.85,18625.22727273,13243.4
12506.55,18874.36363636,13251.3
12522.75,19342.04545455,13330.5
12700.45,19707.59090909,13716.0
12766.85,19595.90909091,13979.5
12634.7,19133.90909091,13870.6
12570.05,18542.77272727,13562.3
12366.05,17944.22727273,13073.7
12041.15,17308.13636364,12605.4
10938.45,16759.68181818,11986.6
11171.6,16226.95454545,11651.0
10923.7,16009.77272727,11387.7
10786.35,15877.63636364,11243.5
10696.9,15858.27272727,11180.2
10598.0,15941.77272727,11246.5
10556.8,16119.27272727,11350.5
10759.85,16512.36363636,11513.0
11188.25,16978.86363636,11897.6
11822.6,17540.68181818,12526.7
12397.3,18206.72727273,13106.8
12753.15,18563.40909091,13458.1
12892.65,18757.86363636,13501.3
12863.3,18719.72727273,13386.8
12794.05,18546.45454545,13250.8
12665.45,18530.72727273,13190.0
12558.95,18798.0,13105.5
12624.6,19385.45454545,13370.1
12860.75,19849.77272727,13833.8
12969.55,19920.09090909,14175.3
13065.2,19694.0,14298.6
13065.6,19154.86363636,14024.5
12791.8,18405.59090909,13523.1
12397.35,17662.77272727,12811.8
11744.65,16994.45454545,12209.5
