x1,x2,x3
0.0,0.0,-0.0
0.0,0.0,-0.0
8.166e-5,0.0,7.188e-5
0.00719144,0.0,0.00366175
0.05742255,0.0,0.01656061
0.14817077,9.084e-5,0.05303257
0.27530703,0.01104539,0.16488001
0.38701152,0.05515357,0.29186917
0.4990781,0.13294916,0.41058712
0.58160458,0.20931515,0.49819708
0.62108274,0.26449286,0.56085502
0.62192922,0.28964306,0.57548073
0.58526582,0.27337684,0.55935182
0.52249952,0.22923058,0.49552658
0.43616474,0.16204643,0.4020557
0.342832,0.07681428,0.28880915
0.24231724,0.02259608,0.15998617
0.14158758,0.0020361,0.0704088
0.06142464,2.8e-7,0.02672637
0.01011999,0.0,0.00391389
3.381e-5,0.0,2.11e-5
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.00010693,0.0,6.688e-5
0.00906467,0.0,0.00323073
0.05477397,0.0,0.01741162
0.13489945,9.096e-5,0.0607781
0.24710304,0.00793976,0.17326417
0.34570874,0.05235994,0.28694807
0.44397705,0.14209159,0.41270038
0.51989847,0.21768512,0.502429
0.55948943,0.26945286,0.55048371
0.56502216,0.28803803,0.55727512
0.54301828,0.27652243,0.5300084
0.49895817,0.22792273,0.46586688
0.43205932,0.15596482,0.38011734
0.34364772,0.0728557,0.27159395
0.24901922,0.01959935,0.14527358
0.14533479,0.00180724,0.05884336
0.06359859,4.9e-7,0.02426693
0.01065283,0.0,0.00346661
3.632e-5,0.0,2.428e-5
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.00012665,0.0,7.788e-5
0.01059266,0.0,0.00383391
0.06350106,0.0,0.01910883
0.15458212,9.86e-5,0.05782863
0.28332233,0.00767295,0.17294349
0.39460492,0.05325902,0.31229828
0.50459561,0.14482369,0.44140919
0.58552461,0.22572249,0.54984366
0.62240845,0.27693745,0.6040847
0.62411795,0.29120372,0.60928732
0.58641863,0.2715252,0.57930316
0.52503351,0.22477496,0.5135265
0.44962319,0.15316258,0.42030123
0.35518964,0.07005737,0.2996334
0.25212235,0.01957825,0.16519362
0.14968629,0.0019581,0.06954423
0.06536244,9.2e-7,0.02654926
0.01029095,0.0,0.00373798
3.649e-5,0.0,1.841e-5
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.00011584,0.0,3.226e-5
0.00938473,0.0,0.00241909
0.06009882,0.0,0.01626196
0.15347134,0.0001834,0.05860529
0.28446087,0.00653003,0.17794993
0.39581448,0.04650147,0.3064292
0.50764637,0.11431382,0.43432872
0.59818228,0.1730681,0.53716877
0.6483549,0.21287477,0.58132074
0.6548948,0.23305026,0.59169091
0.62706579,0.22010827,0.56330571
0.57079321,0.18109283,0.49611643
0.48506872,0.12212943,0.39950179
0.38878086,0.05583922,0.28224226
0.27776374,0.01952941,0.15061203
0.16025394,0.00157445,0.05910338
0.07006149,4.2e-7,0.02096882
0.01222989,0.0,0.00235679
3.882e-5,0.0,1.823e-5
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.00011471,0.0,2.871e-5
0.00967948,0.0,0.00222623
0.06456401,0.0,0.01718189
0.15919476,0.00021466,0.05994452
0.29146175,0.00927773,0.17188443
0.40691994,0.05002822,0.29255841
0.51498628,0.12115989,0.41477336
0.60527661,0.1807741,0.50900414
0.65124704,0.22320223,0.57295643
0.65283052,0.24329793,0.59040717
0.62331434,0.23194187,0.57391421
0.56344634,0.19752156,0.50739689
0.48650108,0.13845299,0.41529015
0.38370272,0.07088823,0.29431787
0.26841936,0.0263769,0.15935383
0.15711595,0.00138267,0.06012607
0.0685913,1.04e-6,0.02007414
0.01076474,0.0,0.00377847
3.795e-5,0.0,2.54e-5
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.00011857,0.0,6.364e-5
0.00941197,0.0,0.00272344
0.06282057,0.0,0.0136345
0.15419938,0.00031695,0.0499377
0.27994432,0.01244515,0.15930664
0.39022903,0.05139719,0.27699664
0.50017867,0.12965174,0.39840379
0.5768639,0.19996125,0.48624031
0.62350008,0.24943191,0.53358622
0.62668716,0.271986,0.54846657
0.6054164,0.2527098,0.52613833
0.55006661,0.20756462,0.46798238
0.47866416,0.14353512,0.37955043
0.37626531,0.06983593,0.27270897
0.270126,0.02658357,0.14497192
0.16134881,0.00236122,0.05519623
0.07120079,2.05e-6,0.01597789
0.01206718,0.0,0.00288141
3.845e-5,0.0,2.337e-5
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
0.00011236,0.0,3.536e-5
0.01009972,0.0,0.00106444
0.06564999,0.0,0.00947901
0.15580967,0.00032252,0.04921734
0.28070921,0.01731527,0.16132687
0.39818868,0.06772742,0.29551479
0.50982372,0.14272515,0.42205103
0.59292666,0.21453384,0.50937925
0.63492458,0.25872557,0.56405055
0.63916393,0.27879353,0.56815389
0.6116535,0.26311124,0.54028739
0.54953068,0.22483819,0.46963538
0.46804779,0.16103241,0.37992011
0.37315388,0.08834786,0.27418735
0.26410631,0.03661514,0.14943069
0.15706508,0.00441992,0.06350002
0.07222757,4.06e-6,0.01990769
0.01098698,0.0,0.00233354
3.294e-5,0.0,1.774e-5
0.0,0.0,-0.0
0.0,0.0,-0.0
0.0,0.0,-0.0
