x1,x2,x3
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
0.00012493,0.0,0.00010874
0.01940801,0.0,0.00827191
0.07702241,0.0,0.01864102
0.1634917,0.00026233,0.05981483
0.27558605,0.01488493,0.16209065
0.39468571,0.0629501,0.26977099
0.50401543,0.13444141,0.36091299
0.58510892,0.20990596,0.42158603
0.63585899,0.24993531,0.46473512
0.65490161,0.25840665,0.46460465
0.64380515,0.23279376,0.42548113
0.59167336,0.18568733,0.35511901
0.51223684,0.10183275,0.27896053
0.40155823,0.04010914,0.18695442
0.27376774,0.00780724,0.08895795
0.15322267,0.00030479,0.03287089
0.07283791,4.84e-6,0.01330579
0.0116276,0.0,0.00287621
0.00089909,0.0,4.47e-5
6.399e-5,0.0,8.9e-6
1.8e-7,0.0,8.0e-8
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
0.00015723,0.0,8.154e-5
0.0264828,0.0,0.00375782
0.09235356,0.0,0.0162336
0.18482959,0.00033007,0.04234159
0.29108627,0.01466324,0.13348149
0.40060822,0.05671031,0.22725709
0.50090732,0.15718005,0.34879502
0.57155004,0.24181689,0.4224054
0.62701696,0.29504375,0.46195793
0.62861339,0.32887865,0.47586301
0.60104056,0.29956011,0.46231784
0.56138533,0.24711067,0.40873604
0.49143478,0.13771475,0.34388593
0.39703643,0.06154408,0.25244391
0.27521673,0.01603647,0.13161586
0.16003246,0.00040593,0.05991579
0.07864733,4.23e-6,0.02725929
0.01196684,0.0,0.00436033
0.00055475,0.0,0.00014083
5.026e-5,0.0,3.943e-5
1.7e-7,0.0,2.1e-7
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
0.00015769,0.0,7.183e-5
0.0267103,0.0,0.00251294
0.09314394,0.0,0.01866215
0.19730467,0.00024785,0.0502524
0.31723819,0.01412604,0.13509209
0.44441528,0.07784,0.25150708
0.57494722,0.17451625,0.35984311
0.67658727,0.25153071,0.42631582
0.74791337,0.29358953,0.48419333
0.7515256,0.29364566,0.49573869
0.70578428,0.26529515,0.46521782
0.63738077,0.2095185,0.3984888
0.5504152,0.119762,0.31400474
0.43811305,0.04373967,0.2098786
0.30758335,0.00702069,0.08332404
0.17373227,0.00032452,0.0285376
0.07879624,8.14e-6,0.01359602
0.01045818,0.0,0.0019395
0.00046374,0.0,0.00021534
3.086e-5,0.0,3.516e-5
7.0e-8,0.0,1.7e-7
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
0.00014404,0.0,7.151e-5
0.02410471,0.0,0.00193552
0.08953232,0.0,0.01870974
0.18170324,0.00014269,0.06054064
0.30102426,0.00554772,0.16651467
0.42637682,0.04771857,0.27161659
0.54292196,0.12980127,0.37600286
0.64125407,0.20075761,0.44974564
0.70198888,0.2376701,0.48913498
0.72229959,0.240528,0.51038916
0.70812847,0.2263432,0.47091055
0.62785647,0.18388916,0.39369192
0.53539927,0.11521956,0.32086035
0.42477904,0.04335184,0.22323849
0.2924137,0.01052874,0.11795864
0.16790294,0.00032202,0.05210962
0.07765207,2.72e-6,0.01827696
0.01124665,0.0,0.005218
0.00057957,0.0,0.00044986
5.095e-5,0.0,7.06e-5
1.4e-7,0.0,3.5e-7
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
0.00016676,0.0,0.00010188
0.02905061,0.0,0.00935669
0.10603471,0.0,0.02789537
0.21677588,0.00033151,0.07590808
0.3424186,0.00961419,0.17333918
0.48241217,0.04433857,0.31264091
0.61447924,0.11316473,0.4174943
0.69703588,0.17005887,0.48730851
0.75935505,0.20364225,0.517501
0.77077978,0.22148203,0.52311333
0.73187112,0.20447668,0.50150048
0.67003817,0.16352493,0.44206195
0.57913579,0.09951123,0.36483694
0.45622838,0.0380997,0.25475806
0.31866894,0.01002989,0.13591599
0.17704207,0.00046103,0.0628058
0.08108392,3.76e-6,0.02414532
0.01095772,0.0,0.00516975
0.00071849,0.0,4.622e-5
7.784e-5,0.0,6.5e-6
1.6e-7,0.0,1.4e-7
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
0.00015961,0.0,0.00010223
0.02557519,0.0,0.00884528
0.09049638,0.0,0.02206271
0.19149422,0.00039344,0.06416519
0.31970835,0.01203571,0.15595034
0.45332865,0.05800567,0.26457435
0.55298058,0.12121276,0.38118964
0.62940692,0.18579447,0.46531764
0.67189139,0.22710893,0.48108561
0.67870479,0.24621059,0.47159959
0.64515666,0.22593154,0.4366081
0.58568564,0.17764302,0.35391859
0.49226705,0.10296763,0.27237156
0.38405293,0.040688,0.18586484
0.27017611,0.01035218,0.10322523
0.15393954,0.00062913,0.04263445
0.07040766,1.085e-5,0.0169836
0.0111753,0.0,0.00298417
0.00058494,0.0,3.274e-5
4.954e-5,0.0,2.68e-6
1.4e-7,0.0,5.0e-8
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
0.00014918,0.0,7.942e-5
0.02549605,0.0,0.00539043
0.09758428,0.0,0.01772657
0.19523745,0.00055042,0.05679084
0.29886764,0.01411576,0.15450652
0.41131901,0.06518721,0.26390877
0.52067363,0.14642481,0.3693005
0.60687411,0.22992686,0.43003715
0.65006789,0.28062949,0.45039734
0.67552316,0.28752833,0.45165329
0.62988622,0.26099743,0.40628978
0.57330956,0.21834212,0.35843774
0.48927048,0.13373572,0.2822804
0.38699309,0.05926974,0.19033997
0.27869228,0.0208481,0.08713985
0.1585781,0.00094462,0.03454674
0.0790385,3.282e-5,0.01294489
0.01186451,0.0,0.00330194
0.00104056,0.0,4.577e-5
7.377e-5,0.0,9.99e-6
1.0e-7,0.0,1.8e-7
