x1,x2,x3
1.33e-5,0.0,1.045e-5
0.00062338,0.0,0.00021223
0.01318409,0.0,0.00259243
0.06300329,0.0,0.0076636
0.11518845,0.0,0.02665811
0.20665833,0.00020285,0.06311567
0.32888612,0.00978077,0.15516837
0.43011284,0.03894354,0.23687955
0.54680937,0.0869502,0.30568054
0.62243147,0.13838104,0.34901279
0.65772989,0.18180736,0.37680981
0.65927734,0.1955839,0.38093361
0.63671819,0.17242612,0.35288188
0.57845938,0.12772575,0.32056003
0.49320701,0.07129747,0.26847361
0.39029047,0.0265634,0.18145384
0.27744587,0.00646881,0.1049112
0.16747406,0.00016702,0.0466078
0.09488905,0.0,0.02539961
0.04933207,0.0,0.00666457
0.00643894,0.0,0.00118699
0.00017071,0.0,6.346e-5
2.06e-6,0.0,1.56e-6
1.1e-7,0.0,1.4e-7
1.442e-5,0.0,8.83e-6
0.00063603,0.0,0.00020831
0.01312179,0.0,0.00269398
0.06382244,0.0,0.00960074
0.11025531,0.0,0.02941769
0.19853561,0.00019864,0.0660177
0.31291013,0.00611377,0.15685937
0.41521669,0.03313254,0.24447856
0.50762948,0.06785435,0.3094697
0.58188695,0.11262072,0.35564151
0.62835677,0.14971376,0.3690805
0.6310749,0.16903057,0.38162367
0.59591999,0.1589014,0.36754553
0.53894473,0.11720776,0.31322993
0.45240201,0.07477219,0.25394308
0.36186785,0.03911977,0.18567582
0.25838726,0.01138361,0.11136371
0.15950609,0.00027515,0.06140759
0.09075606,0.0,0.03262988
0.04607547,0.0,0.01144073
0.00574929,0.0,0.00192525
0.0001484,0.0,5.957e-5
1.8e-6,0.0,1.02e-6
1.0e-7,0.0,1.0e-7
1.34e-5,0.0,3.9e-6
0.00060402,0.0,0.000196
0.0133029,0.0,0.0048718
0.06373317,0.0,0.01740839
0.11812785,0.0,0.04118957
0.21811511,0.00033105,0.08808968
0.35115766,0.00638534,0.1687221
0.45968027,0.03676867,0.24588665
0.56186661,0.07165502,0.32456353
0.63319368,0.12164582,0.38129128
0.66082431,0.16907415,0.39952415
0.66455241,0.1829939,0.39810688
0.63829179,0.17022528,0.37693768
0.5726587,0.13011687,0.32706273
0.48478879,0.08501243,0.27869408
0.38792409,0.0479195,0.19791142
0.28207172,0.01341703,0.11727645
0.17134421,0.00030974,0.0598655
0.09814947,0.0,0.03545918
0.05219608,0.0,0.01185477
0.00621467,0.0,0.00354502
0.00015151,0.0,0.0001285
1.57e-6,0.0,2.53e-6
6.0e-8,0.0,2.5e-7
1.129e-5,0.0,1.616e-5
0.00056967,0.0,0.00048204
0.01252417,0.0,0.00664995
0.06437867,0.0,0.01747435
0.11460976,0.0,0.03820667
0.20766924,0.0002708,0.07728443
0.33094711,0.01127899,0.1715103
0.41663001,0.04305897,0.24533528
0.52079834,0.08396998,0.31689711
0.59391901,0.13259677,0.36579927
0.63505977,0.17512799,0.36952583
0.63527009,0.19142159,0.37694427
0.59893736,0.17953439,0.36085063
0.53322656,0.13948583,0.32503914
0.45272698,0.0955001,0.27768762
0.36452803,0.05267454,0.18930934
0.25814525,0.01558712,0.10657688
0.1561652,0.00041871,0.04649651
0.08208299,0.0,0.02451661
0.03751115,0.0,0.00454161
0.00330498,0.0,0.00152193
8.649e-5,0.0,0.00010346
1.14e-6,0.0,2.72e-6
5.0e-8,0.0,2.6e-7
1.009e-5,0.0,1.441e-5
0.00045116,0.0,0.00016945
0.01032655,0.0,0.00063371
0.05316667,0.0,0.0035151
0.09778639,3.0e-8,0.0240376
0.1841928,0.00055542,0.05675551
0.29631,0.01618205,0.13731333
0.38666784,0.04072419,0.21000822
0.48364511,0.0761792,0.28497648
0.56490898,0.11723854,0.34636034
0.60485809,0.15166017,0.38655618
0.62200972,0.16483744,0.39917612
0.60714427,0.15528138,0.38342367
0.57288078,0.1295291,0.34987818
0.49660162,0.09040673,0.28148336
0.39480179,0.05312713,0.18255605
0.28541758,0.02050705,0.07837948
0.17154045,0.0005809,0.03366481
0.0957624,0.0,0.01496044
0.04721152,0.0,0.0048297
0.00626077,0.0,0.00105445
0.00016323,0.0,7.316e-5
1.84e-6,0.0,1.88e-6
1.0e-7,0.0,1.3e-7
1.526e-5,0.0,8.01e-6
0.00071524,0.0,0.00012255
0.01436414,0.0,0.00142808
0.0624297,0.0,0.00629721
0.11045877,1.4e-7,0.02734086
0.2030062,0.00038266,0.07242143
0.32020439,0.00995987,0.16369979
0.4282329,0.03611526,0.24013745
0.52338137,0.07533401,0.31708561
0.58882216,0.13362842,0.37059076
0.62438383,0.1775927,0.41029627
0.6382008,0.19214117,0.43172311
0.61312369,0.17181396,0.40797511
0.55557568,0.11891324,0.3521902
0.47941275,0.06772512,0.29327217
0.37360551,0.03142453,0.19271283
0.27030985,0.00680809,0.10958761
0.16419263,0.00023842,0.04914176
0.09076749,0.0,0.02190688
0.04280309,0.0,0.00433534
0.00501865,0.0,0.00067296
0.0001364,0.0,3.41e-5
1.71e-6,0.0,1.15e-6
1.2e-7,0.0,1.4e-7
1.417e-5,0.0,9.77e-6
0.00058445,0.0,0.0003282
0.01050815,0.0,0.00507764
0.05647143,0.0,0.01564608
0.11000666,2.8e-7,0.03358659
0.20585067,0.00059733,0.07603094
0.32772653,0.00951998,0.1674255
0.43045587,0.03432309,0.25326162
0.5232441,0.07923918,0.34725182
0.58790431,0.13094824,0.40951333
0.6316215,0.17250872,0.46710612
0.64465673,0.18548034,0.4819174
0.62196392,0.17057487,0.45638775
0.55712956,0.12774465,0.41729955
0.47522736,0.08472017,0.33760238
0.37606263,0.04255121,0.22770945
0.26713349,0.01754332,0.11691303
0.1610509,0.00089745,0.05322109
0.0899219,0.0,0.02838948
0.04317092,0.0,0.00950943
0.00577464,0.0,0.00327992
0.00015402,0.0,0.00013353
1.84e-6,0.0,2.46e-6
1.2e-7,0.0,1.8e-7
