x1,x2,x3
0.00035805,-0.0,0.00032612
0.00102762,-0.0,0.00045574
0.00395433,-0.0,0.00090755
0.01441507,-0.0,0.00263377
0.04963859,-0.0,0.00776257
0.09346301,1.93e-6,0.02561279
0.16619963,0.00033595,0.06891562
0.2491548,0.00569847,0.14035769
0.34064116,0.03507169,0.22614273
0.42456575,0.08740849,0.29960176
0.49243973,0.1507323,0.36666544
0.52172619,0.19513688,0.39659131
0.53690031,0.21633031,0.39241275
0.51197424,0.20588284,0.37409708
0.46685669,0.15482514,0.32330876
0.40717579,0.09527713,0.25769192
0.3318134,0.04404135,0.18200898
0.23963859,0.01186555,0.11156978
0.14897762,0.00021156,0.04998197
0.09027062,-0.0,0.02435503
0.0467637,-0.0,0.00630848
0.00639091,-0.0,0.001136
0.00075052,-0.0,0.00027126
0.00029002,-0.0,0.00012067
0.00042271,-0.0,0.00018064
0.00142421,-0.0,0.0003563
0.00471107,-0.0,0.00070647
0.01643908,-0.0,0.00258784
0.06082269,-0.0,0.01134237
0.11351271,4.29e-6,0.03227738
0.19997885,0.00062151,0.07079617
0.30714276,0.01214397,0.13274716
0.41019531,0.04863212,0.20977502
0.49744753,0.11075595,0.28404407
0.55585039,0.18599871,0.33454566
0.58400803,0.24432527,0.35726978
0.59439303,0.25897286,0.33992226
0.56724697,0.23784964,0.32015391
0.51643583,0.17366743,0.27218941
0.44204317,0.10391993,0.22103402
0.35472947,0.04415565,0.15607967
0.26328725,0.01115223,0.09782016
0.16578661,0.00018142,0.05024338
0.09482919,-0.0,0.03099138
0.0494338,-0.0,0.00980746
0.00758748,-0.0,0.00140928
0.0009851,-0.0,0.00025717
0.00033819,-0.0,0.00012449
0.00044278,-0.0,0.00020311
0.00133375,-0.0,0.00030537
0.00506,-0.0,0.00071529
0.0185498,-0.0,0.00445743
0.06288307,-0.0,0.01600196
0.10798388,4.98e-6,0.03449424
0.19141932,0.0004305,0.06740884
0.29650204,0.00896519,0.12802187
0.40885695,0.03938922,0.19442399
0.50099418,0.08522401,0.25774456
0.56276587,0.1429818,0.30084446
0.59370907,0.18950221,0.3405754
0.59071072,0.19790653,0.33655065
0.55481088,0.17995613,0.321253
0.49897342,0.13462359,0.28158755
0.4273847,0.08610378,0.21870699
0.34657434,0.04031967,0.15460493
0.25462942,0.00657613,0.07816975
0.15886492,0.00014985,0.03733191
0.09202577,-0.0,0.01540265
0.04681121,-0.0,0.00717521
0.00688772,-0.0,0.00146068
0.00090409,-0.0,0.00011457
0.00035421,-0.0,4.466e-5
0.00054073,-0.0,4.563e-5
0.00159443,-0.0,8.108e-5
