x1,x2,x3
0.00020079,0.0,0.00014136
0.00127138,0.0,0.00032907
0.01011062,0.0,0.00063655
0.03242898,0.0,0.00255363
0.06954326,0.0,0.0102821
0.1263528,8.8e-7,0.02979
0.22040895,0.00108038,0.08772942
0.31728411,0.01191073,0.16396694
0.40752319,0.049749,0.25431839
0.48826629,0.10360784,0.31530508
0.54637142,0.15459146,0.34692377
0.57200851,0.18767073,0.37352657
0.57857436,0.18932598,0.36750916
0.54526519,0.15755855,0.33285049
0.48634524,0.10496015,0.30180322
0.4083432,0.05633064,0.24045542
0.31896977,0.02003773,0.15312438
0.22651727,0.00308384,0.07904898
0.13241616,9.86e-6,0.03079452
0.07891341,0.0,0.01912723
0.03678663,0.0,0.00594993
0.00717074,0.0,0.00154158
0.00073423,0.0,0.00033856
0.00016898,0.0,0.00014262
0.00026186,0.0,0.00022316
0.00167977,0.0,0.00092535
0.0116805,0.0,0.00333789
0.03564631,0.0,0.00607361
0.0796842,0.0,0.01813878
0.13649605,2.66e-6,0.0378554
0.23770628,0.00197446,0.09077313
0.34919686,0.01656922,0.16655139
0.45361413,0.04883608,0.25547945
0.5436151,0.0954578,0.32868869
0.59373373,0.14108732,0.37470221
0.60369316,0.16910726,0.39055088
0.58741683,0.16762259,0.39314336
0.55414244,0.14584114,0.35720253
0.49890949,0.1006887,0.29504736
0.41357595,0.05757294,0.23136098
0.32249368,0.02143809,0.15116211
0.22809628,0.00325112,0.0859383
0.13575046,1.383e-5,0.03890819
0.0800181,0.0,0.02374134
0.03917851,0.0,0.0048803
0.00827547,0.0,0.00060289
0.00091782,0.0,0.00013047
0.00019939,0.0,4.667e-5
0.00028586,0.0,6.28e-5
0.00174849,0.0,0.00022101
0.01158493,0.0,0.00137024
0.03812709,0.0,0.00701762
0.08552793,0.0,0.02218287
0.1432293,4.71e-6,0.04591474
0.24319095,0.00161715,0.0918246
0.34258449,0.01532907,0.17322265
0.4405945,0.05247173,0.25127575
0.52534555,0.1077224,0.32422671
0.56800713,0.16748425,0.36270242
0.58775007,0.19908304,0.39627626
0.5717217,0.19713202,0.38300478
0.53752102,0.16551862,0.33855674
0.47525623,0.11396538,0.28202321
0.39641579,0.06418139,0.2089335
0.31266278,0.0254157,0.13224918
0.22404952,0.00354125,0.06462655
0.13015504,1.851e-5,0.02912603
0.07553717,0.0,0.01344023
0.03311615,0.0,0.00581226
0.00579884,0.0,0.00223392
0.00062251,0.0,0.00027535
0.0001444,0.0,9.631e-5
0.00022466,0.0,0.00014181
0.00132074,0.0,0.00065251
0.00828463,0.0,0.00255519
0.03252168,0.0,0.00618837
0.07486392,0.0,0.0118678
0.12957163,1.089e-5,0.02520659
0.22985687,0.00359825,0.06611791
0.33030949,0.0191669,0.13888195
0.42332735,0.05893613,0.23372607
0.50124722,0.11306251,0.30859111
0.5554408,0.16654652,0.36169331
0.5681072,0.19569457,0.38519107
0.55663439,0.19438642,0.37264313
0.52211445,0.16879034,0.3440324
0.4649709,0.12634809,0.29298908
0.38775685,0.07481616,0.21606624
0.3035502,0.03418537,0.13048969
0.21408599,0.00632912,0.06686929
0.12607127,3.297e-5,0.03042291
0.07340577,0.0,0.01442947
0.03182242,0.0,0.00553684
0.00656191,0.0,0.00105456
0.00069602,0.0,0.00017322
0.00014968,0.0,7.179e-5
0.00021781,0.0,8.772e-5
0.00128287,0.0,0.00025592
0.0083822,0.0,0.00104048
0.03147011,0.0,0.00392197
0.0748232,0.0,0.01225275
0.13276087,1.947e-5,0.02302896
0.22845878,0.00272818,0.06272922
0.31910858,0.0217642,0.13404909
0.41808655,0.05675604,0.22030604
0.49903843,0.10662801,0.30084805
0.5537768,0.16237411,0.35730685
0.5729585,0.19517069,0.38566985
