x1,x2,x3
0.32767842,0.48313986,0.42134694
0.32127189,0.49078424,0.4106654
0.3158486,0.496144,0.40361715
0.30917778,0.5031304,0.3972752
0.29928877,0.50887101,0.38697486
0.27950921,0.51453288,0.380589
0.26131795,0.51734198,0.38466896
0.25147384,0.51616233,0.38500752
0.25512635,0.50942703,0.38488571
0.265266,0.50106657,0.39296404
0.24096315,0.46662036,0.39156189
0.25797477,0.46278893,0.41308649
0.27563317,0.46308568,0.42871459
0.28826833,0.46627539,0.43924931
0.29526143,0.47383494,0.44503165
0.30012199,0.48679377,0.44725996
0.30053756,0.50545872,0.44636716
0.30705932,0.51809419,0.44440327
0.31849529,0.52304976,0.4423225
0.33274057,0.51928662,0.43997769
0.33919622,0.50872674,0.43820613
0.33921775,0.49731362,0.43568349
0.33815251,0.47893562,0.43982588
0.33004038,0.47338647,0.42278433
0.3223303,0.47171901,0.40992734
0.31415505,0.47312049,0.4039047
0.30560303,0.47693544,0.40350076
0.29827624,0.4822363,0.40792296
0.29310214,0.48665324,0.4113147
0.28123451,0.48909823,0.40889021
0.26762522,0.49179853,0.40286631
0.26424115,0.49351275,0.40464264
0.27075182,0.49078571,0.40539221
0.28534986,0.48462804,0.41036468
0.26750391,0.46422673,0.39398245
0.28130997,0.46220784,0.40571543
0.29675675,0.46397772,0.41612606
0.31180307,0.47364,0.42689689
0.32193027,0.48669911,0.43129212
0.32812935,0.50252152,0.42974066
0.32859397,0.51702784,0.43726166
0.33125644,0.52560517,0.45298785
0.33694579,0.52595021,0.47528808
0.3409371,0.52168559,0.49169726
0.34051581,0.51474788,0.50165708
0.33667582,0.50571214,0.506875
0.34122329,0.48735371,0.5254894
0.32724646,0.48426418,0.51867388
0.31444448,0.47910878,0.51262035
0.3047125,0.47705815,0.50541553
0.29448448,0.47408821,0.50155365
0.28638088,0.47152372,0.50092251
0.27251148,0.46926062,0.49749618
0.25386094,0.46706219,0.49633378
0.23639583,0.46499403,0.48617321
0.22963799,0.46270504,0.46622924
0.22969088,0.45518278,0.45581647
0.2396952,0.44671642,0.4565219
0.21721641,0.42500908,0.42604835
0.23364083,0.42772865,0.42604064
0.25068434,0.4328342,0.42935254
0.26750423,0.44051092,0.43580666
0.28136318,0.44951045,0.44029908
0.29001311,0.46155176,0.44562412
0.29723062,0.47198845,0.46145613
0.31117424,0.47756296,0.4767359
0.33091931,0.47500857,0.48726532
0.34648644,0.46643256,0.49405913
0.35242676,0.45588995,0.49787711
0.35138489,0.44496351,0.49671872
0.36477317,0.42476775,0.50617985
0.35285086,0.41715805,0.48997949
0.34074622,0.41417054,0.47246784
0.33297977,0.41591387,0.45679899
0.32666905,0.42110007,0.44798508
0.32370564,0.42704841,0.44554195
0.31732702,0.43324104,0.44722946
0.3043126,0.43754185,0.45081309
0.28340501,0.43868655,0.44908298
0.27688933,0.43511281,0.44473109
0.27966675,0.42772872,0.44582159
0.2912644,0.41887609,0.45317901
0.26929249,0.39148941,0.41199581
0.28814419,0.39222595,0.42677203
0.30426271,0.3959766,0.42828475
0.32052759,0.40472208,0.42345869
0.33412655,0.41648544,0.41302907
0.34289232,0.42927054,0.39740461
0.34447721,0.4417842,0.3994914
0.35472113,0.4494569,0.40688024
0.3730956,0.45197384,0.42736717
0.38855792,0.44944531,0.45985974
0.39615845,0.44409759,0.49633747
0.39662418,0.43911585,0.52100163
0.40438021,0.42850783,0.53275079
0.38937267,0.42434177,0.53058033
0.37173198,0.41996204,0.52359572
0.35741272,0.418341,0.51826986
0.3490623,0.41689936,0.52086035
0.34782101,0.41767148,0.52944669
0.34684969,0.41738597,0.54334259
0.33137518,0.41944953,0.5511654
0.31039502,0.42083648,0.55016562
0.2988229,0.41923941,0.54538837
0.30129935,0.40958813,0.53570212
0.30984344,0.39696783,0.53429304
0.28536016,0.36407626,0.48942084
0.3047464,0.35800397,0.50105701
0.32514065,0.35032271,0.51026386
0.34099532,0.34934575,0.51636612
0.34979177,0.35739059,0.51878241
0.35013939,0.36898104,0.51830218
0.34825233,0.38208372,0.51821889
0.34845096,0.39272328,0.51765435
0.35650384,0.39745466,0.51546751
0.36658209,0.39418106,0.51242422
0.37432441,0.38390837,0.50762746
0.37406989,0.37170918,0.49914293
0.3770436,0.35647154,0.49333646
0.36039565,0.34927123,0.47034706
0.34258943,0.34630027,0.45094459
0.3289677,0.34502351,0.43795551
0.3179768,0.34457464,0.42505593
0.30911619,0.34763542,0.41128729
0.30082197,0.35123343,0.39785179
0.28573341,0.35531682,0.385293
0.26920262,0.35941225,0.37209797
0.257823,0.36122291,0.35470186
0.26080594,0.3582653,0.34545646
0.26919643,0.35600516,0.34307263
0.24043258,0.33892883,0.31718374
0.25614612,0.33452591,0.33538322
0.27393628,0.33361807,0.34954917
0.28706026,0.33361008,0.35993829
0.29577205,0.33970511,0.36819929
0.29628747,0.34941274,0.37593347
0.29341092,0.36150859,0.38207869
0.29250267,0.37243843,0.39367643
0.29807494,0.37677939,0.40734482
0.30399749,0.37393878,0.41692644
0.30467336,0.36940113,0.42374832
0.30105022,0.36298962,0.43044521
0.30790884,0.34893328,0.45405214
0.29548819,0.34927847,0.44559865
0.28344,0.35159005,0.4366099
0.27580982,0.35526177,0.43615096
0.27231762,0.36007433,0.44644531
0.27314279,0.36815056,0.45737089
0.27036619,0.37651076,0.46664805
0.25449334,0.38504179,0.47638362
0.2374558,0.39111077,0.48267726
0.23152795,0.39558037,0.48417813
0.23784601,0.39512493,0.48758999
0.25079938,0.39485317,0.49744063
0.22876497,0.38055747,0.48351251
0.24806767,0.38220368,0.50375128
0.26589237,0.38757789,0.51890839
0.28150738,0.39659654,0.5257175
0.28959024,0.40840651,0.52907839
0.29574635,0.42330303,0.51976214
0.29712565,0.44288796,0.51753977
0.30213377,0.46115668,0.51144697
0.31459775,0.47151334,0.50113253
0.32796425,0.47473376,0.49366419
0.33370652,0.4733519,0.48499193
0.33303641,0.46908453,0.47829633
0.34151505,0.45113862,0.48211339
0.32931411,0.45188883,0.47127313
