x1,x2,x3
0.40932505,0.52818844,0.54696855
0.41586116,0.52590641,0.53743616
0.42477133,0.52406704,0.52593146
0.42848563,0.52714464,0.50571439
0.42940062,0.53603166,0.49044793
0.42853177,0.54195479,0.48450275
0.41795873,0.5465415,0.48315744
0.40663478,0.54871569,0.47340593
0.40054591,0.54638629,0.46421321
0.39773813,0.54398816,0.45651992
0.3750353,0.52728248,0.42596314
0.37773482,0.52787402,0.43390704
0.38276204,0.52983346,0.43767942
0.38807815,0.5353414,0.44518153
0.38877987,0.53971922,0.44529276
0.38893166,0.543143,0.44818867
0.38580222,0.54522369,0.4450745
0.38215584,0.54986737,0.44695519
0.38088053,0.5548586,0.44192636
0.37971907,0.55939406,0.43966889
0.38062984,0.56402235,0.44106805
0.38071389,0.56583208,0.43979333
0.38156835,0.56864214,0.45568155
0.36446732,0.5709917,0.45585118
0.35022896,0.57103681,0.45448312
0.33982028,0.5710624,0.45267298
0.33385973,0.57379452,0.46139183
0.3342411,0.57373377,0.46757012
0.33561747,0.57725267,0.46842864
0.33083902,0.58273909,0.47588155
0.32016958,0.58916455,0.48872786
0.3039581,0.59311791,0.49875564
0.29762663,0.59666014,0.50912703
0.29316419,0.59566174,0.52014642
0.2724431,0.58516113,0.50926136
0.27557031,0.57691532,0.52525522
0.27878532,0.56855162,0.53723737
0.28182138,0.56439222,0.55468268
0.28480049,0.56422546,0.57394348
0.28894327,0.56412693,0.58695051
0.28968011,0.56801186,0.5971894
0.2961816,0.57386952,0.60626473
0.30317979,0.57573801,0.61404107
0.31442073,0.57428778,0.62109986
0.32741347,0.57408927,0.62651753
0.3357827,0.57384774,0.62861017
0.35067901,0.56761081,0.64713674
0.35000796,0.56352245,0.64161074
0.34584698,0.56412143,0.62429436
0.3424758,0.56655607,0.60392539
0.34025852,0.56908903,0.58006398
0.33840124,0.56936161,0.5644088
0.33598499,0.57013597,0.55730638
0.3315493,0.56906318,0.55870407
0.31854754,0.56556222,0.55482706
0.30650137,0.56457728,0.55421499
0.30652344,0.56066446,0.56851012
0.31155306,0.55749003,0.57280153
0.30665876,0.52825338,0.550323
0.32538861,0.52380495,0.54259351
0.34668373,0.5211615,0.52818155
0.3631326,0.51649515,0.52328924
0.37908856,0.51356892,0.52624469
0.38855591,0.51644424,0.53598634
0.39263611,0.52300859,0.54431693
0.39585144,0.5279482,0.54899362
0.403242,0.53835835,0.55844684
0.4097526,0.54616342,0.5742583
0.41277933,0.54895709,0.58926253
0.40580707,0.54580597,0.59475237
0.40084986,0.53677324,0.59409214
0.39046995,0.53567617,0.57829889
0.37573202,0.53820853,0.55882894
0.36024394,0.5407209,0.54059481
0.34898674,0.54520596,0.52561655
0.33940205,0.54861721,0.51479534
0.33554534,0.55316243,0.51022487
0.33595581,0.5560863,0.51041215
0.33063521,0.55410032,0.51634149
0.32879066,0.54923442,0.52871738
0.33430618,0.54670007,0.54985762
0.34404493,0.54110396,0.56902492
0.33486139,0.51732121,0.57174341
0.34717354,0.51395929,0.58995248
0.35837726,0.50573564,0.60560487
0.36965567,0.50179953,0.61834965
0.37894358,0.50173469,0.6299802
0.39029847,0.50822956,0.63234364
0.39428246,0.51141245,0.63396829
0.40032745,0.51700672,0.63437109
0.41057025,0.52032689,0.63968185
0.42448578,0.51822801,0.64270386
0.43761825,0.51057706,0.64973837
0.44528154,0.5009857,0.6615752
0.45232097,0.47863343,0.6560437
