x1,x2,x3
0.2989567,0.42910952,0.45615003
0.29147747,0.43439256,0.45745986
0.28585955,0.43967524,0.46563202
0.28064999,0.44515453,0.4772412
0.27129418,0.44926756,0.48995539
0.25767211,0.44696908,0.50328963
0.2463219,0.44691636,0.51179547
0.24346205,0.44379128,0.51715152
0.25063733,0.44048274,0.52333898
0.26146222,0.43724607,0.52774097
0.25082291,0.42011891,0.47904942
0.26736974,0.42663068,0.49480641
0.28075921,0.43129004,0.51362632
0.29282564,0.43724936,0.52574757
0.30066786,0.44802001,0.53060071
0.30401985,0.46045979,0.53029034
0.3081976,0.47229182,0.53133477
0.31855634,0.47980433,0.52824174
0.33439915,0.48057089,0.51976245
0.34754048,0.47770012,0.51033013
0.35531593,0.47399653,0.50365335
0.3582702,0.47150795,0.49479666
0.37523931,0.45754067,0.4966082
0.36470449,0.46055811,0.47905421
0.35592034,0.46405527,0.46516963
0.3491617,0.46572458,0.4530184
0.34373794,0.46184022,0.44033947
0.33799324,0.45941848,0.43106972
0.3248248,0.4560681,0.42359099
0.30388492,0.45090679,0.42088762
0.28621331,0.44532244,0.42229153
0.27688423,0.43912264,0.42821266
0.28117426,0.42844479,0.42916176
0.28902172,0.41960942,0.43128876
0.27361399,0.39229947,0.39776418
0.28014687,0.39298436,0.42189292
0.28786475,0.39834867,0.44006433
0.29336635,0.4043374,0.44526055
0.29807288,0.40951818,0.43602143
0.30205544,0.41714826,0.42054865
0.30522367,0.42041924,0.41519648
0.31088798,0.41837183,0.41314454
0.31780847,0.4122929,0.41593517
0.32554583,0.40385336,0.41762035
0.32824434,0.39746368,0.41512785
0.32583446,0.39371401,0.41401007
0.34397418,0.38666618,0.41259097
0.33570018,0.39249395,0.40842317
0.32743542,0.39654612,0.41039755
0.3149223,0.39944539,0.41363217
0.30311987,0.40106019,0.42357387
0.29034828,0.40318604,0.43885106
0.27692683,0.40394984,0.45424177
0.26002207,0.40318339,0.46961961
0.2417688,0.40124156,0.4858225
0.23477745,0.39939964,0.49308128
0.24160223,0.39379188,0.497336
0.25425368,0.38723936,0.50322727
0.24441475,0.36505774,0.4851307
0.25684249,0.36714201,0.48924609
0.26750936,0.3721232,0.49760914
0.27482184,0.38113248,0.50979868
0.28033543,0.38777652,0.52046767
0.27788053,0.39699159,0.53319906
0.2779497,0.40457582,0.53955815
0.28344731,0.40857468,0.53854777
0.29065747,0.40979875,0.53706478
0.29957785,0.40849941,0.53430078
0.30924828,0.40556174,0.5292009
0.31452563,0.40106282,0.52154258
0.33262581,0.39895715,0.50694199
0.32587962,0.3992803,0.49642695
0.31625404,0.40197845,0.48908539
0.30762127,0.40532722,0.47621606
0.29925355,0.41012545,0.46310993
0.284582,0.41297828,0.45201095
0.26713059,0.41597508,0.44450303
0.25123949,0.41835666,0.44070385
0.24145248,0.42105978,0.43988965
0.23993493,0.42117533,0.45015765
0.24470954,0.41415667,0.46181955
