x1,x2,x3
0.3549788,0.52731863,0.48340783
0.35929325,0.52488459,0.48119477
0.36200302,0.52368686,0.47232865
0.36168546,0.51921039,0.461065
0.3590708,0.51464558,0.45303271
0.35401418,0.50900242,0.4450189
0.34549327,0.50418137,0.43616976
0.34588614,0.50225983,0.43116257
0.35416066,0.49716757,0.43158646
0.36132802,0.49134419,0.43458945
0.34758777,0.4774124,0.42586458
0.34864034,0.4762905,0.43537414
0.35319948,0.47634772,0.43941925
0.35683029,0.47479522,0.43984205
0.35553885,0.47191225,0.43682492
0.34856668,0.46836484,0.43419515
0.33693144,0.46441702,0.42102962
0.32695031,0.46267227,0.41567135
0.32172061,0.46099055,0.41786353
0.31469036,0.45820147,0.42385959
0.30456137,0.45504514,0.42711929
0.2959555,0.45260987,0.42486598
0.29007186,0.43675907,0.41937707
0.28269236,0.43314123,0.41567343
0.27615242,0.43388812,0.41369498
0.27040342,0.43117363,0.41433204
0.268204,0.42531717,0.41875924
0.26622954,0.4189879,0.4194751
0.26578659,0.4118751,0.4157943
0.26328848,0.40396053,0.415988
0.26021951,0.39816121,0.41955825
0.26667898,0.39648972,0.42032159
0.27988127,0.39657062,0.41429435
0.29693261,0.40001414,0.41278604
0.29839995,0.40727496,0.41256926
0.314732,0.41485365,0.42503591
0.32920206,0.41774004,0.43349597
0.33532055,0.42139142,0.43458808
0.33316857,0.42865792,0.43218128
0.32724767,0.43479801,0.42281887
0.31754304,0.441421,0.42269628
0.30839889,0.44918465,0.43163985
0.30554754,0.45914648,0.43777563
0.30216842,0.46840528,0.44883905
0.30002628,0.47363075,0.45998093
0.2950702,0.47442109,0.4571708
0.29057467,0.47708421,0.47126136
0.28579557,0.47854808,0.47137097
0.28329735,0.48212328,0.47966221
0.28183963,0.48379242,0.48366006
0.2792946,0.48698711,0.48029175
0.27525151,0.48802359,0.47992688
0.27162534,0.48784402,0.47663753
0.27319262,0.48242504,0.47629362
0.27059892,0.47287591,0.47476227
0.2724006,0.46871274,0.47067584
0.28578274,0.46564236,0.46361995
0.30205065,0.46297547,0.47482095
0.30419689,0.46227271,0.47826349
0.31601991,0.46458643,0.48185569
0.32026752,0.46247509,0.48417322
0.32044771,0.4603225,0.48765218
0.32082237,0.46090589,0.4926864
0.32148188,0.46163301,0.4976048
0.32180837,0.45981893,0.49598765
0.32224417,0.45962483,0.49402584
0.31975867,0.4585938,0.49429554
0.31455397,0.46076675,0.49175267
0.31113475,0.46299845,0.4836723
0.3053058,0.46420655,0.48269198
0.29837552,0.4641393,0.49112663
0.29549325,0.46554813,0.48654589
0.29064393,0.46408496,0.47971572
0.28878467,0.46178833,0.4706386
0.28818522,0.46271798,0.45961277
0.28992946,0.46390052,0.45593175
