x1,x2,x3
0.29065659,0.45444924,0.48383646
0.28731592,0.45159394,0.48516924
0.28544245,0.45093102,0.48916263
0.28516002,0.45076136,0.49685532
0.28403674,0.44994455,0.50200128
0.27640622,0.44721632,0.50499709
0.26824981,0.44627334,0.50912322
0.2671684,0.44518562,0.50042484
0.2736886,0.44255498,0.49712409
0.28462288,0.43752287,0.48873603
0.28793508,0.42254826,0.45616919
0.30138369,0.42414578,0.45653303
0.31161006,0.42607358,0.45515934
0.31997997,0.4293775,0.45467503
0.32530648,0.43652718,0.45350479
0.3282919,0.44305551,0.44545645
0.32502093,0.44699934,0.43499527
0.32151832,0.44885625,0.42565024
0.32401277,0.44815131,0.42077653
0.32861409,0.44590105,0.41720487
0.3320681,0.44312032,0.41281689
0.33100961,0.43950376,0.40386079
0.33389215,0.43307056,0.40859823
0.32458966,0.43252409,0.39438266
0.3166417,0.43469006,0.38433722
0.30903324,0.43678496,0.37347364
0.30247019,0.43916576,0.36829996
0.29575962,0.44086075,0.36912555
0.29041839,0.44083924,0.37236938
0.2748141,0.44106034,0.37788569
0.25916942,0.44173616,0.38159934
0.25019253,0.4399616,0.37884843
0.24605639,0.43493933,0.37834918
0.24667596,0.42939176,0.38837233
0.23261154,0.41657472,0.38007533
0.24388307,0.41129296,0.40824623
0.25789477,0.40997974,0.4283917
0.26968425,0.4107629,0.43395677
0.27864011,0.41462146,0.44153046
0.28296154,0.41782825,0.45135113
0.28568404,0.42191932,0.45742723
0.28705254,0.42375427,0.45913893
0.29304549,0.42081627,0.45935825
0.30068934,0.41455243,0.46295421
0.30825025,0.40889587,0.46728925
0.31017569,0.40465465,0.47066254
0.31396133,0.40656113,0.48385106
0.30957643,0.40488159,0.48692183
0.30404993,0.40557006,0.48883787
0.29682767,0.40822074,0.49221442
0.29262913,0.41196941,0.49803704
0.28912062,0.41543525,0.50480497
0.28382284,0.41689869,0.50945918
0.27180601,0.41717127,0.51408963
0.25417729,0.41553092,0.51122929
0.24325305,0.41264805,0.50592727
0.2446549,0.40736365,0.50200369
0.25414983,0.39997045,0.49712202
0.24847039,0.38989342,0.48070707
0.26284454,0.38386141,0.48900313
0.27664474,0.38099267,0.48984815
0.28641411,0.38417221,0.48251903
0.29049812,0.39048487,0.47849572
0.29065361,0.39950557,0.47689532
0.2923781,0.41094084,0.47429016
0.2968541,0.41898163,0.47001858
0.30463705,0.42160526,0.4692129
0.31790074,0.42100547,0.47097371
0.33167059,0.4187854,0.47453683
0.33604141,0.41554927,0.47968502
0.33837301,0.41170583,0.49635622
0.33374425,0.41204947,0.48740754
0.32638532,0.41301042,0.47937762
0.31954988,0.41339823,0.47339767
0.31578949,0.41549627,0.47140448
0.31379521,0.4158936,0.47061149
0.30793022,0.41699728,0.46546225
0.29447282,0.41804096,0.46002822
0.27985549,0.41655097,0.45090623
0.27372899,0.41371737,0.43920387
0.27445586,0.40850136,0.43651073
0.28248706,0.40132038,0.43048129
0.27399077,0.38771383,0.40364126
0.28422669,0.38073121,0.41386997
0.29516857,0.37763155,0.42906905
0.30679866,0.37605078,0.44841445
0.31284415,0.38046344,0.46483955
0.31639839,0.38739436,0.47851266
0.3160181,0.39425162,0.48849994
0.31947724,0.40074843,0.49515771
0.32841131,0.40053418,0.49950096
0.34325452,0.39760568,0.50484628
0.35531491,0.39259897,0.51094127
0.36521278,0.38808907,0.51918341
0.3768662,0.37878531,0.53642091
0.37016738,0.37487463,0.53758866
0.36132703,0.37368745,0.54443252
