x1,x2,x3,x4
2295.71428571,2559.0,2279.72727273,2781.66666667
2250.14285714,2506.375,2221.36363636,2722.26666667
2222.28571429,2490.375,2194.86363636,2709.66666667
2234.71428571,2522.25,2191.95454545,2749.13333333
2354.0,2668.875,2276.09090909,2911.26666667
2727.42857143,3075.5,2646.0,3402.33333333
3083.0,3451.75,3057.81818182,3898.33333333
3413.71428571,3739.75,3423.95454545,4232.53333333
3580.42857143,3872.5,3592.5,4359.2
3603.71428571,3902.5,3624.63636364,4365.66666667
3591.85714286,3893.5,3617.63636364,4340.4
3538.0,3841.0,3566.59090909,4262.66666667
3581.42857143,3874.0,3617.90909091,4311.13333333
3542.14285714,3841.375,3579.27272727,4281.06666667
3491.0,3832.375,3525.13636364,4264.6
3419.42857143,3876.875,3442.22727273,4277.2
3338.71428571,3896.375,3346.22727273,4290.86666667
3325.71428571,3871.875,3287.22727273,4296.8
3364.57142857,3827.75,3230.04545455,4204.26666667
3422.28571429,3690.875,3202.68181818,4064.73333333
3282.42857143,3489.5,3157.31818182,3832.4
2972.71428571,3181.75,2987.59090909,3488.66666667
2674.71428571,2898.0,2714.18181818,3177.13333333
2474.71428571,2594.125,2470.81818182,2954.13333333
2331.42857143,2557.875,2298.0,2816.93333333
2277.85714286,2497.375,2236.72727273,2757.73333333
2262.28571429,2478.75,2214.54545455,2740.46666667
2284.85714286,2511.0,2210.22727273,2776.06666667
2411.28571429,2645.125,2294.13636364,2927.73333333
2839.28571429,3067.0,2647.68181818,3388.2
3245.14285714,3496.0,3038.5,3856.13333333
3593.0,3794.125,3395.77272727,4177.2
3738.57142857,3926.375,3561.5,4307.0
3744.85714286,3950.375,3599.68181818,4285.26666667
3720.14285714,3937.25,3594.22727273,4283.86666667
3656.85714286,3877.875,3544.90909091,4205.06666667
3712.42857143,3920.625,3600.36363636,4252.93333333
3682.42857143,3886.75,3561.63636364,4217.33333333
3640.71428571,3879.875,3513.36363636,4201.66666667
3558.57142857,3922.125,3435.0,4230.46666667
