x1,x2,x3,x4
2801.28571429,3004.5,2810.36363636,3306.6
2695.0,2908.875,2716.5,3221.66666667
2658.85714286,2852.5,2674.45454545,3188.06666667
2673.71428571,2848.5,2680.59090909,3213.0
2733.14285714,2907.625,2714.45454545,3306.86666667
2964.0,3098.0,2884.13636364,3562.4
3529.0,3608.625,3370.81818182,4216.46666667
4008.42857143,4116.875,3898.5,4867.8
4251.28571429,4302.375,4170.40909091,5088.13333333
4310.71428571,4396.875,4268.13636364,5072.2
4364.28571429,4492.875,4360.63636364,5136.26666667
4399.28571429,4491.0,4366.22727273,5100.46666667
4326.85714286,4424.75,4309.13636364,5004.46666667
4323.28571429,4422.0,4335.45454545,5010.53333333
4248.28571429,4417.375,4264.68181818,4955.2
4126.71428571,4366.5,4147.27272727,4864.46666667
4107.0,4534.625,4107.27272727,4985.2
4375.0,4849.0,4287.09090909,5367.73333333
4317.42857143,4670.625,4208.27272727,5268.73333333
4193.14285714,4385.625,3985.5,4945.26666667
4023.14285714,4117.375,3810.5,4626.46666667
3727.71428571,3850.375,3650.54545455,4347.06666667
3421.85714286,3576.75,3443.09090909,3987.66666667
3150.0,3298.625,3160.09090909,3687.0
2981.57142857,3137.875,2956.63636364,3480.86666667
2878.28571429,3030.25,2845.22727273,3388.0
2823.14285714,2980.625,2793.59090909,3334.06666667
2833.14285714,2968.25,2797.27272727,3358.46666667
2896.71428571,3034.25,2839.31818182,3439.53333333
3115.57142857,3244.375,2997.45454545,3698.8
3700.0,3803.875,3459.54545455,4313.73333333
4245.85714286,4338.375,3966.59090909,4949.86666667
4477.71428571,4539.375,4216.13636364,5131.73333333
4562.57142857,4584.375,4260.09090909,5134.86666667
4668.0,4658.125,4349.27272727,5210.73333333
4650.14285714,4658.5,4341.27272727,5136.33333333
4706.71428571,4588.75,4296.5,5024.33333333
4593.0,4568.375,4320.5,5196.2
4466.42857143,4493.75,4251.5,4982.46666667
4336.57142857,4420.25,4128.40909091,4856.0
4328.85714286,4579.0,4111.36363636,4963.2
4566.71428571,4892.5,4293.36363636,5325.46666667
4487.14285714,4762.125,4202.04545455,5241.46666667
4326.28571429,4489.0,3996.22727273,4953.73333333
4123.14285714,4195.625,3832.5,4645.4
3832.85714286,3936.25,3694.86363636,4336.06666667
3519.0,3636.625,3490.31818182,4003.6
3212.57142857,3347.625,3211.90909091,3691.73333333
3000.0,3166.125,2992.59090909,3498.13333333
2892.28571429,3048.125,2881.63636364,3386.06666667
2845.0,2978.125,2834.45454545,3346.13333333
2872.85714286,2987.625,2835.0,3368.06666667
2932.0,3067.875,2872.13636364,3452.4
3167.28571429,3306.0,3042.27272727,3710.66666667
3764.71428571,3860.875,3521.90909091,4327.0
4286.85714286,4395.875,4044.27272727,4957.73333333
4458.71428571,4588.5,4302.09090909,5149.4
4474.71428571,4619.0,4374.27272727,5277.26666667
4553.71428571,4695.375,4480.54545455,5187.0
4539.42857143,4689.625,4497.45454545,5147.6
4463.57142857,4615.125,4433.68181818,5053.2
4501.28571429,4595.75,4441.27272727,5049.33333333
4433.71428571,4512.5,4355.68181818,4970.33333333
4298.14285714,4434.5,4227.31818182,4901.4
4284.85714286,4576.625,4185.81818182,5000.6
4516.0,4896.125,4327.04545455,5346.93333333
4416.57142857,4804.875,4229.40909091,5253.53333333
4263.28571429,4531.125,4019.04545455,4946.8
4136.85714286,4261.875,3843.04545455,4643.33333333
3847.14285714,4005.25,3706.95454545,4339.4
3518.28571429,3679.75,3507.54545455,3997.4
3209.28571429,3351.875,3236.13636364,3684.8
2995.14285714,3145.375,3012.5,3487.26666667
2873.42857143,3034.0,2880.09090909,3382.46666667
2823.28571429,2981.375,2821.72727273,3338.53333333
2806.42857143,2981.375,2827.13636364,3352.13333333
2849.28571429,3050.875,2858.36363636,3422.6
3101.14285714,3289.625,3011.09090909,3674.6
3675.0,3869.25,3469.22727273,4306.0
4222.57142857,4450.625,3963.86363636,4945.06666667
4470.42857143,4621.25,4222.5,5153.2
4523.42857143,4640.375,4308.04545455,5317.53333333
4593.0,4690.125,4402.27272727,5220.46666667
4530.85714286,4651.625,4403.04545455,5183.26666667
4439.28571429,4597.5,4328.40909091,5077.2
4455.85714286,4601.5,4362.5,5061.73333333
4402.85714286,4532.75,4289.95454545,4987.53333333
4291.57142857,4483.25,4166.63636364,4893.0
4266.14285714,4622.75,4121.77272727,4990.33333333
4428.85714286,4938.375,4259.04545455,5317.66666667
4362.28571429,4821.375,4193.36363636,5231.73333333
4226.14285714,4536.125,4014.77272727,4948.2
4049.71428571,4260.0,3843.86363636,4649.46666667
3792.85714286,3971.625,3685.31818182,4348.93333333
3483.71428571,3651.875,3478.5,4003.66666667
3195.71428571,3349.25,3205.63636364,3688.13333333
3002.28571429,3133.75,2997.27272727,3492.4
2910.71428571,3025.5,2877.40909091,3382.33333333
2858.14285714,2963.375,2826.68181818,3333.53333333
2858.42857143,2962.0,2810.86363636,3345.46666667
2908.28571429,3027.875,2840.40909091,3422.2
3142.57142857,3251.5,2983.22727273,3678.33333333
3694.28571429,3844.0,3396.36363636,4287.0
4223.71428571,4429.25,3866.68181818,4896.86666667
4409.57142857,4634.625,4144.63636364,5112.86666667
4415.42857143,4661.0,4231.59090909,5125.86666667
4497.14285714,4691.0,4298.13636364,5167.6
4468.57142857,4638.5,4266.95454545,5098.93333333
4341.85714286,4502.625,4155.68181818,4948.8
4232.85714286,4434.375,4075.45454545,4844.73333333
4064.42857143,4317.625,3938.63636364,4698.93333333
3952.71428571,4254.25,3822.40909091,4617.86666667
3969.28571429,4430.875,3823.63636364,4749.73333333
4152.14285714,4697.5,3947.63636364,5053.8
4158.0,4594.625,3900.31818182,5002.2
3993.28571429,4270.25,3686.77272727,4684.6
3775.28571429,4006.875,3517.18181818,4369.53333333
3539.57142857,3753.625,3407.77272727,4094.06666667
3309.14285714,3493.875,3259.13636364,3833.26666667
3056.85714286,3283.875,3042.86363636,3588.2
2845.42857143,3072.5,2840.22727273,3389.8
2725.57142857,2933.25,2706.04545455,3250.0
2655.0,2872.0,2642.72727273,3185.2
2626.57142857,2858.375,2616.95454545,3166.46666667
2631.57142857,2872.375,2600.04545455,3191.8
2692.71428571,2958.875,2610.77272727,3268.13333333
2857.0,3138.75,2736.31818182,3460.66666667
3091.42857143,3438.25,3010.40909091,3760.13333333
3374.71428571,3733.375,3303.68181818,4064.86666667
3564.14285714,3919.375,3496.95454545,4251.4
3667.85714286,4014.375,3573.59090909,4355.4
3671.57142857,4005.0,3560.63636364,4328.26666667
3663.42857143,3960.0,3518.04545455,4259.2
3597.28571429,3923.0,3475.68181818,4206.53333333
3526.71428571,3896.125,3434.45454545,4173.4
3479.0,3910.0,3400.36363636,4177.93333333
3545.71428571,4127.0,3442.59090909,4340.46666667
3779.85714286,4468.375,3621.77272727,4696.73333333
3813.85714286,4407.125,3631.68181818,4706.06666667
3661.85714286,4117.0,3465.27272727,4413.13333333
3500.14285714,3882.25,3338.09090909,4139.46666667
3316.14285714,3665.125,3253.22727273,3920.73333333
3135.0,3459.5,3123.59090909,3699.8
2934.0,3258.25,2932.13636364,3486.86666667
2766.42857143,3063.25,2748.09090909,3308.86666667
2661.57142857,2922.5,2622.36363636,3196.53333333
2582.14285714,2868.375,2560.0,3135.2
2541.14285714,2861.875,2536.90909091,3110.86666667
2546.14285714,2873.125,2513.72727273,3127.06666667
2606.42857143,2931.875,2510.40909091,3189.66666667
2747.0,3107.75,2601.95454545,3347.26666667
2942.14285714,3352.25,2830.77272727,3586.93333333
3211.14285714,3627.25,3123.0,3870.0
3392.71428571,3816.125,3324.86363636,4072.93333333
3488.0,3925.25,3428.95454545,4184.73333333
3501.14285714,3932.125,3455.86363636,4194.4
3471.57142857,3887.75,3444.54545455,4159.06666667
3455.14285714,3857.0,3415.95454545,4107.73333333
3437.14285714,3853.125,3386.95454545,4094.0
3405.71428571,3910.0,3371.0,4107.73333333
3476.42857143,4170.75,3444.81818182,4274.8
3778.14285714,4627.625,3704.13636364,4681.86666667
3870.0,4542.0,3728.13636364,4695.73333333
3785.42857143,4259.875,3565.81818182,4442.73333333
3624.71428571,3984.5,3436.5,4175.53333333
3388.0,3733.25,3324.54545455,3932.8
3146.0,3461.25,3163.0,3668.46666667
2928.0,3212.0,2955.0,3438.6
