x1,x2,x3,x4
8197.57142857,9453.875,7760.13636364,10692.46666667
8034.14285714,9254.0,7600.22727273,10524.33333333
8002.28571429,9177.625,7541.77272727,10486.0
8097.28571429,9255.625,7565.09090909,10598.53333333
8389.14285714,9547.625,7741.22727273,11017.33333333
9133.0,10243.5,8389.63636364,11894.73333333
9500.85714286,10704.25,8917.31818182,12304.0
9758.57142857,10892.25,9191.18181818,12446.8
9863.42857143,10929.5,9321.18181818,12410.93333333
9883.0,10914.875,9341.36363636,12320.46666667
9865.42857143,10872.375,9343.36363636,12298.73333333
9841.85714286,10832.5,9342.0,12231.8
9754.14285714,10765.875,9248.22727273,12104.53333333
9652.71428571,10734.0,9186.63636364,12094.6
9557.42857143,10810.125,9115.18181818,12133.73333333
9495.0,10903.0,9032.59090909,12181.06666667
9523.42857143,10943.5,8983.40909091,12288.66666667
9555.71428571,10968.5,8921.54545455,12345.6
9739.0,11037.0,8969.86363636,12410.46666667
9805.85714286,10825.125,8964.09090909,12235.26666667
9390.28571429,10370.5,8732.0,11764.13333333
9334.0,10450.625,8825.36363636,11875.33333333
9080.28571429,10218.5,8637.40909091,11650.33333333
8596.85714286,9758.625,8162.72727273,11194.33333333
8259.57142857,9448.25,7848.36363636,10884.06666667
8095.42857143,9235.375,7677.09090909,10716.13333333
8028.85714286,9157.5,7612.40909091,10670.86666667
8124.57142857,9196.375,7607.45454545,10778.53333333
8453.57142857,9493.25,7778.09090909,11165.6
9171.0,10203.75,8357.04545455,11989.4
9594.28571429,10617.125,8847.36363636,12359.86666667
9793.71428571,10728.875,9127.22727273,12491.93333333
9843.28571429,10737.125,9248.18181818,12451.6
9830.14285714,10710.375,9278.77272727,12358.8
9826.57142857,10724.375,9288.45454545,12307.06666667
9783.85714286,10709.875,9283.04545455,12248.86666667
9674.14285714,10644.5,9203.36363636,12168.06666667
9582.14285714,10642.25,9158.40909091,12129.86666667
9558.85714286,10739.0,9126.22727273,12165.13333333
9520.28571429,10874.5,9071.90909091,12222.73333333
9553.57142857,10962.875,9074.0,12350.86666667
9598.14285714,11029.125,9019.59090909,12468.33333333
9812.85714286,11038.125,9086.22727273,12566.93333333
9819.57142857,10824.5,9090.54545455,12387.26666667
9419.85714286,10295.0,8827.31818182,11850.93333333
9322.0,10346.875,8904.86363636,11908.53333333
9057.85714286,10110.625,8730.0,11689.53333333
8581.0,9598.25,8263.27272727,11231.93333333
8236.14285714,9268.375,7944.45454545,10926.8
8063.42857143,9081.5,7760.5,10756.06666667
8022.71428571,8996.75,7690.45454545,10708.73333333
8112.85714286,9059.5,7679.13636364,10821.0
8455.14285714,9344.25,7857.63636364,11214.6
9175.42857143,10059.5,8470.45454545,12034.93333333
9566.28571429,10509.125,8968.95454545,12358.8
9732.57142857,10647.5,9213.81818182,12492.93333333
9779.0,10637.875,9317.36363636,12439.73333333
9750.28571429,10615.875,9299.90909091,12334.06666667
9770.0,10657.375,9321.5,12280.46666667
9751.14285714,10636.375,9335.54545455,12222.73333333
9652.42857143,10560.125,9278.04545455,12121.06666667
9591.85714286,10545.375,9219.18181818,12078.73333333
9511.85714286,10683.875,9174.13636364,12108.4
9464.71428571,10807.125,9103.86363636,12200.13333333
9498.14285714,10866.375,9106.81818182,12344.0
9545.0,10951.375,9074.81818182,12499.33333333
9808.85714286,10990.5,9143.27272727,12632.4
9875.28571429,10762.5,9122.31818182,12420.33333333
9426.71428571,10243.75,8853.0,11874.93333333
9291.0,10300.0,8885.54545455,11910.73333333
9036.14285714,10097.25,8700.95454545,11690.66666667
8564.71428571,9608.25,8253.90909091,11221.6
8254.0,9291.375,7934.90909091,10922.6
8069.28571429,9053.125,7756.77272727,10748.2
8041.0,9010.625,7703.77272727,10698.93333333
8125.85714286,9087.875,7704.36363636,10806.13333333
8466.0,9353.125,7881.40909091,11203.33333333
9191.14285714,10059.875,8487.90909091,12004.53333333
9633.85714286,10540.375,8953.95454545,12370.2
9828.85714286,10661.125,9215.09090909,12483.0
9886.71428571,10655.375,9320.04545455,12389.4
9857.85714286,10649.75,9316.04545455,12314.86666667
9834.42857143,10679.875,9351.72727273,12250.33333333
9803.71428571,10661.375,9331.27272727,12185.93333333
9694.14285714,10620.0,9243.18181818,12084.66666667
9611.14285714,10624.5,9188.77272727,12044.33333333
9573.42857143,10713.0,9124.77272727,12080.4
9524.14285714,10845.375,9072.22727273,12139.0
9570.0,10920.875,9047.54545455,12242.4
9598.71428571,10960.75,8978.63636364,12341.8
9819.71428571,10999.5,9042.86363636,12464.53333333
9852.14285714,10826.5,9068.68181818,12275.0
9468.0,10385.5,8853.36363636,11796.8
9355.42857143,10470.375,8933.45454545,11891.4
9058.14285714,10254.875,8731.95454545,11651.46666667
8584.42857143,9785.625,8244.68181818,11196.86666667
8279.42857143,9472.625,7931.13636364,10900.53333333
8132.0,9313.5,7768.27272727,10744.2
8089.14285714,9254.0,7716.90909091,10723.4
8165.85714286,9336.75,7734.5,10822.8
8477.57142857,9651.0,7911.81818182,11224.06666667
9165.14285714,10392.875,8502.45454545,12038.86666667
9545.14285714,10852.75,8988.81818182,12421.06666667
9741.0,11013.0,9258.18181818,12566.13333333
9848.0,11006.125,9375.5,12509.6
9824.71428571,10975.75,9360.22727273,12430.8
9816.14285714,10968.75,9379.63636364,12368.86666667
9777.85714286,10928.75,9338.18181818,12275.6
9678.71428571,10893.625,9274.95454545,12170.53333333
9561.85714286,10879.125,9206.31818182,12097.66666667
9501.28571429,10984.375,9161.0,12119.4
9458.42857143,11151.875,9112.0,12168.8
9463.28571429,11182.0,9070.0,12285.93333333
9520.71428571,11253.375,9018.36363636,12381.53333333
9754.14285714,11241.375,9034.04545455,12465.93333333
9751.57142857,10985.125,8987.13636364,12257.26666667
9343.14285714,10488.625,8742.54545455,11767.6
9298.42857143,10577.625,8811.95454545,11843.4
9027.71428571,10301.125,8618.04545455,11624.0
8577.71428571,9814.25,8158.86363636,11166.93333333
8258.71428571,9482.25,7827.5,10852.86666667
8070.57142857,9265.25,7647.27272727,10645.86666667
8017.85714286,9172.75,7561.31818182,10552.86666667
8056.42857143,9208.25,7523.27272727,10566.86666667
8149.85714286,9308.375,7526.90909091,10689.93333333
8334.85714286,9562.625,7675.22727273,10967.2
8375.14285714,9715.625,7847.13636364,11044.26666667
8561.0,9882.25,8101.45454545,11309.4
8739.42857143,10015.125,8305.5,11444.4
8810.0,10131.125,8406.0,11536.8
8834.28571429,10225.125,8434.77272727,11521.0
8796.71428571,10234.125,8408.22727273,11440.86666667
8731.14285714,10207.75,8369.81818182,11384.46666667
8686.85714286,10223.75,8314.86363636,11340.86666667
8721.0,10412.625,8323.63636364,11465.2
8834.14285714,10683.625,8382.45454545,11702.8
8977.42857143,10908.5,8469.68181818,12002.46666667
9216.71428571,11110.25,8532.27272727,12262.2
9436.14285714,11036.375,8595.68181818,12259.13333333
9354.14285714,10708.625,8532.04545455,11912.33333333
8990.28571429,10274.625,8345.86363636,11459.13333333
8983.28571429,10422.5,8519.95454545,11618.66666667
8814.85714286,10244.125,8400.5,11470.4
8418.0,9804.25,8006.40909091,11064.6
8104.85714286,9450.375,7682.40909091,10730.8
7911.14285714,9234.375,7500.68181818,10515.6
7867.14285714,9122.625,7417.5,10431.93333333
7883.14285714,9128.125,7364.0,10421.66666667
7937.0,9226.5,7328.63636364,10493.0
8042.71428571,9409.75,7398.13636364,10661.6
8044.71428571,9472.0,7496.45454545,10634.73333333
8193.0,9632.5,7712.40909091,10851.6
8390.0,9753.5,7919.22727273,11012.0
8535.28571429,9920.375,8081.81818182,11181.06666667
8575.14285714,10040.375,8169.72727273,11236.26666667
8537.57142857,10082.625,8168.54545455,11196.26666667
8440.42857143,10031.5,8117.63636364,11116.46666667
8368.14285714,10008.625,8078.59090909,11075.6
8347.85714286,10183.0,8080.18181818,11152.26666667
8411.85714286,10453.0,8105.68181818,11303.86666667
8535.85714286,10662.625,8166.13636364,11521.6
8742.14285714,10799.125,8253.04545455,11747.13333333
9095.85714286,10797.25,8363.59090909,11849.6
9126.85714286,10564.25,8369.0,11689.6
8804.71428571,10215.0,8220.5,11282.73333333
8918.28571429,10448.0,8452.86363636,11555.8
8792.42857143,10317.125,8360.59090909,11454.8
8387.42857143,9932.25,7962.31818182,11080.8
