x1,x2,x3,x4
12823.0,14698.0,11674.63636364,17758.73333333
12594.85714286,14303.25,11373.90909091,17474.0
12522.57142857,14206.0,11234.90909091,17374.93333333
12528.42857143,14179.5,11222.68181818,17390.8
12617.85714286,14308.25,11242.04545455,17535.8
13021.85714286,14817.5,11498.31818182,18157.46666667
14137.71428571,16080.25,12480.59090909,19617.66666667
15234.42857143,17265.625,13577.45454545,21249.4
15522.14285714,17666.75,14021.31818182,21709.0
15476.42857143,17698.0,14041.5,21524.2
15414.28571429,17624.25,14033.31818182,21377.8
15138.28571429,17607.875,13956.86363636,21150.13333333
14974.28571429,17497.75,13892.40909091,20921.06666667
14871.14285714,17520.625,13812.22727273,20743.93333333
14813.28571429,17556.625,13768.72727273,20732.06666667
14765.14285714,17688.875,13717.5,20814.33333333
14754.28571429,17913.875,13689.59090909,20989.86666667
14703.57142857,17812.375,13596.31818182,21017.86666667
14712.14285714,17644.625,13468.13636364,20929.33333333
14879.14285714,17383.5,13454.77272727,20794.4
14947.0,17034.875,13452.68181818,20533.4
14687.85714286,16672.25,13374.81818182,20072.8
14216.0,16116.75,13055.27272727,19386.86666667
13561.57142857,15438.125,12472.5,18578.6
13047.71428571,14959.125,11956.72727273,17973.4
12755.28571429,14645.75,11630.31818182,17628.2
12651.57142857,14517.25,11457.22727273,17551.73333333
12678.57142857,14514.875,11429.77272727,17560.4
12762.0,14631.25,11428.31818182,17765.0
13157.14285714,15078.375,11691.72727273,18357.46666667
14393.71428571,16293.125,12664.27272727,19771.46666667
15616.14285714,17608.25,13709.59090909,21315.2
15939.28571429,17897.875,14053.31818182,21643.53333333
15742.71428571,17847.75,14095.0,21432.4
15593.28571429,17871.5,14092.45454545,21208.93333333
15460.57142857,17807.125,14144.90909091,20943.93333333
15242.85714286,17732.125,14039.95454545,20717.4
15191.71428571,17714.25,13982.72727273,20593.93333333
15219.42857143,17654.375,13849.45454545,20630.53333333
15116.85714286,17890.125,13741.59090909,20757.66666667
15127.85714286,18138.125,13755.31818182,20986.4
15136.0,18094.25,13665.18181818,21036.93333333
15091.57142857,17925.875,13586.0,20962.93333333
15065.28571429,17767.875,13573.27272727,20807.8
15045.14285714,17509.25,13566.72727273,20576.73333333
14807.14285714,17087.125,13452.59090909,20126.2
14250.71428571,16413.625,13173.45454545,19461.6
13566.57142857,15656.75,12606.04545455,18626.86666667
13078.42857143,15270.0,11969.09090909,18036.86666667
12732.42857143,14926.875,11614.5,17707.26666667
12623.42857143,14805.125,11451.5,17539.4
12592.0,14813.25,11384.18181818,17520.06666667
12660.42857143,14827.875,11355.18181818,17668.4
13025.42857143,15280.875,11640.04545455,18189.6
14254.42857143,16552.75,12752.77272727,19634.86666667
15460.28571429,17939.0,13888.31818182,21178.26666667
15611.85714286,18198.875,14233.36363636,21508.46666667
15500.85714286,18127.375,14180.13636364,21292.0
15321.85714286,17993.75,14125.72727273,21094.6
15163.0,17904.75,14001.0,20850.2
15027.14285714,17820.25,13876.90909091,20648.4
14952.85714286,17785.625,13766.45454545,20464.8
14887.57142857,17956.0,13671.86363636,20542.0
14808.28571429,18076.875,13584.86363636,20639.2
14818.0,18248.375,13568.63636364,20845.6
14794.71428571,18190.5,13477.86363636,20934.73333333
14861.71428571,17950.25,13447.18181818,20819.6
15039.14285714,17716.625,13414.04545455,20670.33333333
15019.28571429,17439.375,13394.31818182,20358.06666667
14764.28571429,17061.375,13288.22727273,19883.2
14203.14285714,16455.75,12997.09090909,19226.4
13557.42857143,15726.75,12327.81818182,18450.4
13075.42857143,15227.25,11836.63636364,17921.73333333
12788.14285714,14850.25,11390.77272727,17547.2
12588.71428571,14660.75,11232.59090909,17402.2
12590.14285714,14663.5,11178.04545455,17373.2
12721.28571429,14757.625,11211.63636364,17515.13333333
13143.28571429,15234.625,11503.04545455,18037.73333333
14320.57142857,16490.25,12521.09090909,19444.86666667
15586.85714286,17888.75,13531.18181818,20974.0
15885.28571429,18142.25,13970.04545455,21374.0
15807.0,18068.0,14006.31818182,21153.06666667
15649.14285714,17934.125,13939.86363636,20936.73333333
15431.57142857,17777.375,13771.68181818,20670.46666667
15292.85714286,17703.875,13614.72727273,20502.2
15235.57142857,17656.875,13549.09090909,20396.13333333
15147.42857143,17739.625,13505.5,20367.8
15084.0,17886.125,13470.86363636,20444.26666667
15178.14285714,18250.625,13470.68181818,20643.4
15150.57142857,18206.375,13444.27272727,20746.26666667
15053.0,18091.0,13383.68181818,20680.0
15175.85714286,17731.0,13351.86363636,20608.93333333
15186.14285714,17450.125,13288.22727273,20314.66666667
14925.42857143,17069.25,13155.09090909,19894.0
14397.85714286,16513.5,12848.72727273,19249.0
13762.57142857,15701.875,12210.40909091,18488.93333333
13177.28571429,15214.625,11825.86363636,17902.33333333
12806.57142857,14917.375,11447.0,17578.73333333
12716.0,14733.875,11270.0,17449.46666667
12656.42857143,14750.0,11237.04545455,17472.8
12688.0,14887.0,11265.81818182,17591.2
13083.85714286,15353.25,11560.77272727,18157.8
14285.71428571,16582.0,12517.45454545,19550.66666667
15534.85714286,17997.5,13619.45454545,21069.33333333
15860.57142857,18428.875,14007.86363636,21531.6
15725.0,18400.375,14088.5,21419.93333333
15575.85714286,18341.375,14065.45454545,21239.53333333
15319.71428571,18179.625,13876.13636364,20937.46666667
15106.0,18077.875,13647.0,20683.86666667
15013.85714286,17947.875,13491.18181818,20511.66666667
14862.28571429,17908.125,13318.59090909,20494.06666667
14675.71428571,18017.625,13171.63636364,20446.73333333
14673.57142857,18224.625,13099.86363636,20546.26666667
14526.0,18254.625,13020.95454545,20637.53333333
14614.28571429,18188.5,13014.90909091,20682.33333333
14748.71428571,17875.125,12951.95454545,20495.73333333
14582.42857143,17455.5,12819.31818182,20021.93333333
14339.71428571,16971.625,12658.63636364,19481.33333333
13916.0,16473.375,12445.13636364,18971.8
13484.42857143,15926.875,12050.45454545,18417.93333333
13120.28571429,15456.125,11718.68181818,17898.2
12788.85714286,15108.0,11333.09090909,17580.0
12597.0,14959.75,11158.54545455,17376.66666667
12519.57142857,14854.0,11076.40909091,17316.0
12573.71428571,14897.375,11013.36363636,17382.53333333
12645.71428571,15018.375,11011.31818182,17562.46666667
12869.14285714,15365.0,11202.13636364,17908.13333333
13252.85714286,15853.625,11596.81818182,18430.2
13825.42857143,16511.25,12126.72727273,19123.06666667
14338.85714286,17073.0,12599.68181818,19678.46666667
14632.57142857,17451.5,12784.59090909,19968.26666667
14581.42857143,17477.875,12695.18181818,19844.93333333
14411.71428571,17356.75,12489.18181818,19661.6
14275.71428571,17213.125,12347.27272727,19460.0
14053.0,17165.0,12231.81818182,19321.33333333
13961.28571429,17300.125,12159.09090909,19385.33333333
14053.57142857,17597.75,12160.59090909,19645.4
14196.71428571,17829.375,12274.5,19920.6
14287.57142857,17820.875,12393.22727273,20056.86666667
14352.57142857,17446.5,12410.18181818,19798.0
14114.0,16973.875,12374.18181818,19381.13333333
13809.71428571,16571.0,12262.77272727,18956.66666667
13455.71428571,16234.0,12071.72727273,18545.06666667
13084.71428571,15823.25,11814.0,18112.26666667
12822.0,15407.625,11520.90909091,17672.66666667
12522.0,15093.625,11271.31818182,17363.86666667
12399.71428571,14830.125,11118.18181818,17237.33333333
12345.28571429,14790.75,11029.09090909,17190.2
12376.85714286,14842.75,10963.81818182,17184.8
12496.71428571,14964.75,10951.31818182,17267.06666667
12624.0,15207.625,11017.77272727,17622.26666667
12870.71428571,15499.25,11242.09090909,17919.26666667
13268.14285714,15994.125,11605.68181818,18379.4
13644.57142857,16471.25,11991.59090909,18908.8
13943.0,16882.5,12240.04545455,19199.73333333
13966.0,16940.375,12280.68181818,19199.4
13852.85714286,16871.75,12243.36363636,19036.13333333
13774.71428571,16863.125,12166.13636364,18958.86666667
13780.71428571,16913.375,12092.81818182,18965.46666667
13832.0,17183.125,12077.77272727,19082.53333333
13832.28571429,17552.75,12106.27272727,19311.0
13995.85714286,17647.125,12179.45454545,19514.46666667
14182.0,17575.25,12279.45454545,19666.2
14425.57142857,17433.125,12364.36363636,19620.53333333
14418.42857143,17180.625,12504.13636364,19508.8
14264.57142857,16848.125,12508.13636364,19191.2
13825.57142857,16379.5,12349.72727273,18727.86666667
13272.14285714,15760.0,11942.18181818,18148.6
