x1,x2,x3,x4
12250.42857143,14263.25,11452.31818182,17116.2
12135.0,13974.75,11248.72727273,16962.8
12065.0,13944.875,11180.18181818,16937.33333333
12006.71428571,13925.75,11154.72727273,16998.2
12207.42857143,14109.5,11229.09090909,17365.06666667
12843.14285714,14804.5,11695.40909091,18210.8
14467.28571429,16385.25,13139.18181818,20294.46666667
15760.85714286,17671.625,14596.45454545,21869.46666667
16165.14285714,18063.75,15332.40909091,22114.46666667
16309.28571429,18104.25,15406.40909091,22018.6
16328.0,18241.0,15534.31818182,21990.06666667
16159.57142857,18286.5,15513.45454545,21908.13333333
16014.0,18167.0,15370.59090909,21673.6
15900.85714286,18035.5,15214.36363636,21517.93333333
15643.14285714,17974.25,15113.95454545,21448.26666667
15592.85714286,18216.125,15047.54545455,21701.0
15528.71428571,18480.5,14873.27272727,21912.93333333
15822.28571429,18611.875,14972.77272727,22307.8
15923.71428571,18375.125,14759.04545455,22218.66666667
16023.71428571,17950.5,14588.95454545,21779.13333333
15730.28571429,17227.375,14359.5,21008.0
14923.14285714,16406.75,14000.31818182,20159.73333333
14022.14285714,15504.25,13332.45454545,19108.46666667
13235.42857143,14720.875,12624.68181818,18196.26666667
12590.71428571,14236.625,11839.22727273,17562.46666667
12528.28571429,13941.375,11590.59090909,17352.53333333
12518.28571429,13810.625,11474.18181818,17214.86666667
12501.71428571,13764.0,11405.86363636,17275.4
12629.57142857,14004.375,11343.31818182,17581.73333333
13298.28571429,14734.125,11768.0,18396.8
14957.85714286,16179.875,13126.04545455,20431.53333333
16259.85714286,17552.125,14472.40909091,21973.13333333
16718.57142857,17830.0,15062.63636364,22135.06666667
16726.57142857,17977.5,15249.27272727,21998.73333333
16692.85714286,18146.625,15302.95454545,21934.6
16525.28571429,18085.375,15280.13636364,21787.73333333
16268.71428571,17996.625,15154.90909091,21529.66666667
16039.85714286,17940.125,15055.0,21383.2
15938.28571429,17851.25,14905.54545455,21404.6
15914.28571429,18175.125,14814.18181818,21657.86666667
15784.57142857,18508.875,14653.63636364,21904.33333333
16125.14285714,18683.75,14703.04545455,22382.86666667
16249.0,18537.5,14507.45454545,22261.93333333
16246.14285714,18197.5,14398.0,21873.6
15793.28571429,17540.875,14300.22727273,21234.73333333
15044.14285714,16758.625,13887.31818182,20413.86666667
14181.0,15770.75,13273.54545455,19243.46666667
13293.42857143,14902.125,12539.77272727,18388.6
12541.57142857,14369.125,11850.68181818,17710.53333333
12345.85714286,14109.0,11661.68181818,17511.73333333
12202.85714286,13954.375,11548.27272727,17434.8
12177.71428571,13990.0,11524.0,17460.53333333
12390.0,14179.25,11535.54545455,17760.13333333
13089.14285714,14866.75,11919.40909091,18582.46666667
14791.28571429,16600.125,13252.81818182,20673.93333333
16059.85714286,17987.875,14731.40909091,22237.86666667
16391.28571429,18320.0,15289.54545455,22354.06666667
16518.42857143,18358.0,15050.13636364,22081.73333333
16627.14285714,18460.5,15462.86363636,22008.93333333
16455.0,18357.25,15368.90909091,21759.0
16337.71428571,18217.625,15215.5,21448.73333333
16115.57142857,18166.5,15071.90909091,21352.6
15972.71428571,18195.5,14882.31818182,21288.33333333
15906.85714286,18505.125,14798.95454545,21547.66666667
15840.57142857,18677.875,14614.81818182,21797.06666667
15922.71428571,18919.75,14706.81818182,22213.93333333
16007.28571429,18701.875,14564.90909091,22068.33333333
16115.14285714,18212.875,14426.95454545,21573.2
15754.14285714,17521.125,14254.36363636,20977.2
14966.28571429,16724.875,13859.18181818,20027.8
14005.71428571,15743.375,13233.68181818,19006.46666667
13111.0,14917.375,12568.27272727,18075.33333333
12554.42857143,14364.625,11851.13636364,17470.6
12318.42857143,14138.25,11605.81818182,17268.46666667
12264.57142857,14140.125,11502.5,17149.06666667
12267.85714286,14139.375,11437.18181818,17145.4
12456.85714286,14200.5,11390.45454545,17413.4
13047.42857143,15014.5,11765.77272727,18160.73333333
14712.28571429,16716.25,13159.22727273,20144.73333333
16052.0,18163.875,14559.45454545,21783.06666667
16506.85714286,18390.375,15079.40909091,21833.93333333
