x1,x2,x3,x4
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.00015534,0.0,0.00011357,0.0
0.01162013,0.0,0.01770629,0.0
0.01908615,0.0,0.0724207,0.0
0.06857541,1.643e-5,0.15399196,0.00038474
0.17934155,0.02022756,0.26179956,0.0188863
0.29050243,0.08677783,0.37655982,0.0642847
0.38895142,0.14395582,0.47959825,0.1481121
0.45190976,0.20485517,0.5563458,0.23294351
0.50816228,0.24095734,0.60220881,0.27531464
0.50406156,0.24373188,0.62081901,0.28618139
0.44653157,0.21710605,0.61298475,0.26027621
0.35867312,0.16916766,0.56565463,0.21075489
0.27949089,0.08704399,0.48999316,0.12280167
0.18913551,0.02802897,0.38288787,0.0540931
0.09150296,0.00039762,0.26005846,0.01144705
0.02584076,2.5e-7,0.1460125,0.00044703
0.01326047,0.0,0.06804512,7.1e-6
0.00394314,0.0,0.01062327,0.0
4.138e-5,0.0,0.0008245,0.0
1.271e-5,0.0,5.817e-5,0.0
1.2e-7,0.0,1.6e-7,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.00011648,0.0,0.00014294,0.0
0.00520196,0.0,0.0241282,0.0
0.0090484,0.0,0.08845765,0.0
0.0272833,9.91e-6,0.17858844,0.00048409
0.1081307,0.01132679,0.28698252,0.02119913
0.20069441,0.04355908,0.39434425,0.07356366
0.31840372,0.12719705,0.49902318,0.18260969
0.36740061,0.21480134,0.57671612,0.26647045
0.39386196,0.26137428,0.63392772,0.32376287
0.41367188,0.28257633,0.63687852,0.3599058
0.39933083,0.25810602,0.61292652,0.3259843
0.36648739,0.20363449,0.56779122,0.27104047
0.31512606,0.08692807,0.4952569,0.16668803
0.22768479,0.02009474,0.3985718,0.08640044
0.10881057,0.00014421,0.27535034,0.02351736
0.04073856,2.0e-8,0.15975623,0.00059537
0.02146158,0.0,0.07705947,6.21e-6
0.00576418,0.0,0.01102686,0.0
0.00017219,0.0,0.00051354,0.0
5.633e-5,0.0,4.569e-5,0.0
3.0e-7,0.0,1.6e-7,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.00010262,0.0,0.00014336,0.0
0.00344359,0.0,0.02432865,0.0
0.00662376,0.0,0.09105154,0.0
0.02698548,5.34e-6,0.19362167,0.00036349
0.13004437,0.00801766,0.30682992,0.01878316
0.25160558,0.08588548,0.43041355,0.07989569
0.35510945,0.17870223,0.55815327,0.18279847
0.42041895,0.2516617,0.6574805,0.26051878
0.48108202,0.29887613,0.72596173,0.30196195
0.50797969,0.31401843,0.7249355,0.29543448
0.46714387,0.28141185,0.68508487,0.26741254
0.39675744,0.22078038,0.61912969,0.21183413
0.31397056,0.10647835,0.53250669,0.13455651
0.21222836,0.01600057,0.42231832,0.06124758
0.07567956,0.00024711,0.29333006,0.01029117
0.01697484,0.0,0.16550898,0.00047596
0.00660995,0.0,0.07570979,1.194e-5
0.00222595,0.0,0.00968078,0.0
0.00027305,0.0,0.00043258,0.0
5.023e-5,0.0,2.806e-5,0.0
2.5e-7,0.0,6.0e-8,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.00010216,0.0,0.00013095,0.0
0.0026631,0.0,0.02194581,0.0
0.00732535,0.0,0.08756665,0.0
0.04345106,2.07e-6,0.17887715,0.00020926
0.13969922,0.00929059,0.30219288,0.00714794
0.22578813,0.09096919,0.42614145,0.04067524
0.32083251,0.18191433,0.54115994,0.12449565
0.38954409,0.28526348,0.63727809,0.18067806
0.43694823,0.32607381,0.68990151,0.22098724
0.47534426,0.33404178,0.7064402,0.22000474
0.43389088,0.29551287,0.69123071,0.21618737
0.36889668,0.23206184,0.6084575,0.18098491
0.30234196,0.12639034,0.5203567,0.12507036
0.21755807,0.02644437,0.41129333,0.05991942
0.11224,5.595e-5,0.2837221,0.01543193
0.04741264,0.0,0.16123938,0.00047229
0.01990445,0.0,0.07256726,3.98e-6
0.0068423,0.0,0.01041895,0.0
0.00060781,0.0,0.00053797,0.0
0.00010086,0.0,4.631e-5,0.0
4.9e-7,0.0,1.3e-7,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.00014554,0.0,0.0001516,0.0
0.01328835,0.0,0.02643458,0.0
0.02457895,0.0,0.10125433,0.0
0.07503182,1.69e-6,0.20769828,0.00048622
0.18519776,0.0069775,0.3290179,0.01351186
0.32836708,0.04657937,0.4667853,0.05397466
0.45074163,0.11647624,0.59023806,0.12546088
0.51022911,0.17889733,0.67292945,0.18319117
0.54388686,0.19743486,0.7351607,0.21880123
0.55397601,0.21828618,0.74813679,0.22908018
0.53182106,0.18916002,0.71458619,0.2129327
0.45245054,0.1471187,0.66058444,0.16946469
0.36277914,0.07351942,0.57219386,0.11363053
0.24143925,0.00799893,0.45209641,0.0540103
0.11214763,0.00013063,0.31575259,0.01470404
0.04194119,0.0,0.1761505,0.00067618
0.01978338,0.0,0.07839309,5.52e-6
0.00697106,0.0,0.01009338,0.0
4.878e-5,0.0,0.00065866,0.0
9.29e-6,0.0,7.076e-5,0.0
1.9e-7,0.0,1.5e-7,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.00014604,0.0,0.0001451,0.0
0.0125896,0.0,0.02326498,0.0
0.02115339,0.0,0.08556732,0.0
0.06417147,4.7e-7,0.18283329,0.00057705
0.17721162,0.00622847,0.30345361,0.01681115
0.28738831,0.0848932,0.43011265,0.05567328
0.40781826,0.16061489,0.52777643,0.11916402
0.48718471,0.22673909,0.60533828,0.1858097
0.51608733,0.25948614,0.64506343,0.22434564
0.50612174,0.26694087,0.65264539,0.24467647
0.46700414,0.25032692,0.62021014,0.22156271
0.38252695,0.19102949,0.56094792,0.17428441
0.29650258,0.09521201,0.47229678,0.10710674
0.18875545,0.01075575,0.37149954,0.05696793
0.0984326,7.429e-5,0.26119191,0.01517852
0.03255356,0.0,0.14896638,0.00092273
0.01111685,0.0,0.0681896,1.591e-5
0.0033238,0.0,0.01045823,0.0
2.658e-5,0.0,0.00053819,0.0
3.83e-6,0.0,4.504e-5,0.0
7.0e-8,0.0,1.3e-7,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0
0.00011345,0.0,0.00013562,0.0
0.00765638,0.0,0.02319231,0.0
0.01390079,0.0,0.09234753,1.0e-8
0.05824332,2.9e-7,0.18477054,0.00080728
0.18929822,0.003481,0.28105692,0.01978512
0.32014778,0.07066843,0.38982917,0.06113087
0.43881806,0.16231927,0.49683685,0.13514214
0.525696,0.27299241,0.573413,0.2011565
0.5668568,0.32406654,0.60918371,0.2477739
0.57232762,0.31654648,0.63113461,0.26193285
0.52385444,0.26327096,0.58514344,0.25041742
0.47179559,0.18829297,0.53010368,0.22552676
0.37103263,0.06342877,0.45279806,0.16561224
0.24936558,0.00550428,0.35802038,0.08541027
0.1123667,4.056e-5,0.25719894,0.03057561
0.04283714,0.0,0.14623498,0.00138544
0.0173092,0.0,0.07222975,4.814e-5
0.00453536,0.0,0.01084373,0.0
5.895e-5,0.0,0.00094801,0.0
1.427e-5,0.0,6.706e-5,0.0
2.5e-7,0.0,9.0e-8,0.0
