x1,x2,x3,x4
1.493e-5,0.0,1.209e-5,0.0
0.00030318,0.0,0.00056671,0.0
0.0036845,0.0,0.01199157,0.0
0.00827762,0.0,0.05812538,0.0
0.01268612,0.0,0.1127976,0.0
0.0415936,1.3e-6,0.20332534,0.00029751
0.13285018,0.00451238,0.32568422,0.014232
0.200261,0.06016554,0.42235784,0.0435191
0.26436241,0.12094429,0.53410504,0.08916634
0.30856424,0.16530089,0.60500283,0.14604808
0.32868878,0.19956766,0.64102064,0.19484273
0.33577277,0.20326765,0.64290851,0.21181273
0.32535176,0.17381962,0.61593987,0.18919072
0.29265322,0.13100646,0.56390461,0.13881525
0.25197151,0.07345537,0.48068166,0.0793987
0.17190423,0.01100068,0.37932885,0.03787819
0.09292231,1.67e-5,0.27033817,0.00948757
0.03014864,0.0,0.16384175,0.00024497
0.01416268,0.0,0.09330174,0.0
0.00733052,0.0,0.04554424,0.0
0.00169428,0.0,0.00585403,0.0
9.066e-5,0.0,0.00015519,0.0
2.23e-6,0.0,1.87e-6,0.0
2.0e-7,0.0,1.0e-7,0.0
1.261e-5,0.0,1.311e-5,0.0
0.00029759,0.0,0.00057821,0.0
0.00382306,0.0,0.011937,0.0
0.00893528,0.0,0.05954133,0.0
0.01205413,0.0,0.10976837,0.0
0.03907016,5.1e-7,0.19806337,0.00029134
0.13269966,0.00238366,0.312823,0.00874842
0.21586326,0.02440257,0.41640698,0.04072124
0.27001758,0.05625329,0.50840962,0.08099474
0.31395841,0.08035228,0.5799972,0.13808962
0.33812759,0.09445827,0.61970097,0.18637748
0.33595539,0.1039032,0.62585178,0.21365031
0.33149076,0.09928128,0.58813334,0.20240446
0.28394486,0.06362206,0.53065344,0.15458655
0.22481829,0.03516399,0.44737791,0.10234036
0.1665938,0.0040819,0.35904609,0.05712828
0.08682916,7.99e-6,0.25788701,0.01669596
0.03991075,0.0,0.1602192,0.00040356
0.01837738,0.0,0.09148992,0.0
0.01419773,0.0,0.04256966,0.0
0.00274986,0.0,0.00522679,0.0
8.51e-5,0.0,0.00013491,0.0
1.46e-6,0.0,1.63e-6,0.0
1.4e-7,0.0,9.0e-8,0.0
5.57e-6,0.0,1.218e-5,0.0
0.00028,0.0,0.00054911,0.0
0.00694338,0.0,0.01209874,0.0
0.02025938,0.0,0.05940599,0.0
0.02858673,0.0,0.1170157,0.0
0.06945749,1.0e-7,0.21622708,0.00048554
0.14756022,0.00062131,0.34880414,0.00928459
0.23051924,0.00888724,0.45556145,0.05028656
0.31197191,0.02255805,0.55776278,0.09495527
0.36919653,0.04440966,0.62960474,0.15746915
0.39166918,0.07142133,0.65560904,0.21299368
0.40379324,0.0816233,0.65409989,0.22854974
0.38279314,0.07115418,0.62617479,0.21703586
0.32896203,0.04906268,0.55995958,0.17146839
0.27941249,0.02526265,0.47476361,0.11668014
0.19101132,0.00291305,0.38106523,0.06986707
0.09551813,2.36e-6,0.27934332,0.01967831
0.0391368,0.0,0.17052644,0.00045429
0.02260757,0.0,0.09815128,0.0
0.01545336,0.0,0.04792253,0.0
0.00506409,0.0,0.00564977,0.0
0.00018357,0.0,0.00013774,0.0
3.61e-6,0.0,1.42e-6,0.0
3.6e-7,0.0,5.0e-8,0.0
2.309e-5,0.0,1.026e-5,0.0
0.00068863,0.0,0.00051788,0.0
0.00949279,0.0,0.01138787,0.0
0.02317154,0.0,0.05909619,0.0
0.0296969,0.0,0.11210834,0.0
0.06014766,0.0,0.20478161,0.00039717
0.15776448,0.00048205,0.32850953,0.01645106
0.22690747,0.0132463,0.41724354,0.05730466
0.30192498,0.03581074,0.52007168,0.10604932
0.35409779,0.06460438,0.59146371,0.16305203
0.35535687,0.09399446,0.62904244,0.21139213
0.35853591,0.10959744,0.62907591,0.23066124
0.3416533,0.09948092,0.59176499,0.22205065
0.30134328,0.06495064,0.5286012,0.18169175
0.25325195,0.0334449,0.44951971,0.13351076
0.17241469,0.00527469,0.36084733,0.07698349
0.07883408,1.35e-6,0.25803748,0.02286112
0.01921026,0.0,0.15699078,0.00061411
0.0089324,0.0,0.08292269,0.0
0.0051794,0.0,0.03451743,0.0
0.00217409,0.0,0.00300455,0.0
0.0001478,0.0,7.863e-5,0.0
3.89e-6,0.0,1.04e-6,0.0
3.7e-7,0.0,5.0e-8,0.0
2.058e-5,0.0,9.18e-6,0.0
0.00024207,0.0,0.00041014,0.0
0.00089929,0.0,0.00938969,0.0
0.00253119,0.0,0.04912573,0.0
0.00595197,0.0,0.0979291,4.0e-8
0.03140041,0.0,0.18325492,0.00081462
0.11035923,0.00143464,0.29618808,0.02368059
0.1566625,0.03901008,0.38496806,0.05675706
0.21775542,0.07627604,0.48028373,0.09985806
0.25989996,0.10893737,0.5627257,0.15135112
0.29580181,0.12448887,0.6042518,0.1959456
0.32621811,0.12634386,0.61756711,0.21184167
0.32410831,0.10741628,0.60059643,0.20347352
0.31344271,0.08214954,0.56214689,0.17250071
0.25777408,0.04779301,0.48452419,0.12596793
0.17298286,0.00490196,0.38519959,0.0777271
0.06173131,3.7e-7,0.27545565,0.03007701
0.0197895,0.0,0.16495139,0.00085199
0.00877624,0.0,0.09106449,0.0
0.00632768,0.0,0.04310153,0.0
0.00150635,0.0,0.00569161,0.0
0.00010452,0.0,0.00014839,0.0
2.69e-6,0.0,1.68e-6,0.0
